step,elapsed_s,step_time_s,train_success,eval_success,reward,generate_rollouts_s,actor_training_s,local_cache_size,local_transition_count,global_min_replay_size,update_step,ready_for_online,actor_loss,critic_loss,actor_grad_norm,critic_grad_norm,updates_scheduled,global_total_transitions_added
144,14815,102.885,0.0,,0.0,94.371,61.951,10800.0,80.0,10600.0,12800.0,0.0,0.064,0.0016,0.753,0.61,23400.0,2.1
145,14949,103.1,0.125,,0.00625,95.735,37.578,10900.0,75.5,10700.0,14400.0,0.0,0.063,0.0015,0.715,0.566,22500.0,2.1
146,15098,103.417,0.125,,0.005625,87.686,61.169,10900.0,76.0,10800.0,16000.0,0.0,0.063,0.0014,0.739,0.595,21700.0,2.1
147,15234,103.633,0.125,,0.00625,96.639,37.728,11000.0,75.5,10900.0,17600.0,0.0,0.063,0.0014,0.701,0.55,20800.0,2.2
148,15388,103.975,0.125,,0.00625,92.696,60.895,11100.0,75.5,11000.0,19200.0,0.0,0.062,0.0014,0.705,0.545,20000.0,2.2
149,15545,104.335,0.125,,0.00625,97.163,59.7,11200.0,75.5,11000.0,20800.0,0.0,0.06,0.0013,0.738,0.508,19100.0,2.2
150,15906,106.044,0.125,0.0,0.00625,95.322,39.478,11200.0,75.5,11100.0,22400.0,0.0,0.058,0.0014,0.812,0.501,18300.0,2.2
151,16061,106.366,0.125,,0.005625,93.396,60.602,11300.0,76.0,11200.0,24000.0,0.0,0.056,0.0014,0.885,0.486,17400.0,2.2
152,16213,106.665,0.25,,0.011875,89.423,61.589,11400.0,71.5,11300.0,25600.0,0.0,0.054,0.0014,0.959,0.473,16600.0,2.2
153,16368,106.981,0.0,,0.0,93.443,60.774,11500.0,80.0,11300.0,27200.0,0.0,0.052,0.0014,1.05,0.477,15800.0,2.2
154,16504,107.175,0.0,,0.0,94.195,41.843,11500.0,80.0,11400.0,28800.0,0.0,0.05,0.0014,1.115,0.426,15000.0,2.3
155,16633,107.311,0.125,,0.000625,87.748,39.973,11600.0,80.0,11500.0,30400.0,1.0,0.048,0.0013,1.205,0.416,14200.0,2.3
156,16777,107.55,0.0,,0.0,85.307,58.745,11700.0,80.0,11600.0,32000.0,1.0,0.046,0.0013,1.286,0.384,13400.0,2.3
157,16896,107.62,0.0,,0.0,81.986,35.906,11800.0,80.0,11700.0,33600.0,1.0,0.044,0.0012,1.383,0.394,12600.0,2.3
158,17028,107.772,0.125,,0.004375,85.178,46.007,11900.0,77.0,11700.0,35200.0,1.0,0.043,0.0012,1.47,0.376,11700.0,2.3
159,17155,107.895,0.125,,0.005,88.041,38.715,11900.0,76.5,11800.0,36800.0,1.0,0.041,0.0011,1.562,0.363,10900.0,2.3
160,17283,108.024,0.125,,0.004375,88.98,38.969,12000.0,77.0,11900.0,38400.0,1.0,0.039,0.0011,1.649,0.343,10100.0,2.4
161,17430,108.265,0.125,,0.005,86.246,59.924,12100.0,76.5,12000.0,40000.0,1.0,0.037,0.000988,1.744,0.323,9230.0,2.4
162,17584,108.548,0.125,,0.004375,90.396,63.163,12200.0,77.0,12000.0,41600.0,1.0,0.035,0.000945,1.838,0.319,8400.0,2.4
163,17739,108.831,0.125,,0.004375,90.692,63.094,12200.0,77.0,12100.0,43200.0,1.0,0.033,0.00087,1.922,0.279,7570.0,2.4
164,17884,109.053,0.0,,0.0,89.593,54.902,12300.0,80.0,12200.0,44800.0,1.0,0.031,0.000813,2.026,0.289,6770.0,2.4
165,18029,109.273,0.0,,0.0,84.388,60.252,12400.0,80.0,12300.0,46400.0,1.0,0.029,0.00075,2.124,0.281,5970.0,2.4
166,18183,109.539,0.0,,0.0,89.277,63.41,12500.0,80.0,12300.0,48000.0,1.0,0.027,0.000706,2.221,0.273,5170.0,2.5
167,18313,109.661,0.25,,0.009375,91.049,38.106,12600.0,73.5,12400.0,49600.0,1.0,0.025,0.000651,2.311,0.242,4305.0,2.5
168,18458,109.873,0.25,,0.009375,83.074,61.566,12600.0,73.5,12500.0,51200.0,1.0,0.023,0.000671,2.401,0.245,3440.0,2.5
169,18588,109.992,0.125,,0.004375,91.769,37.338,12700.0,77.0,12600.0,52800.0,1.0,0.02,0.00061,2.486,0.233,2610.0,2.5
170,18733,110.196,0.125,,0.004375,83.658,60.513,12800.0,77.0,12700.0,54400.0,1.0,0.018,0.000582,2.578,0.222,1780.0,2.5
171,18861,110.302,0.125,,0.005625,90.946,36.48,12900.0,76.0,12700.0,56000.0,1.0,0.016,0.000654,2.648,0.248,940.0,2.5
172,18976,110.326,0.375,,0.01375,88.462,25.307,12900.0,70.5,12800.0,56900.0,1.0,0.014,0.000582,2.696,0.195,705.0,2.5
173,19092,110.363,0.5,,0.01375,89.081,26.851,13000.0,71.0,12900.0,57600.0,1.0,0.013,0.000678,2.733,0.21,710.0,2.6
174,19209,110.4,0.5,,0.0131250005,88.653,27.34,13100.0,71.5,12900.0,58400.0,1.0,0.011,0.000744,2.764,0.187,715.0,2.6
175,19562,111.787,0.375,0.45,0.010624999,91.072,27.594,13100.0,73.0,13000.0,59100.0,1.0,0.011,0.000752,2.801,0.213,730.0,2.6
176,19671,111.767,0.5,,0.014374999,90.066,17.754,13200.0,70.5,13100.0,59800.0,1.0,0.008,0.000771,2.826,0.206,705.0,2.6
