step,control_raw,control_ma5,control_ma10,method_raw,method_ma5,method_ma10
169,37.5,25.0,23.75,62.5,32.5,23.75
170,25.0,25.0,26.25,12.5,30.0,25.0
171,25.0,25.0,23.75,87.5,40.0,30.0
172,37.5,30.0,26.25,50.0,47.5,33.75
173,62.5,37.5,30.0,37.5,50.0,37.5
174,37.5,37.5,31.25,50.0,47.5,40.0
175,37.5,40.0,32.5,50.0,55.0,42.5
176,0.0,35.0,30.0,25.0,42.5,41.25
177,62.5,40.0,35.0,50.0,42.5,45.0
178,25.0,32.5,35.0,37.5,42.5,46.25
179,87.5,42.5,40.0,62.5,45.0,46.25
180,25.0,40.0,40.0,37.5,42.5,48.75
181,37.5,47.5,41.25,37.5,45.0,43.75
182,50.0,45.0,42.5,50.0,45.0,43.75
183,50.0,50.0,41.25,75.0,52.5,47.5
184,25.0,37.5,40.0,37.5,47.5,46.25
185,62.5,45.0,42.5,37.5,47.5,45.0
186,87.5,55.0,51.25,75.0,55.0,50.0
187,62.5,57.5,51.25,62.5,57.5,51.25
188,50.0,57.5,53.75,37.5,50.0,51.25
189,62.5,65.0,51.25,50.0,52.5,50.0
190,75.0,67.5,56.25,75.0,60.0,53.75
191,75.0,65.0,60.0,75.0,60.0,57.5
192,50.0,62.5,60.0,62.5,60.0,58.75
193,75.0,67.5,62.5,87.5,70.0,60.0
194,87.5,72.5,68.75,75.0,75.0,63.75
195,25.0,62.5,65.0,62.5,72.5,66.25
196,75.0,62.5,63.75,75.0,72.5,66.25
197,75.0,67.5,65.0,75.0,75.0,67.5
198,62.5,65.0,66.25,25.0,62.5,66.25
199,37.5,55.0,63.75,87.5,65.0,70.0
200,50.0,60.0,61.25,37.5,60.0,66.25
201,50.0,55.0,58.75,37.5,52.5,62.5
202,50.0,50.0,58.75,87.5,55.0,65.0
203,62.5,50.0,57.5,37.5,57.5,60.0
204,75.0,57.5,56.25,37.5,47.5,56.25
205,62.5,60.0,60.0,75.0,55.0,57.5
206,37.5,57.5,56.25,37.5,55.0,53.75
207,62.5,60.0,55.0,37.5,45.0,50.0
208,75.0,62.5,56.25,62.5,50.0,53.75
209,87.5,65.0,61.25,62.5,55.0,51.25
210,100.0,72.5,66.25,100.0,60.0,57.5
211,50.0,75.0,66.25,62.5,65.0,60.0
212,37.5,70.0,65.0,25.0,62.5,53.75
213,75.0,70.0,66.25,87.5,67.5,58.75
214,75.0,67.5,66.25,75.0,70.0,62.5
215,62.5,60.0,66.25,87.5,67.5,63.75
216,62.5,62.5,68.75,75.0,70.0,67.5
217,50.0,65.0,67.5,75.0,80.0,71.25
218,62.5,62.5,66.25,75.0,77.5,72.5
219,62.5,60.0,63.75,100.0,82.5,76.25
220,50.0,57.5,58.75,87.5,82.5,75.0
221,37.5,52.5,57.5,87.5,85.0,77.5
222,62.5,55.0,60.0,100.0,90.0,85.0
223,50.0,52.5,57.5,87.5,92.5,85.0
224,62.5,52.5,56.25,75.0,87.5,85.0
225,62.5,55.0,56.25,75.0,85.0,83.75
226,62.5,60.0,56.25,87.5,85.0,85.0
227,75.0,62.5,58.75,87.5,82.5,86.25
228,87.5,70.0,61.25,62.5,77.5,85.0
229,50.0,67.5,60.0,87.5,80.0,83.75
230,50.0,65.0,60.0,62.5,77.5,81.25
231,50.0,62.5,61.25,75.0,75.0,80.0
232,25.0,52.5,57.5,75.0,72.5,77.5
233,87.5,52.5,61.25,75.0,75.0,76.25
234,62.5,55.0,61.25,75.0,72.5,76.25
235,62.5,57.5,61.25,87.5,77.5,77.5
236,87.5,65.0,63.75,25.0,67.5,71.25
237,75.0,75.0,63.75,75.0,67.5,70.0
238,75.0,72.5,62.5,100.0,72.5,73.75
239,87.5,77.5,66.25,75.0,72.5,72.5
240,75.0,80.0,68.75,75.0,70.0,73.75
241,62.5,75.0,70.0,87.5,82.5,75.0
242,50.0,70.0,72.5,75.0,82.5,75.0
243,62.5,67.5,70.0,100.0,82.5,77.5
244,50.0,60.0,68.75,75.0,82.5,77.5
245,62.5,57.5,68.75,87.5,85.0,77.5
246,75.0,60.0,67.5,100.0,87.5,85.0
247,87.5,67.5,68.75,75.0,87.5,85.0
248,50.0,65.0,66.25,50.0,77.5,80.0
249,75.0,70.0,65.0,87.5,80.0,81.25
250,62.5,70.0,63.75,75.0,77.5,81.25
251,87.5,72.5,66.25,100.0,77.5,82.5
252,87.5,72.5,70.0,75.0,77.5,82.5
253,87.5,80.0,72.5,50.0,77.5,77.5
254,37.5,72.5,71.25,100.0,80.0,80.0
255,75.0,75.0,72.5,75.0,80.0,78.75
