step,s0p5_raw_pct,s0p5_ma5_pct,s0p5_ma10_pct,s2p0_raw_pct,s2p0_ma5_pct,s2p0_ma10_pct
175,0.0,5.0,6.25,12.5,40.0,36.25
176,12.5,5.0,7.5,12.5,27.5,35.0
177,12.5,5.0,8.75,12.5,25.0,33.75
178,12.5,7.5,8.75,37.5,25.0,35.0
179,37.5,15.0,11.25,50.0,25.0,36.25
180,37.5,22.5,13.75,12.5,25.0,32.5
181,12.5,22.5,13.75,50.0,32.5,30.0
182,37.5,27.5,16.25,37.5,37.5,31.25
183,25.0,30.0,18.75,25.0,35.0,30.0
184,50.0,32.5,23.75,50.0,35.0,30.0
185,37.5,32.5,27.5,62.5,45.0,35.0
186,37.5,37.5,30.0,50.0,45.0,38.75
187,62.5,42.5,35.0,37.5,45.0,41.25
188,62.5,50.0,40.0,87.5,57.5,46.25
189,75.0,55.0,43.75,62.5,60.0,47.5
190,50.0,57.5,45.0,37.5,55.0,50.0
191,75.0,65.0,51.25,62.5,57.5,51.25
192,75.0,67.5,55.0,100.0,70.0,57.5
193,87.5,72.5,61.25,75.0,67.5,62.5
194,87.5,75.0,65.0,75.0,70.0,65.0
195,87.5,82.5,70.0,100.0,82.5,68.75
196,87.5,85.0,75.0,62.5,82.5,70.0
197,100.0,90.0,78.75,75.0,77.5,73.75
198,87.5,90.0,81.25,37.5,70.0,68.75
199,87.5,90.0,82.5,50.0,65.0,67.5
200,87.5,90.0,86.25,62.5,57.5,70.0
201,62.5,85.0,85.0,62.5,57.5,70.0
202,87.5,82.5,86.25,75.0,57.5,67.5
203,75.0,80.0,85.0,37.5,57.5,63.75
204,75.0,77.5,83.75,87.5,65.0,65.0
205,62.5,72.5,81.25,37.5,60.0,58.75
206,87.5,77.5,81.25,75.0,62.5,60.0
207,87.5,77.5,80.0,87.5,65.0,61.25
208,62.5,75.0,77.5,75.0,72.5,65.0
209,75.0,75.0,76.25,50.0,65.0,65.0
210,87.5,80.0,76.25,75.0,72.5,66.25
211,62.5,75.0,76.25,37.5,65.0,63.75
212,50.0,67.5,72.5,75.0,62.5,63.75
213,87.5,72.5,73.75,62.5,60.0,66.25
214,75.0,72.5,73.75,75.0,65.0,65.0
215,87.5,72.5,76.25,87.5,67.5,70.0
216,87.5,77.5,76.25,75.0,75.0,70.0
