tag,completed_round,raw_step,value,wall_time
rollout/advantages_max,4,3,2.4748666286468506,1788684036.5360448
rollout/advantages_max,5,4,2.4748666286468506,1788685567.7630985
rollout/advantages_max,6,5,2.4748666286468506,1788686791.1606493
rollout/advantages_max,7,6,2.4748666286468506,1788688063.2789524
rollout/advantages_max,8,7,2.4748666286468506,1788689343.9148953
rollout/advantages_max,9,8,2.4748666286468506,1788690653.9905121
rollout/advantages_max,10,9,2.4748666286468506,1788692253.7121818
rollout/advantages_max,11,10,2.4748666286468506,1788693519.8051796
rollout/advantages_max,12,11,2.4748666286468506,1788694765.2962096
rollout/advantages_max,13,12,2.4748666286468506,1788696023.0761244
rollout/advantages_max,14,13,2.4748666286468506,1788697305.0104659
rollout/advantages_max,15,14,2.4748666286468506,1788698806.7571602
rollout/advantages_max,16,15,2.4748666286468506,1788700033.1573737
rollout/advantages_max,17,16,2.4748666286468506,1788701301.642939
rollout/advantages_max,18,17,2.4748666286468506,1788702510.4836578
rollout/advantages_max,19,18,2.4748666286468506,1788703724.5769534
rollout/advantages_max,20,19,2.4748666286468506,1788705298.3900492
rollout/advantages_max,21,20,2.4748666286468506,1788706530.1766686
rollout/advantages_max,22,21,2.4748666286468506,1788707800.105097
rollout/advantages_max,23,22,2.4748666286468506,1788709018.3771193
rollout/advantages_max,24,23,2.4748666286468506,1788710299.335412
rollout/advantages_max,25,24,2.4748666286468506,1788711762.9931948
rollout/advantages_max,26,25,1.6201815605163574,1788713002.404715
rollout/advantages_max,27,26,2.4748666286468506,1788714257.043861
rollout/advantages_max,28,27,2.4748666286468506,1788715524.9465265
rollout/advantages_max,29,28,2.4748666286468506,1788716733.9120412
rollout/advantages_max,30,29,2.4748666286468506,1788718293.747814
rollout/advantages_max,31,30,2.4748666286468506,1788719516.4337654
rollout/advantages_max,32,31,2.4748666286468506,1788720732.4152124
rollout/advantages_max,33,32,2.4748666286468506,1788721986.5008178
rollout/advantages_max,34,33,2.4748666286468506,1788723187.0652657
rollout/advantages_max,35,34,2.4748666286468506,1788724673.2046814
rollout/advantages_max,36,35,2.4748666286468506,1788725885.012445
rollout/advantages_max,37,36,2.4748666286468506,1788727146.1809824
rollout/advantages_max,38,37,2.4748666286468506,1788728346.791333
rollout/advantages_max,39,38,2.4748666286468506,1788729593.926195
rollout/advantages_max,40,39,2.4748666286468506,1788731209.4649613
rollout/advantages_max,41,40,2.4748666286468506,1788732453.115609
rollout/advantages_max,42,41,2.4748666286468506,1788733708.7216072
rollout/advantages_max,43,42,2.4748666286468506,1788734927.959146
