unix_time,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_oom_events,cgroup_oom_kill_events,disk_available_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,driver_rss_kib,qam_process_rss_kib,compute_process_count
1785491305,212475998208,34747662336,174353653760,0,0,991366660096,30497,73,30779,91,1028,32397992,8
1785491315,212478316544,34749284352,174353657856,0,0,991366660096,30497,100,30779,100,1028,32398264,8
1785491325,212475416576,34742611968,174353674240,0,0,991366660096,21131,16,21215,47,1028,32390180,8
1785491335,212502831104,34770825216,174353702912,0,0,991366647808,21131,0,21215,0,1028,32423968,8
1785491346,212440625152,34710347776,174353731584,0,0,991366627328,30497,100,30779,100,1028,32358008,8
1785491356,212439535616,34709209088,174353743872,0,0,991366627328,30497,31,30779,62,1028,32358060,8
1785491366,212439953408,34710274048,174354046976,0,0,991366627328,30497,71,30779,89,1028,32358100,8
1785491376,212440956928,34709127168,174354075648,0,0,991366615040,21131,0,21215,100,1028,32357384,8
1785491386,212438523904,34707300352,174354116608,0,0,991366578176,21363,0,21575,100,1028,32357464,8
1785491397,212437512192,34708348928,174354116608,0,0,991366578176,30497,100,30779,100,1028,32357580,8
1785491407,212438622208,34708447232,174354116608,0,0,991366578176,30497,100,30779,100,1028,32357720,8
1785491417,212438687744,34708930560,174354169856,0,0,991366578176,30497,11,30779,0,1028,32357784,8
1785491427,212285816832,34556133376,174354477056,0,0,991366619136,21131,100,21215,72,1028,32206988,8
1785491437,212286181376,34555789312,174354522112,0,0,991366578176,25373,29,25385,64,1028,32207508,8
1785491448,212285960192,34554527744,174354522112,0,0,991366578176,30497,77,30479,98,1028,32207520,8
1785491458,212289015808,34555191296,174354522112,0,0,991366578176,30497,100,30479,92,1028,32207668,8
1785491468,212078927872,34347974656,174354563072,0,0,991366512640,20134,0,20353,0,1028,32003904,8
1785491478,212282269696,34548097024,174354767872,0,0,991366512640,21131,75,21349,100,1028,32199956,8
1785491489,212281110528,34549526528,174354931712,0,0,991366471680,30209,100,30881,100,1028,32200124,8
1785491499,212284092416,34550702080,174354931712,0,0,991366471680,30241,86,30913,100,1028,32200156,8
1785491509,212283674624,34550980608,174354931712,0,0,991366471680,30241,31,30913,67,1028,32200188,8
1785491519,212003233792,34273013760,174354956288,0,0,991366430720,20114,0,20335,0,1028,31930604,8
1785491530,212256006144,34525233152,174354956288,0,0,991366430720,21111,100,21331,42,1028,32161584,8
1785491540,212239437824,34510020608,174355349504,0,0,991366393856,30733,79,30831,85,1028,32161760,8
1785491550,212238348288,34507304960,174355488768,0,0,991366393856,30733,76,30831,97,1028,32160764,8
1785491560,212240343040,34508460032,174355488768,0,0,991366393856,30733,83,30831,83,1028,32160828,8
1785491570,212201541632,34474475520,174355521536,0,0,991366389760,20114,2,20335,3,1028,32125820,8
1785491581,212288368640,34557804544,174355529728,0,0,991366385664,21111,33,21331,21,1028,32208852,8
1785491591,212308893696,34577551360,174355558400,0,0,991366361088,30733,100,30831,100,1028,32226924,8
1785491601,212312215552,34578866176,174355865600,0,0,991366361088,30733,100,30831,100,1028,32227184,8
1785491611,212311805952,34577862656,174355869696,0,0,991366361088,30733,63,30831,88,1028,32227300,8
1785491621,212351967232,34620059648,174355898368,0,0,991366356992,20573,5,20537,6,1028,32183624,8
1785491632,212327260160,34592452608,174355898368,0,0,991366356992,21111,62,21331,4,1028,32237892,8
1785491642,212322824192,34591997952,174355939328,0,0,991366320128,30733,75,30831,94,1028,32237884,8
1785491652,212324827136,34592956416,174355939328,0,0,991366320128,30733,99,30831,100,1028,32237932,8
1785491662,212326969344,34594279424,174356275200,0,0,991366320128,30733,100,30831,100,1028,32238000,8
1785491672,212299878400,34567671808,174356303872,0,0,991366287360,20573,2,20537,0,1028,32212960,8
1785491683,212354158592,34621841408,174356303872,0,0,991366287360,21111,100,21331,0,1028,32264188,8
1785491693,212315340800,34585026560,174356348928,0,0,991366246400,30733,100,30831,100,1028,32226384,8
1785491703,212318224384,34584039424,174356348928,0,0,991366246400,30733,100,30831,90,1028,32226372,8
1785491713,212316987392,34584690688,174356373504,0,0,991366246400,30733,45,30831,70,1028,32226560,8
1785491724,212326576128,34594312192,174356697088,0,0,991366213632,20573,0,20793,2,1028,32204000,8
1785491734,212416598016,34681163776,174356701184,0,0,991366213632,21111,6,21331,41,1028,32319144,8
1785491744,212414148608,34680963072,174356742144,0,0,991366176768,30733,99,30831,86,1028,32319108,8
1785491754,212413796352,34681434112,174356742144,0,0,991366176768,30733,100,30831,100,1028,32319196,8
1785491764,212412391424,34681188352,174356742144,0,0,991366176768,30733,100,30831,100,1028,32319196,8
1785491775,212428681216,34697551872,174356799488,0,0,991366176768,20877,9,21097,10,1028,32320332,8
1785491785,212414607360,34682433536,174357090304,0,0,991366176768,21111,100,21331,44,1028,32320416,8
1785491795,212414119936,34682793984,174357143552,0,0,991366131712,30733,94,30687,94,1028,32320392,8
1785491805,212415696896,34681552896,174357143552,0,0,991366131712,30733,76,30687,98,1028,32320380,8
1785491815,212417175552,34681999360,174357143552,0,0,991366131712,30733,76,30687,95,1028,32320444,8
1785491826,212277772288,34545852416,174357168128,0,0,991366152192,21111,40,21331,15,1028,32186044,8
1785491836,212301381632,34554290176,174357196800,0,0,991366152192,21111,97,21331,3,1028,32204052,8
1785491846,212280795136,34545860608,174357553152,0,0,991366115328,30349,76,30543,87,1028,32186132,8
1785491856,212280057856,34546069504,174357553152,0,0,991366115328,30349,99,30543,96,1028,32186112,8
1785491867,212280107008,34545487872,174357569536,0,0,991366094848,26217,37,25969,40,1028,32186320,8
1785491877,212409044992,34676662272,174357569536,0,0,991366094848,20989,76,21261,7,1028,32313468,8
1785491887,212431052800,34695868416,174357610496,0,0,991366057984,30521,100,30637,100,1028,32331484,8
1785491897,212428423168,34694971392,174357659648,0,0,991366057984,30611,100,30697,100,1028,32331468,8
1785491908,212430086144,34695962624,174358110208,0,0,991366057984,30611,100,30697,100,1028,32331504,8
1785491918,212434231296,34697240576,174358142976,0,0,991366057984,25072,5,25131,4,1028,32331536,8
1785491928,212456095744,34719903744,174358138880,0,0,991366057984,20989,29,21261,20,1028,32353964,8
1785491938,212457668608,34719502336,174358167552,0,0,991366029312,30579,85,30665,98,1028,32354124,8
1785491948,212455866368,34720534528,174358171648,0,0,991366029312,30611,71,30697,89,1028,32354108,8
1785491959,212456402944,34720505856,174358384640,0,0,991366029312,30611,74,30697,77,1028,32354112,8
1785491969,212603916288,34866339840,174358528000,0,0,991366029312,19992,4,20265,3,1028,32915344,8
1785491979,212379512832,34641334272,174358528000,0,0,991366029312,20989,91,21261,11,1028,32274864,8
1785491989,212378808320,34641682432,174358568960,0,0,991365988352,30611,65,30697,76,1028,32275048,8
1785492000,212374786048,34642366464,174358573056,0,0,991365988352,30611,71,30697,94,1028,32275176,8
1785492010,212376285184,34641797120,174358573056,0,0,991365988352,30611,99,30697,96,1028,32275160,8
1785492020,212952969216,35216998400,174358818816,0,0,991365922816,19992,0,20265,0,1028,31995472,8
1785492030,212367667200,34630569984,174358917120,0,0,991365922816,20989,26,21261,0,1028,32265048,8
1785492040,212368678912,34631991296,174358953984,0,0,991365943296,30227,100,30729,100,1028,32265052,8
1785492051,212367327232,34632462336,174358958080,0,0,991365943296,30227,100,30729,100,1028,32265036,8
1785492061,212365328384,34631753728,174358958080,0,0,991365943296,30227,100,30729,100,1028,32265056,8
1785492071,212119920640,34383450112,174358982656,0,0,991365885952,20248,0,20265,0,1028,32021252,8
1785492081,212359536640,34623336448,174359322624,0,0,991365885952,20989,100,21261,66,1028,32255780,8
1785492092,212358397952,34623442944,174359367680,0,0,991365844992,30611,78,30761,89,1028,32255904,8
1785492102,212359479296,34623025152,174359371776,0,0,991365844992,30611,77,30761,95,1028,32255932,8
