run,step,success_pct,success_roll5_pct,approx_kl,clip_pct,grad_norm,step_min
DVAC v1 global-z (54 steps),22,89.84375,89.765625,0.064,14.2,31.486,24.735
DVAC v1 global-z (54 steps),23,87.109375,89.21875,0.049,17.2,38.412,24.7
DVAC v1 global-z (54 steps),24,78.515625,87.109375,0.045,12.9,33.519,25.203333333333333
DVAC v1 global-z (54 steps),25,90.234375,86.640625,0.0079,18.8,35.307,24.35666666666667
DVAC v1 global-z (54 steps),26,89.453125,87.03125,0.041,12.0,36.625,24.483333333333334
DVAC v1 global-z (54 steps),27,92.96875,87.65625,0.044,14.799999999999999,35.88,24.841666666666665
DVAC v1 global-z (54 steps),28,84.765625,87.1875,0.033,13.700000000000001,42.279,25.055
DVAC v1 global-z (54 steps),29,91.015625,89.6875,0.027,15.1,23.851,24.315
DVAC v1 global-z (54 steps),30,91.40625,89.921875,0.053,14.2,32.558,24.71333333333333
DVAC v1 global-z (54 steps),31,91.796875,90.390625,0.028,12.7,28.796,24.366666666666667
DVAC v1 global-z (54 steps),32,93.75,90.546875,0.018,14.899999999999999,21.837,24.023333333333333
DVAC v1 global-z (54 steps),33,84.765625,90.546875,0.044,16.0,37.129,25.073333333333334
DVAC v1 global-z (54 steps),34,85.546875,89.453125,0.031,10.8,35.66,24.56
DVAC v1 global-z (54 steps),35,91.40625,89.453125,0.06,17.0,33.641,24.415000000000003
DVAC v1 global-z (54 steps),36,93.359375,89.765625,0.049,17.0,22.736,24.238333333333333
DVAC v1 global-z (54 steps),37,91.015625,89.21875,0.023,18.8,36.771,24.64333333333333
DVAC v1 global-z (54 steps),38,92.578125,90.78125,0.041,12.6,28.633,24.066666666666666
DVAC v1 global-z (54 steps),39,89.84375,91.640625,0.054,24.099999999999998,27.365,24.483333333333334
DVAC v1 global-z (54 steps),40,91.40625,91.640625,0.044,17.1,32.225,24.678333333333335
DVAC v1 global-z (54 steps),41,93.359375,91.640625,0.069,13.900000000000002,30.726,24.603333333333335
DVAC v1 global-z (54 steps),42,92.578125,91.953125,0.076,15.8,29.308,24.311666666666667
DVAC v1 global-z (54 steps),43,88.671875,91.171875,0.085,20.8,29.679,24.783333333333335
DVAC v1 global-z (54 steps),44,85.546875,90.3125,0.048,12.6,35.227,24.961666666666666
DVAC v1 global-z (54 steps),45,89.0625,89.84375,0.044,17.5,39.558,24.675
DVAC v1 global-z (54 steps),46,87.5,88.671875,0.051,15.7,35.661,24.583333333333332
DVAC v1 global-z (54 steps),47,87.890625,87.734375,0.059,14.499999999999998,27.552,24.471666666666668
DVAC v1 global-z (54 steps),48,85.546875,87.109375,0.077,15.7,29.441,25.026666666666664
DVAC v1 global-z (54 steps),49,91.015625,88.203125,0.03,15.9,33.851,25.14333333333333
DVAC v1 global-z (54 steps),50,88.28125,88.046875,0.042,21.0,40.118,25.033333333333335
DVAC v1 global-z (54 steps),51,95.703125,89.6875,0.091,14.099999999999998,21.789,24.28666666666667
DVAC v1 global-z (54 steps),52,91.015625,90.3125,0.035,11.5,26.698,24.76833333333333
DVAC v1 global-z (54 steps),53,87.890625,90.78125,0.028,14.099999999999998,39.048,24.64
DVAC v1 global-z (54 steps),54,88.671875,90.3125,0.048,14.399999999999999,34.04,24.555
DVAC v2 R-only (g23 snapshot),1,82.421875,82.421875,0.122,15.0,39.272,25.78666666666667
DVAC v2 R-only (g23 snapshot),2,76.171875,79.296875,0.044,13.4,38.011,25.101666666666667
DVAC v2 R-only (g23 snapshot),3,78.90625,79.16666666666667,0.051,15.6,44.164,25.246666666666666
DVAC v2 R-only (g23 snapshot),4,81.25,79.6875,0.032,12.7,46.177,25.361666666666668
DVAC v2 R-only (g23 snapshot),5,82.03125,80.15625,0.021,13.700000000000001,29.716,24.970000000000002
DVAC v2 R-only (g23 snapshot),6,91.40625,81.953125,0.044,11.0,29.378,24.523333333333333
DVAC v2 R-only (g23 snapshot),7,82.8125,83.28125,0.03,12.9,33.815,24.813333333333333
DVAC v2 R-only (g23 snapshot),8,81.640625,83.828125,0.016,10.6,27.993,24.66166666666667
DVAC v2 R-only (g23 snapshot),9,80.078125,83.59375,0.039,14.2,44.476,25.245
DVAC v2 R-only (g23 snapshot),10,84.765625,84.140625,0.03,11.799999999999999,33.865,25.033333333333335
DVAC v2 R-only (g23 snapshot),11,94.921875,84.84375,0.02,8.3,21.699,24.428333333333335
DVAC v2 R-only (g23 snapshot),12,74.609375,83.203125,0.051,15.7,46.899,25.641666666666666
DVAC v2 R-only (g23 snapshot),13,78.125,82.5,0.0095,12.5,37.165,24.961666666666666
DVAC v2 R-only (g23 snapshot),14,84.375,83.359375,0.026,11.600000000000001,35.004,24.71333333333333
DVAC v2 R-only (g23 snapshot),15,79.296875,82.265625,0.061,11.4,34.818,24.81833333333333
DVAC v2 R-only (g23 snapshot),16,80.078125,79.296875,0.019,13.4,34.959,24.988333333333333
DVAC v2 R-only (g23 snapshot),17,85.546875,81.484375,0.053,13.900000000000002,22.663,24.726666666666667
DVAC v2 R-only (g23 snapshot),18,78.125,81.484375,0.032,14.299999999999999,42.792,25.404999999999998
DVAC v2 R-only (g23 snapshot),19,79.6875,80.546875,0.043,10.2,36.251,25.256666666666668
DVAC v2 R-only (g23 snapshot),20,87.109375,82.109375,0.039,13.4,31.599,25.276666666666664
DVAC v2 R-only (g23 snapshot),21,80.859375,82.265625,0.03,12.9,36.368,24.93
DVAC v2 R-only (g23 snapshot),22,87.109375,82.578125,0.045,11.5,34.295,24.521666666666665
DVAC v2 R-only (g23 snapshot),23,86.71875,84.296875,0.032,14.6,35.571,25.065
