h,position_center_log_v,position_scale_log_v,current_log_v_median,residual_median,weight_mean,weight_p05,weight_p50,weight_p95,below_one_fraction,above_one_fraction,at_min_fraction,at_max_fraction
33,-3.995504379272461,0.4268026649951935,-3.9393019676208496,0.13168242573738098,0.9556119441986084,0.5362070798873901,1.013168215751648,1.2000000476837158,0.45410628019323673,0.5458937198067633,0.04830917874396135,0.09178743961352658
34,-3.97436785697937,0.4366622865200043,-3.9168860912323,0.13163895905017853,0.9503450989723206,0.5265772342681885,1.0131639242172241,1.2000000476837158,0.4444444444444444,0.5555555555555556,0.043478260869565216,0.07729468599033816
35,-3.9694390296936035,0.4429674744606018,-3.910876512527466,0.13220500946044922,0.9646870493888855,0.6167783737182617,1.0132205486297607,1.2000000476837158,0.46859903381642515,0.5314009661835749,0.024154589371980676,0.06280193236714976
36,-3.952336549758911,0.44227728247642517,-3.8415253162384033,0.25054696202278137,0.9596049189567566,0.5591220855712891,1.025054693222046,1.2000000476837158,0.4396135265700483,0.5603864734299517,0.043478260869565216,0.057971014492753624
37,-3.9386470317840576,0.4496805667877197,-3.813096046447754,0.27920037508010864,0.9732732176780701,0.629107654094696,1.0279200077056885,1.2000000476837158,0.391304347826087,0.6086956521739131,0.01932367149758454,0.057971014492753624
38,-3.9325780868530273,0.448346883058548,-3.8409228324890137,0.20442932844161987,0.969344437122345,0.6508340239524841,1.0204429626464844,1.1911617517471313,0.4492753623188406,0.5507246376811594,0.01932367149758454,0.043478260869565216
39,-3.9260716438293457,0.4314344823360443,-3.8249082565307617,0.23448145389556885,0.9702245593070984,0.5585044622421265,1.02344810962677,1.2000000476837158,0.4251207729468599,0.5748792270531401,0.033816425120772944,0.057971014492753624
40,-3.904172420501709,0.435271680355072,-3.843085765838623,0.14034144580364227,0.9656530022621155,0.6338722705841064,1.0140341520309448,1.1997941732406616,0.4492753623188406,0.5507246376811594,0.024154589371980676,0.05314009661835749
41,-3.8965938091278076,0.4223608672618866,-3.8220839500427246,0.17641279101371765,0.9607364535331726,0.5891739130020142,1.017641305923462,1.2000000476837158,0.45410628019323673,0.5458937198067633,0.01932367149758454,0.09178743961352658
42,-3.8861069679260254,0.41116175055503845,-3.7708401679992676,0.280344158411026,0.9780134558677673,0.6207782030105591,1.0280344486236572,1.2000000476837158,0.43478260869565216,0.5652173913043478,0.014492753623188406,0.11594202898550725
43,-3.880980968475342,0.4128398895263672,-3.7502222061157227,0.31672996282577515,0.9804771542549133,0.5978753566741943,1.0316729545593262,1.2000000476837158,0.3961352657004831,0.6038647342995169,0.01932367149758454,0.13526570048309178
44,-3.8781344890594482,0.42202433943748474,-3.763897657394409,0.2706877887248993,0.9998499155044556,0.6948509812355042,1.0270687341690063,1.2000000476837158,0.38164251207729466,0.6183574879227053,0.004830917874396135,0.18357487922705315
45,-3.852076292037964,0.4141963720321655,-3.7253360748291016,0.3059912323951721,1.0020281076431274,0.6860284209251404,1.0305991172790527,1.2000000476837158,0.4057971014492754,0.5942028985507246,0.0,0.21739130434782608
46,-3.8187265396118164,0.45067083835601807,-3.6084389686584473,0.4666101038455963,1.0175433158874512,0.7236201763153076,1.0466610193252563,1.2000000476837158,0.3671497584541063,0.6328502415458938,0.004830917874396135,0.2028985507246377
47,-3.7785472869873047,0.4654330313205719,-3.5743746757507324,0.43867236375808716,1.0134705305099487,0.6923629641532898,1.0438672304153442,1.2000000476837158,0.42028985507246375,0.5797101449275363,0.00966183574879227,0.24154589371980675
48,-3.7381675243377686,0.5111571550369263,-3.5374317169189453,0.39270859956741333,1.032119631767273,0.7718774080276489,1.0392708778381348,1.2000000476837158,0.38164251207729466,0.6183574879227053,0.0,0.2028985507246377
49,-3.7081546783447266,0.5540462136268616,-3.363152027130127,0.6226965188980103,1.0343035459518433,0.7597849369049072,1.062269687652588,1.2000000476837158,0.3285024154589372,0.6714975845410628,0.0,0.21256038647342995
