global_step,aligned_runner_index_zero_based,baseline_available,current_available,current_success_once,baseline_success_once,delta_success_once,current_approx_kl,baseline_approx_kl,delta_approx_kl,current_clip_fraction,baseline_clip_fraction,delta_clip_fraction,current_grad_norm,baseline_grad_norm,delta_grad_norm,current_step_time_s,baseline_step_time_s,delta_step_time_s,current_mean_step_time_s,baseline_mean_step_time_s,delta_mean_step_time_s
34,33,1,1,0.85546875,0.92578125,-0.0703125,0.031,0.04,-0.009000000000000001,0.108,0.179,-0.071,35.66,24.904,10.755999999999997,1473.6,1468.4,5.199999999999818,1489.79,1476.585,13.204999999999927
35,34,1,1,0.9140625,0.90625,0.0078125,0.06,0.048,0.011999999999999997,0.17,0.152,0.018000000000000016,33.641,30.159,3.4819999999999993,1464.9,1457.6,7.300000000000182,1489.08,1476.042,13.038000000000011
36,35,1,1,0.93359375,0.92578125,0.0078125,0.049,0.121,-0.072,0.17,0.192,-0.021999999999999992,22.736,22.298,0.4380000000000024,1454.3,1477.3,-23.0,1488.115,1476.078,12.037000000000035
37,36,1,1,0.91015625,0.94921875,-0.0390625,0.023,0.047,-0.024,0.188,0.182,0.006000000000000005,36.771,20.408,16.363,1478.6,1455.4,23.199999999999818,1487.858,1475.518,12.339999999999918
38,37,1,1,0.92578125,0.9609375,-0.03515625,0.041,0.034,0.006999999999999999,0.126,0.167,-0.04100000000000001,28.633,21.477,7.155999999999999,1444.0,1465.3,-21.299999999999955,1486.705,1475.249,11.455999999999904
39,38,1,1,0.8984375,0.91015625,-0.01171875,0.054,0.039,0.015,0.241,0.193,0.04799999999999999,27.365,29.822,-2.4570000000000007,1469.0,1476.9,-7.900000000000091,1486.251,1475.292,10.95900000000006
40,39,1,1,0.9140625,0.95703125,-0.04296875,0.044,0.052,-0.008,0.171,0.191,-0.01999999999999999,32.225,23.791,8.434000000000001,1480.7,1488.5,-7.7999999999999545,1486.113,1475.622,10.490999999999985
41,40,1,1,0.93359375,0.9375,-0.00390625,0.069,0.082,-0.012999999999999998,0.139,0.197,-0.057999999999999996,30.726,25.413,5.312999999999999,1476.2,1479.2,-3.0,1485.871,1475.709,10.162000000000035
42,41,1,1,0.92578125,0.8671875,0.05859375,0.076,0.035,0.040999999999999995,0.158,0.151,0.007000000000000006,29.308,32.172,-2.863999999999997,1458.7,1491.5,-32.799999999999955,1485.225,1476.086,9.138999999999896
43,42,1,1,0.88671875,0.91015625,-0.0234375,0.085,0.052,0.03300000000000001,0.208,0.143,0.065,29.679,26.748,2.9309999999999974,1487.0,1469.9,17.09999999999991,1485.268,1475.942,9.326000000000022
