step,elapsed_s,step_time_s,train_success,eval_success,reward,generate_rollouts_s,actor_training_s,local_cache_size,local_transition_count,global_min_replay_size,update_step,ready_for_online,actor_loss,critic_loss,actor_switch_rate,actor_updates_run,critic_updates_run,pending_update_budget,global_total_transitions
59,5900,100.0,0.125,,0.005625,93.588,0.0056,4361.0,76.0,4304.0,0.0,0.0,,,0.0,0.0,0.0,0.0,8722.0
60,5996,99.935,0.0,,0.0,95.318,0.0056,4441.0,80.0,4384.0,0.0,0.0,,,0.0,0.0,0.0,0.0,8882.0
61,6090,99.847,0.125,,0.00625,93.826,0.0057,4516.5,75.5,4455.0,0.0,0.0,,,0.0,0.0,0.0,0.0,9033.0
62,6186,99.778,0.125,,0.005,94.808,0.0048,4593.0,76.5,4528.0,0.0,0.0,,,0.0,0.0,0.0,0.0,9186.0
63,6278,99.655,0.0,,0.0,91.372,0.0053,4673.0,80.0,4608.0,0.0,0.0,,,0.0,0.0,0.0,0.0,9346.0
64,6372,99.571,0.125,,0.005625,93.59,0.0056,4749.0,76.0,4688.0,0.0,0.0,,,0.0,0.0,0.0,0.0,9498.0
65,6462,99.425,0.25,,0.01125,89.316,0.0056,4821.0,72.0,4760.0,0.0,0.0,,,0.0,0.0,0.0,0.0,9642.0
66,6556,99.333,0.0,,0.0,92.781,0.005,4901.0,80.0,4840.0,0.0,0.0,,,0.0,0.0,0.0,0.0,9802.0
67,6649,99.25,0.0,,0.0,93.23,0.0055,4981.0,80.0,4920.0,0.0,0.0,,,0.0,0.0,0.0,0.0,9962.0
68,6743,99.17,0.125,,0.00625,93.075,0.0054,5056.5,75.5,4991.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10113.0
69,6837,99.09,0.125,,0.004375,92.968,0.0059,5133.5,77.0,5065.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10267.0
70,6931,99.022,0.125,,0.00625,93.559,0.0053,5209.0,75.5,5136.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10418.0
71,7018,98.849,0.0,,0.0,86.16,0.0057,5289.0,80.0,5216.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10578.0
72,7109,98.741,0.125,,0.006875,90.375,0.0059,5364.0,75.0,5286.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10728.0
73,7202,98.671,0.25,,0.01125,92.915,0.0059,5436.0,72.0,5350.0,0.0,0.0,,,0.0,0.0,0.0,0.0,10872.0
74,7293,98.563,0.25,,0.011875,89.917,0.0062,5507.5,71.5,5420.0,0.0,0.0,,,0.0,0.0,0.0,0.0,11015.0
