step,clean_raw_pct,clean_ma5_pct,clean_ma10_pct,clean_ma20_pct,old_raw_pct,old_ma5_pct,old_ma10_pct,old_ma20_pct,pure02_raw_pct,pure02_ma5_pct,pure02_ma10_pct,pure02_ma20_pct,pure03_raw_pct,pure03_ma5_pct,pure03_ma10_pct,pure03_ma20_pct,pure04_raw_pct,pure04_ma5_pct,pure04_ma10_pct,pure04_ma20_pct,pure05_raw_pct,pure05_ma5_pct,pure05_ma10_pct,pure05_ma20_pct
40,12.5,10.0,10.0,13.125,0.0,7.5,11.25,18.75,12.5,20.0,17.5,15.0,12.5,25.0,18.75,18.125,12.5,25.0,18.75,16.875,0.0,15.0,18.75,18.125
41,0.0,10.0,10.0,13.125,12.5,5.0,11.25,17.5,12.5,20.0,18.75,15.0,25.0,25.0,20.0,18.75,37.5,25.0,21.25,18.125,0.0,12.5,18.75,17.5
42,25.0,15.0,12.5,13.125,12.5,5.0,12.5,16.875,12.5,15.0,18.75,15.625,0.0,17.5,18.75,18.125,12.5,22.5,22.5,18.75,0.0,7.5,16.25,16.875
43,12.5,10.0,12.5,12.5,37.5,12.5,13.75,16.875,0.0,10.0,16.25,14.375,0.0,10.0,17.5,17.5,0.0,17.5,21.25,17.5,0.0,0.0,13.75,16.25
44,25.0,15.0,12.5,12.5,37.5,20.0,15.0,18.125,25.0,12.5,16.25,15.0,37.5,15.0,18.75,17.5,37.5,20.0,23.75,18.125,37.5,7.5,12.5,16.875
45,0.0,12.5,11.25,11.875,25.0,25.0,16.25,18.125,12.5,12.5,16.25,15.0,25.0,17.5,21.25,17.5,50.0,27.5,26.25,20.0,0.0,7.5,11.25,16.25
46,12.5,15.0,12.5,11.875,12.5,25.0,15.0,17.5,25.0,15.0,17.5,15.625,25.0,17.5,21.25,18.125,12.5,22.5,23.75,20.625,25.0,12.5,12.5,15.0
47,12.5,12.5,13.75,11.875,12.5,25.0,15.0,16.25,0.0,12.5,13.75,15.625,0.0,17.5,17.5,16.25,12.5,22.5,22.5,20.625,0.0,12.5,10.0,15.0
48,0.0,10.0,10.0,11.875,0.0,17.5,15.0,16.25,12.5,15.0,12.5,15.625,0.0,17.5,13.75,16.25,0.0,22.5,20.0,20.625,0.0,12.5,6.25,15.0
49,12.5,7.5,11.25,11.25,25.0,15.0,17.5,16.25,12.5,12.5,12.5,15.625,0.0,10.0,12.5,16.25,0.0,15.0,17.5,19.375,12.5,7.5,7.5,15.0
50,25.0,12.5,12.5,11.25,0.0,10.0,17.5,14.375,12.5,12.5,12.5,15.0,0.0,5.0,11.25,15.0,12.5,7.5,17.5,18.125,25.0,12.5,10.0,14.375
51,0.0,10.0,12.5,11.25,25.0,12.5,18.75,15.0,12.5,10.0,12.5,15.625,25.0,5.0,11.25,15.625,37.5,12.5,17.5,19.375,25.0,12.5,12.5,15.625
52,12.5,10.0,11.25,11.875,12.5,12.5,18.75,15.625,25.0,15.0,13.75,16.25,0.0,5.0,11.25,15.0,12.5,12.5,17.5,20.0,12.5,15.0,13.75,15.0
53,12.5,12.5,11.25,11.875,12.5,15.0,16.25,15.0,50.0,22.5,18.75,17.5,12.5,7.5,12.5,15.0,12.5,15.0,18.75,20.0,0.0,15.0,13.75,13.75
54,12.5,12.5,10.0,11.25,12.5,12.5,13.75,14.375,0.0,20.0,16.25,16.25,0.0,7.5,8.75,13.75,12.5,17.5,16.25,20.0,12.5,15.0,11.25,11.875
55,12.5,10.0,11.25,11.25,0.0,12.5,11.25,13.75,12.5,20.0,16.25,16.25,12.5,10.0,7.5,14.375,12.5,17.5,12.5,19.375,12.5,12.5,12.5,11.875
56,12.5,12.5,11.25,11.875,25.0,12.5,12.5,13.75,12.5,20.0,15.0,16.25,37.5,12.5,8.75,15.0,25.0,15.0,13.75,18.75,25.0,12.5,12.5,12.5
57,37.5,17.5,13.75,13.75,12.5,12.5,12.5,13.75,25.0,20.0,17.5,15.625,25.0,17.5,11.25,14.375,25.0,17.5,15.0,18.75,25.0,15.0,15.0,12.5
58,25.0,20.0,16.25,13.125,0.0,10.0,12.5,13.75,0.0,10.0,16.25,14.375,12.5,17.5,12.5,13.125,25.0,20.0,17.5,18.75,12.5,17.5,16.25,11.25
59,12.5,20.0,16.25,13.75,37.5,15.0,13.75,15.625,37.5,17.5,18.75,15.625,12.5,20.0,13.75,13.125,37.5,25.0,21.25,19.375,0.0,15.0,15.0,11.25
60,0.0,17.5,13.75,13.125,12.5,17.5,15.0,16.25,37.5,22.5,21.25,16.875,25.0,22.5,16.25,13.75,12.5,25.0,21.25,19.375,25.0,17.5,15.0,12.5
61,12.5,17.5,15.0,13.75,12.5,15.0,13.75,16.25,0.0,20.0,20.0,16.25,25.0,20.0,16.25,13.75,12.5,22.5,18.75,18.125,25.0,17.5,15.0,13.75
62,12.5,12.5,15.0,13.125,0.0,12.5,12.5,15.625,0.0,15.0,17.5,15.625,12.5,17.5,17.5,14.375,0.0,17.5,17.5,17.5,25.0,17.5,16.25,15.0
63,0.0,7.5,13.75,12.5,37.5,20.0,15.0,15.625,37.5,22.5,16.25,17.5,50.0,25.0,21.25,16.875,0.0,12.5,16.25,17.5,37.5,22.5,20.0,16.875
64,12.5,7.5,13.75,11.875,12.5,15.0,15.0,14.375,12.5,17.5,17.5,16.875,25.0,27.5,23.75,16.25,12.5,7.5,16.25,16.25,37.5,30.0,22.5,16.875
65,37.5,15.0,16.25,13.75,37.5,20.0,18.75,15.0,25.0,15.0,18.75,17.5,25.0,27.5,25.0,16.25,37.5,12.5,18.75,15.625,0.0,25.0,21.25,16.875
66,12.5,15.0,16.25,13.75,12.5,20.0,17.5,15.0,0.0,15.0,17.5,16.25,12.5,25.0,22.5,15.625,0.0,10.0,16.25,15.0,12.5,22.5,20.0,16.25
67,12.5,15.0,13.75,13.75,12.5,22.5,17.5,15.0,0.0,15.0,15.0,16.25,25.0,27.5,22.5,16.875,25.0,15.0,16.25,15.625,25.0,22.5,20.0,17.5
68,12.5,17.5,12.5,14.375,25.0,20.0,20.0,16.25,12.5,10.0,16.25,16.25,12.5,20.0,22.5,17.5,25.0,20.0,16.25,16.875,0.0,15.0,18.75,17.5
69,12.5,17.5,12.5,14.375,0.0,17.5,16.25,15.0,25.0,12.5,15.0,16.875,12.5,17.5,22.5,18.125,0.0,17.5,12.5,16.875,12.5,10.0,20.0,17.5
70,25.0,15.0,15.0,14.375,25.0,15.0,17.5,16.25,37.5,15.0,15.0,18.125,50.0,22.5,25.0,20.625,12.5,12.5,12.5,16.875,25.0,15.0,20.0,17.5
71,25.0,17.5,16.25,15.625,12.5,15.0,17.5,15.625,37.5,22.5,18.75,19.375,0.0,20.0,22.5,19.375,0.0,12.5,11.25,15.0,12.5,15.0,18.75,16.875
72,37.5,22.5,18.75,16.875,12.5,15.0,18.75,15.625,12.5,25.0,20.0,18.75,12.5,17.5,22.5,20.0,25.0,12.5,13.75,15.625,0.0,10.0,16.25,16.25
73,12.5,22.5,20.0,16.875,12.5,12.5,16.25,15.625,37.5,30.0,20.0,18.125,25.0,20.0,20.0,20.625,37.5,15.0,17.5,16.875,25.0,15.0,15.0,17.5
74,37.5,27.5,22.5,18.125,0.0,12.5,15.0,15.0,12.5,27.5,20.0,18.75,12.5,20.0,18.75,21.25,12.5,17.5,17.5,16.875,12.5,15.0,12.5,17.5
75,12.5,25.0,20.0,18.125,50.0,17.5,16.25,17.5,12.5,22.5,18.75,18.75,25.0,15.0,18.75,21.875,0.0,15.0,13.75,16.25,12.5,12.5,13.75,17.5
76,0.0,20.0,18.75,17.5,0.0,15.0,15.0,16.25,12.5,17.5,20.0,18.75,12.5,17.5,18.75,20.625,12.5,17.5,15.0,15.625,25.0,15.0,15.0,17.5
77,0.0,12.5,17.5,15.625,0.0,12.5,13.75,15.625,0.0,15.0,20.0,17.5,0.0,15.0,16.25,19.375,0.0,12.5,12.5,14.375,0.0,15.0,12.5,16.25
78,12.5,12.5,17.5,15.0,12.5,12.5,12.5,16.25,0.0,7.5,18.75,17.5,12.5,12.5,16.25,19.375,0.0,5.0,10.0,13.125,12.5,12.5,13.75,16.25
