scope,scheme,valid_queries,positions,weight_min,weight_p01,weight_p05,weight_p25,weight_median,weight_mean,weight_p75,weight_p95,weight_p99,weight_max,weight_std,mean_square_weight,l2_scale_proxy,global_ess_fraction,query_ess_fraction_p05,query_ess_fraction_median,query_ess_fraction_mean,orthogonal_equal_gradient_cosine_proxy,orthogonal_equal_gradient_angle_deg_proxy,fraction_zero,fraction_below_one,fraction_above_one,query_mean_p05,query_mean_median,query_mean_p95,front_h00_24_mean,back_h25_49_mean,back_minus_front,back_over_front
all_apply_g2_g39,up_only_a0.3,14551,727550,1.0,1.0,1.0,1.0,1.0472185015678406,1.1461269855499268,1.2521202266216278,1.600000023841858,1.600000023841858,1.600000023841858,0.18868258595466614,1.349208116531372,1.161554217338562,0.9736133813858032,0.9670541882514954,0.9854578375816345,0.9846993088722229,0.9867184914583303,9.34852689353063,0.0,0.0,0.5668723799051612,1.0053439140319824,1.1296433210372925,1.3699195384979248,1.1095629930496216,1.1826910972595215,0.0731281042098999,1.0659071207046509
all_apply_g2_g39,mean1_up_only_a0.3,14551,727550,0.6320364475250244,0.7614823573827744,0.8254342943429948,0.9185017943382263,0.9842525720596313,1.0,1.064709633588791,1.247769182920456,1.3552001357078554,1.5760952234268188,0.1250941902399063,1.015648603439331,1.00779390335083,0.9845924973487854,0.9670542478561401,0.9854581356048584,0.9846993684768677,0.992266343956493,7.130341734094868,0.0,0.6202226651089272,0.37139303140677615,0.9999999403953552,1.0,1.0000001192092896,0.969753623008728,1.030246376991272,0.060492753982543945,1.0623794794082642
all_apply_g2_g39,bounded_hard_top20_mean1,14551,727550,0.95,0.95,0.95,0.95,0.95,1.0,0.95,1.2,1.2,1.2,0.09999999999999998,1.01,1.004987562112089,0.9900990099009901,0.9900990099009903,0.9900990099009904,0.9900990099009905,0.9950371902099892,5.710593137499633,0.0,0.8,0.2,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9852628685313722,1.0147371314686273,0.02947426293725508,1.0299151260832444
all_apply_g2_g39,hardmask_top20_raw,14551,727550,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,1.0,0.4,0.2,0.4472135954999579,0.2,0.2,0.2,0.2,0.4472135954999579,63.43494882292201,0.8,0.8,0.0,0.2,0.2,0.2,0.14105147412548966,0.25894852587451034,0.11789705174902068,1.835844165968311
all_apply_g2_g39,hardmask_top20_mean1,14551,727550,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,5.0,2.0,5.0,2.23606797749979,0.2,0.2,0.2,0.2,0.4472135954999579,63.43494882292201,0.8,0.8,0.2,1.0,1.0,1.0,0.7052573706274483,1.2947426293725517,0.5894852587451034,1.8358441659683107
latest_g39,symmetric_a0.1,242,12100,0.800000011920929,0.8298023462295532,0.8791044294834137,0.9556751996278763,1.0200791954994202,1.0262104272842407,1.0932379961013794,1.2000000476837158,1.2000000476837158,1.2000000476837158,0.09499135613441467,1.0621312856674194,1.0305975675582886,0.991504430770874,0.9901196956634521,0.9948887825012207,0.9945374727249146,0.9957431550208488,5.288539207121687,0.0,0.4252892561983471,0.5747107438016529,0.936818540096283,1.0239888429641724,1.1213090419769287,1.0042469501495361,1.0481740236282349,0.04392707347869873,1.0437413454055786
latest_g39,mean1_symmetric_a0.1,242,12100,0.7114730477333069,0.8191256523132324,0.8753952950239181,0.9513354003429413,1.0021666884422302,1.0,1.048921138048172,1.124985694885254,1.1629225015640259,1.240524411201477,0.07415041327476501,1.0054982900619507,1.0027453899383545,0.9945317506790161,0.9901196956634521,0.9948887825012207,0.994537353515625,0.9972621273662287,4.240756997238911,0.0,0.48958677685950414,0.5104132231404959,0.9999998211860657,1.0,1.0000001192092896,0.9791260957717896,1.0208739042282104,0.0417478084564209,1.042637825012207
latest_g39,up_only_a0.1,242,12100,1.0,1.0,1.0,1.0,1.0200791954994202,1.052933931350708,1.0932379961013794,1.2000000476837158,1.2000000476837158,1.2000000476837158,0.06613786518573761,1.1130441427230835,1.055009126663208,0.9960699081420898,0.9950753450393677,0.9976947903633118,0.9975606203079224,0.9980330195650291,3.5942548164746695,0.0,0.0,0.5747107438016529,1.0037082433700562,1.048983097076416,1.1297675371170044,1.0370171070098877,1.0688507556915283,0.031833648681640625,1.0306973457336426
latest_g39,mean1_up_only_a0.1,242,12100,0.8418228626251221,0.8973555564880371,0.9306374788284302,0.9701147079467773,0.9928874373435974,1.0,1.0271416008472443,1.0989577651023865,1.1328627467155457,1.1810860633850098,0.04947584122419357,1.0024478435516357,1.0012232065200806,0.9975581765174866,0.9950752854347229,0.997694730758667,0.9975606203079224,0.9987783420346511,2.8324135863401336,0.0,0.6131404958677686,0.38272727272727275,0.9999998211860657,1.0,1.0000001192092896,0.9851856231689453,1.0148143768310547,0.029628753662109375,1.0300742387771606
latest_g39,symmetric_a0.2,242,12100,0.6000000238418579,0.6596047514677048,0.7582087993621827,0.9113504439592361,1.0401583909988403,1.0524208545684814,1.1864759624004364,1.399999976158142,1.399999976158142,1.399999976158142,0.18998268246650696,1.1436833143234253,1.0694313049316406,0.9684410095214844,0.9646008610725403,0.9803220629692078,0.9795283675193787,0.9840940044129343,10.232821591530177,0.0,0.4252892561983471,0.5747107438016529,0.8736371397972107,1.0479775667190552,1.2426180839538574,1.0084937810897827,1.0963480472564697,0.08785426616668701,1.0871143341064453
