step,rlt_raw_pct,rlt_ma5_pct,rlt_ma10_pct,dvac_bc_raw_pct,dvac_bc_ma5_pct,dvac_bc_ma10_pct,pure_s0p5_raw_pct,pure_s0p5_ma5_pct,pure_s0p5_ma10_pct,pure_s2p0_raw_pct,pure_s2p0_ma5_pct,pure_s2p0_ma10_pct
121,25.0,20.0,22.5,12.5,15.0,15.0,25.0,15.0,15.0,25.0,20.0,17.5
122,25.0,22.5,22.5,0.0,15.0,13.75,12.5,10.0,13.75,0.0,12.5,12.5
123,25.0,22.5,23.75,62.5,25.0,17.5,12.5,10.0,12.5,25.0,12.5,13.75
124,25.0,22.5,25.0,12.5,22.5,18.75,25.0,15.0,15.0,12.5,12.5,15.0
125,50.0,30.0,25.0,37.5,25.0,21.25,37.5,22.5,18.75,25.0,17.5,17.5
126,0.0,25.0,22.5,12.5,25.0,20.0,25.0,22.5,18.75,25.0,17.5,18.75
127,62.5,32.5,27.5,37.5,32.5,23.75,37.5,27.5,18.75,75.0,32.5,22.5
128,0.0,27.5,25.0,0.0,20.0,22.5,25.0,30.0,20.0,12.5,30.0,21.25
129,37.5,30.0,26.25,0.0,17.5,20.0,25.0,30.0,22.5,37.5,35.0,23.75
130,12.5,22.5,26.25,25.0,15.0,20.0,25.0,27.5,25.0,25.0,35.0,26.25
131,12.5,25.0,25.0,12.5,15.0,20.0,0.0,22.5,22.5,12.5,32.5,25.0
132,12.5,15.0,23.75,0.0,7.5,20.0,12.5,17.5,22.5,0.0,17.5,25.0
133,12.5,17.5,22.5,12.5,10.0,15.0,25.0,17.5,23.75,12.5,17.5,23.75
134,12.5,12.5,21.25,25.0,15.0,16.25,12.5,15.0,22.5,0.0,10.0,22.5
135,37.5,17.5,20.0,12.5,12.5,13.75,12.5,12.5,20.0,0.0,5.0,20.0
136,0.0,15.0,20.0,0.0,10.0,12.5,0.0,12.5,17.5,12.5,5.0,18.75
137,25.0,17.5,16.25,12.5,12.5,10.0,37.5,17.5,17.5,0.0,5.0,11.25
138,37.5,22.5,20.0,37.5,17.5,13.75,25.0,17.5,17.5,25.0,7.5,12.5
139,12.5,22.5,17.5,0.0,12.5,13.75,12.5,17.5,16.25,12.5,10.0,10.0
140,12.5,17.5,17.5,0.0,10.0,11.25,12.5,17.5,15.0,25.0,15.0,10.0
141,0.0,17.5,16.25,12.5,12.5,11.25,0.0,17.5,15.0,0.0,12.5,8.75
142,37.5,20.0,18.75,0.0,10.0,11.25,37.5,17.5,17.5,12.5,15.0,10.0
143,12.5,15.0,18.75,12.5,5.0,11.25,0.0,12.5,15.0,0.0,10.0,8.75
144,0.0,12.5,17.5,12.5,7.5,10.0,12.5,12.5,15.0,12.5,10.0,10.0
145,12.5,12.5,15.0,12.5,10.0,10.0,12.5,12.5,15.0,0.0,5.0,10.0
146,12.5,15.0,16.25,25.0,12.5,12.5,12.5,15.0,16.25,12.5,7.5,10.0
147,0.0,7.5,13.75,0.0,12.5,11.25,25.0,12.5,15.0,0.0,5.0,10.0
148,25.0,10.0,12.5,0.0,10.0,7.5,0.0,12.5,12.5,25.0,10.0,10.0
149,12.5,12.5,12.5,37.5,15.0,11.25,37.5,17.5,15.0,12.5,10.0,10.0
150,12.5,12.5,12.5,12.5,15.0,12.5,25.0,20.0,16.25,12.5,12.5,8.75
151,25.0,15.0,15.0,0.0,10.0,11.25,0.0,17.5,16.25,12.5,12.5,10.0
152,12.5,17.5,12.5,0.0,10.0,11.25,12.5,15.0,13.75,12.5,15.0,10.0
