timestamp,wrapper_alive,host_mem_available_kib,swap_free_kib,mem_psi_some_avg10,gpu6_used_mib,gpu6_util_pct,gpu6_temp_c
2026-09-05T04:39:53.101580+00:00,1,1099895960,164,0.00,44299,3,37
2026-09-05T04:39:58.239469+00:00,1,1099029828,164,0.00,44655,0,37
2026-09-05T04:40:03.388065+00:00,1,1099072692,168,0.00,45625,3,37
2026-09-05T04:40:08.562067+00:00,1,1098021796,196,0.00,46259,3,37
2026-09-05T04:40:13.700738+00:00,1,1097729788,196,0.00,46789,0,37
2026-09-05T04:40:18.843822+00:00,1,1097638312,196,0.00,47503,8,37
2026-09-05T04:40:24.086943+00:00,1,1096876740,200,0.00,48137,0,37
2026-09-05T04:40:29.227497+00:00,1,1095913148,224,0.00,48668,0,37
2026-09-05T04:40:34.384047+00:00,1,1095297112,344,0.00,49382,0,37
2026-09-05T04:40:39.580877+00:00,1,1095423080,464,0.00,49988,3,37
2026-09-05T04:40:44.726974+00:00,1,1094960904,464,0.00,50546,0,37
2026-09-05T04:40:49.864851+00:00,1,1094522588,468,0.00,51516,0,37
2026-09-05T04:40:55.015757+00:00,1,1093812792,468,0.00,52073,4,37
2026-09-05T04:41:00.165508+00:00,1,1093347976,548,0.00,58507,35,49
2026-09-05T04:41:05.305448+00:00,1,1093255284,588,0.00,58517,18,39
2026-09-05T04:41:10.447080+00:00,1,1093153832,628,0.00,58517,56,41
2026-09-05T04:41:15.584488+00:00,1,1093100180,648,0.00,58517,0,39
2026-09-05T04:41:20.746875+00:00,1,1093067080,708,0.00,58517,0,38
2026-09-05T04:41:25.918463+00:00,1,1093058888,732,0.00,58517,0,38
2026-09-05T04:41:31.063537+00:00,1,1092733096,756,0.00,58519,0,39
2026-09-05T04:41:36.206039+00:00,1,1092724896,764,0.00,58519,0,39
2026-09-05T04:41:41.349989+00:00,1,1092418356,764,0.00,58519,0,38
2026-09-05T04:41:46.483522+00:00,1,1092774932,772,0.00,58519,0,38
2026-09-05T04:41:51.626279+00:00,1,1092734828,772,0.00,58519,12,40
2026-09-05T04:41:56.773205+00:00,1,1092684792,772,0.00,58519,0,39
2026-09-05T04:42:01.918477+00:00,1,1092672644,780,0.00,58519,17,40
2026-09-05T04:42:07.104946+00:00,1,1092463488,780,0.00,58519,19,40
2026-09-05T04:42:12.246567+00:00,1,1092654700,780,0.00,58519,100,41
2026-09-05T04:42:17.388030+00:00,1,1092657768,788,0.00,58519,99,43
2026-09-05T04:42:22.544718+00:00,1,1092589460,788,0.00,58519,90,42
2026-09-05T04:42:27.696342+00:00,1,1092114932,792,0.00,58519,96,42
2026-09-05T04:42:32.817099+00:00,1,1086637408,836,0.00,58519,9,39
2026-09-05T04:42:37.970165+00:00,1,1085838280,844,0.00,61859,99,53
2026-09-05T04:42:43.100814+00:00,1,1085825876,844,0.00,61879,100,56
2026-09-05T04:42:48.249837+00:00,1,1085818152,844,0.00,61879,84,55
2026-09-05T04:42:53.400534+00:00,1,1085803288,844,0.00,61879,74,59
2026-09-05T04:42:58.554665+00:00,1,1085796464,844,0.00,61879,94,60
2026-09-05T04:43:03.727113+00:00,1,1085804092,848,0.00,61879,100,64
2026-09-05T04:43:08.859213+00:00,1,1085745116,848,0.00,61879,100,63
2026-09-05T04:43:13.994716+00:00,1,1085344344,848,0.00,61879,35,62
2026-09-05T04:43:19.129194+00:00,1,1085460248,0,0.00,61879,100,65
2026-09-05T04:43:24.263727+00:00,1,1085896328,0,0.00,61879,100,66
2026-09-05T04:43:29.391313+00:00,1,1085876980,0,0.00,61879,57,63
2026-09-05T04:43:34.529758+00:00,1,1085888288,0,0.00,61879,100,66
2026-09-05T04:43:39.641753+00:00,1,1085908436,0,0.00,61879,85,64
2026-09-05T04:43:44.773466+00:00,1,1085478804,0,0.00,61879,100,65
2026-09-05T04:43:49.907907+00:00,1,1085503288,0,0.00,61879,70,58
2026-09-05T04:43:55.033248+00:00,1,1086576280,0,0.00,47651,0,55
2026-09-05T04:44:00.160943+00:00,1,1090126928,4,0.00,55881,0,50
2026-09-05T04:44:05.288539+00:00,1,1090048448,4,0.00,55911,0,49
2026-09-05T04:44:10.421943+00:00,1,1089913096,4,0.00,55937,0,48
2026-09-05T04:44:15.564998+00:00,1,1088910616,0,0.00,55963,0,47
2026-09-05T04:44:20.729258+00:00,1,1089680532,0,0.00,55989,0,46
2026-09-05T04:44:25.897041+00:00,1,1088745252,0,0.00,55993,0,45
2026-09-05T04:44:31.086276+00:00,1,1088639524,0,0.00,56808,0,45
2026-09-05T04:44:36.232890+00:00,1,1087932612,0,0.00,57521,0,44
2026-09-05T04:44:41.411030+00:00,1,1087530696,0,0.00,57876,0,44
2026-09-05T04:44:46.556085+00:00,1,1087177940,0,0.00,58686,71,46
2026-09-05T04:44:51.716644+00:00,1,1086497660,0,0.00,59400,0,43
2026-09-05T04:44:56.859732+00:00,1,1085783148,0,0.00,59750,0,42
2026-09-05T04:45:02.110802+00:00,1,1087131064,88,0.00,60540,0,42
2026-09-05T04:45:07.274086+00:00,0,1148837056,100,0.00,9,0,41
