h,weight_p10,weight_p25,weight_median,weight_mean,weight_p75,weight_p90,log10_v_l3_median
15,0.9103951275348663,0.957140177488327,1.0163812637329102,1.0217984019545838,1.083442896604538,1.1456798791885376,-1.8820704726456772
16,0.9160315930843353,0.9595490247011185,1.016880989074707,1.021729463012889,1.0827364325523376,1.1370003342628479,-1.8806185872404297
17,0.9027409791946411,0.9550339132547379,1.0167349576950073,1.0168939107097685,1.0776329040527344,1.1335455179214478,-1.8810429020214419
18,0.9057174801826477,0.9625197798013687,1.020697832107544,1.018703478970565,1.076887309551239,1.1297139525413513,-1.869528335755669
19,0.900014442205429,0.9491388201713562,1.0050634145736694,1.0093471598811448,1.0723573565483093,1.1258284330368042,-1.9149557735403913
20,0.896984088420868,0.9418770223855972,0.9980486929416656,1.0050917383050546,1.0673161447048187,1.1244756579399109,-1.9353379662139043
21,0.8952480435371399,0.9367363005876541,0.9980303347110748,1.000670084147714,1.0636312365531921,1.1117643952369691,-1.9353913906767257
22,0.8751449704170227,0.9287013411521912,0.9913558959960938,0.9931696456624195,1.0555587112903595,1.1114290833473206,-1.9547847381130783
23,0.886010205745697,0.9321758598089218,0.9895326197147369,0.9943167616147548,1.052041471004486,1.1128856658935546,-1.960082533623838
24,0.8910594880580902,0.9285213351249695,0.9903954267501831,0.9926417524693534,1.0516976416110992,1.1090261697769166,-1.957575511634798
25,0.8821554839611053,0.9303042143583298,0.9867901802062988,0.9910808107815683,1.0520651042461395,1.1046294093132019,-1.9680509217207773
26,0.8834288120269775,0.9251246154308319,0.9830368459224701,0.9882671952946112,1.047230452299118,1.1021076917648316,-1.9789566260294227
27,0.8919205605983734,0.9352722316980362,0.9852603077888489,0.993730675894767,1.0512146353721619,1.1044365644454956,-1.97249617527991
28,0.8814929902553559,0.9337419718503952,0.9902177155017853,0.9925817520124838,1.0520607829093933,1.1057976126670839,-1.9580917945136158
29,0.8899311184883117,0.9302487373352051,0.9886777400970459,0.9935568403452635,1.0499479472637177,1.105372667312622,-1.9625663569481064
30,0.8742195844650269,0.9312644302845001,0.9882525205612183,0.9922889129957184,1.0480138957500458,1.1073633909225464,-1.9638018685319079
31,0.8807827234268188,0.9303650110960007,0.9879685640335083,0.9944009269820526,1.0505374073982239,1.1215525627136231,-1.9646270447281236
32,0.8890440046787262,0.9355374276638031,0.993913322687149,0.9980993311619386,1.0558313429355621,1.1209620594978333,-1.9473539233364314
33,0.8852380216121674,0.9359254240989685,0.9912176430225372,0.9985272294143215,1.0548747777938843,1.1231453180313111,-1.9551864670841927
34,0.8895090341567993,0.9398146718740463,0.995370090007782,1.0010161098325625,1.0560260117053986,1.1330397725105286,-1.9431209866455745
35,0.8924583792686462,0.9393614381551743,0.9973926842212677,1.004635846358724,1.058414787054062,1.1351655721664429,-1.9372441147474058
36,0.8915727317333222,0.9443522840738297,1.006244957447052,1.0098253809846938,1.0667213797569275,1.1441361546516418,-1.9115226946807145
37,0.8892194032669067,0.9385434687137604,1.0013552904129028,1.0071356103289872,1.0701513588428497,1.1419986367225647,-1.9257304728729803
38,0.8952868461608887,0.9483081549406052,1.0085521340370178,1.0128295846516266,1.0714699625968933,1.1379944562911988,-1.9048191530832013
39,0.9096722424030304,0.9490210115909576,1.0056959986686707,1.0143838255899027,1.0744614899158478,1.135168719291687,-1.913117880762996
40,0.9031158745288849,0.9448305517435074,1.005981206893921,1.0120052507845685,1.0767084658145905,1.1295044422149658,-1.9122891584998047
41,0.9036417961120605,0.9453633278608322,1.0069076418876648,1.0125935132382438,1.0736783146858215,1.1327973246574403,-1.909597279269441
42,0.8995388865470886,0.9500272125005722,1.011493980884552,1.014431860879995,1.0813186168670654,1.1318575978279113,-1.8962711642733348
43,0.9118368744850158,0.9515489637851715,1.0134666562080383,1.019245414994657,1.0874936878681183,1.1367603063583376,-1.8905393647359887
44,0.909663987159729,0.954550102353096,1.0162821412086487,1.0222321815090254,1.0858972668647766,1.1447439670562745,-1.8823586302350055
45,0.9125017940998077,0.9578377306461334,1.02016282081604,1.0254344522254542,1.0890273451805115,1.164546811580658,-1.871082806814212
46,0.9150395393371582,0.9571332633495331,1.0215949416160583,1.02889988059178,1.098719596862793,1.169785213470459,-1.866921622415446
47,0.9145975649356842,0.960881918668747,1.030040979385376,1.032282919390127,1.1010394394397736,1.198663330078125,-1.8423806052364613
48,0.9329330325126648,0.9682975560426712,1.033374011516571,1.0455349807161838,1.123538851737976,1.2000000476837158,-1.8326961556604118
49,0.9367763996124268,0.9707667678594589,1.0436875820159912,1.0526668617967516,1.141288161277771,1.2000000476837158,-1.8027287083317605
