group_id,policy,checkpoint,task,phase_axis,phase_coarse,phase_task,query_state_phase,metric,episodes,mean,bootstrap_ci_low,bootstrap_ci_high,inference_limit
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,OPERATING,place-release,place-release,mean_abs_I_std,2,0.88817422523438,0.7101289129472846,1.0662195375214756,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,OPERATING,place-release,place-release,mean_y_ln,2,-8.356729677408191,-8.457398590897748,-8.256060763918635,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,TRANSITION,verify,verify,mean_S_raw,1,0.1927192301289609,,,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,TRANSITION,verify,verify,mean_S_std,1,0.28049125337357417,,,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,TRANSITION,verify,verify,mean_abs_R_std,1,0.5457561673105078,,,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,TRANSITION,verify,verify,mean_abs_I_raw,1,0.26726567612594176,,,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,TRANSITION,verify,verify,mean_abs_I_std,1,0.47843354173122365,,,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,action_phase,TRANSITION,verify,verify,mean_y_ln,1,-8.548062367927791,,,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,approach,mean_S_raw,2,-0.15650666424638204,-0.353978422008147,0.04096509351538294,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,approach,mean_S_std,2,-0.26335881874561684,-0.5920916779720783,0.06537404048084458,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
