minute,gpu0_used_mib,gpu1_used_mib,gpu0_util_pct,gpu1_util_pct,cgroup_anon_bytes,matched_total_rss_kib,env_rss_kib,rollout_rss_kib,cgroup_current_bytes,cgroup_file_bytes
23.73333333333333,17289,17372,16.307692307692307,13.076923076923077,35765583872,40830988,15195908,11227128,242971648000,204866514944
24.22820512820513,17289,17372,47.07692307692308,64.15384615384616,35782561792,40831612,15195972,11227264,242986278912,204866842624
24.741666666666667,15935,16017,10.642857142857142,10.5,35721740288,40787256,15171160,11227336,242928320512,204866895872
25.255128205128205,17289,17372,22.53846153846154,38.84615384615385,35748311040,40813240,15190992,11227352,242952904704,204867223552
25.744871794871795,17289,17372,14.923076923076923,65.07692307692308,35748720640,40813824,15191000,11227412,242955190272,204867227648
26.23846153846154,15995,16017,43.30769230769231,6.538461538461538,35842678784,40985424,15332220,11227492,243047202816,204867739648
26.73205128205128,15503,15494,48.38461538461539,48.84615384615385,35933290496,40989144,15334576,11227600,243140603904,204867743744
27.24047619047619,15503,15494,23.928571428571427,17.214285714285715,37175164928,42272256,16580212,11227744,244383621120,204952858624
27.7525641025641,17543,17626,18.307692307692307,7.461538461538462,39098802176,44083452,18436728,11228028,246402318336,204957954048
28.247435897435896,17543,17626,33.92307692307692,53.61538461538461,39101300736,44086384,18437284,11228048,246408630272,204958269440
28.73846153846154,15935,16017,16.23076923076923,8.538461538461538,37289308160,42317620,16669392,11228048,244592594944,204958310400
29.23076923076923,17289,17372,23.692307692307693,20.076923076923077,39009800192,43998260,18353820,11228072,246317723648,204958654464
29.74047619047619,17289,17372,30.071428571428573,28.428571428571427,39009239040,43998484,18354260,11228132,246314975232,204958666752
30.255128205128205,16105,16188,9.076923076923077,6.6923076923076925,39042646016,43613496,17979008,11228212,246349447168,204959023104
30.75128205128205,17289,17372,13.384615384615385,12.692307692307692,38930812928,43923268,18283452,11228316,246238695424,204959027200
31.244871794871795,17289,17372,23.923076923076923,27.307692307692307,38932672512,43926444,18283428,11228312,246242185216,204959367168
31.74102564102564,16867,16974,6.615384615384615,11.076923076923077,39075528704,44064808,18419968,11228428,246381072384,204959408128
32.235897435897435,17289,17372,34.38461538461539,47.15384615384615,38973022208,43965928,18318004,11228436,246283096064,204959879168
32.73076923076923,17289,17372,7.846153846153846,31.53846153846154,38974005248,43967284,18317972,11228468,246283612160,204959887360
33.24404761904762,17289,17372,18.857142857142858,10.071428571428571,38949167104,43943192,18272856,11228468,246258294784,204960280576
33.756410256410255,17289,17372,42.69230769230769,57.46153846153846,38951714816,43944704,18274068,11228444,246259589120,204960288768
34.24871794871795,17289,17372,11.461538461538462,25.23076923076923,38952787968,43945744,18274176,11228608,246260396032,204960608256
34.7448717948718,17289,17372,36.0,27.846153846153847,39044202496,44035320,18365952,11228672,246353842176,204960645120
35.23974358974359,17289,17372,28.846153846153847,33.84615384615385,39047782400,44038212,18367292,11228688,246356094976,204960989184
35.735897435897435,15935,17372,14.538461538461538,22.846153846153847,38849191936,43844584,18173548,11229024,246157099008,204961026048
36.23076923076923,17289,17372,20.46153846153846,17.076923076923077,39110893568,44102204,18424516,11229212,246420754432,204961349632
36.74404761904761,17289,17372,44.642857142857146,45.142857142857146,39076061184,44068680,18390992,11229252,246386778112,204961361920
37.25769230769231,16011,16094,9.692307692307692,10.461538461538462,38231216128,43242832,17560784,11229252,245539639296,204961767424
37.753846153846155,17293,17376,34.84615384615385,36.46153846153846,39141482496,44131368,18443100,11229296,246451716096,204961775616
38.2448717948718,17293,17376,24.76923076923077,21.0,39142895616,44133436,18443084,11229380,246453944320,204962226176
38.741025641025644,16919,16978,12.692307692307692,12.846153846153847,39115304960,44107356,18438004,11229408,246422720512,204962263040
39.23461538461539,17293,17376,52.76923076923077,51.53846153846154,39013707776,44009040,18333608,11229404,246323425280,204962611200
39.72820512820513,17293,17376,24.846153846153847,29.846153846153847,39013986304,44009412,18334460,11229388,246324699136,204962619392
40.24285714285714,17171,17254,15.428571428571429,19.142857142857142,39186812928,44176920,18508148,11229460,246497185792,204962979840
40.75384615384615,17171,17254,40.69230769230769,28.153846153846153,39191400448,44180220,18508128,11229460,246503100416,204962988032
41.2474358974359,15817,17254,21.307692307692307,20.076923076923077,38871310336,43867164,18195484,11229496,246178975744,204963340288
41.741025641025644,15385,15376,24.53846153846154,21.076923076923077,39139803136,44131276,18439168,11229512,246448807936,204963348480
42.23461538461538,15385,15376,28.615384615384617,27.307692307692307,38761398272,43760676,18063424,11231040,246072496128,204963672064
42.72948717948718,17425,17508,15.153846153846153,16.615384615384617,39297601536,44286100,18610168,11231052,246724173824,205073321984
43.24285714285714,17425,17508,36.357142857142854,34.5,39297400832,44285144,18611204,11231124,246723272704,205073772544
43.75641025641026,17425,17508,29.923076923076923,22.692307692307693,39297753088,44286464,18610376,11231176,246724218880,205073780736
44.25,17171,17254,37.46153846153846,14.461538461538462,39247519744,44236800,18549912,11231180,246674984960,205074186240
44.74358974358974,17171,17254,44.15384615384615,43.69230769230769,39185784832,44169148,18478680,11231180,246610919424,205074190336
45.23589743589744,15817,17254,18.0,16.76923076923077,38961336320,43957248,18266784,11231224,246387261440,205074550784
45.72948717948718,17171,17254,15.846153846153847,11.23076923076923,39269064704,44259460,18549852,11231484,246698463232,205074571264
