unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_high_events,cgroup_max_events,cgroup_oom_events,cgroup_oom_kill_events,shm_used_bytes,disk_available_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,env_rss_kib,actor_rss_kib,rollout_rss_kib,driver_rss_kib,ray_system_rss_kib,matched_total_rss_kib,compute_process_count
1785342241,1.01043e+12,257697792000,43862065152,211530776576,78418,1369144,0,0,499712,886846836736,947,0,947,0,3897880,1372,31779064,3172,1129416,47456896,4
1785342243,1.0103e+12,257459073024,44007514112,211151048704,78418,1370593,0,0,499712,886846836736,947,0,947,0,3897960,1344,30371956,3172,1129008,45614696,4
1785342245,1.01691e+12,250817392640,37296988160,211151052800,78418,1370593,0,0,499712,886846836736,947,0,947,0,3897952,1360,25296784,3172,1129244,40944592,4
1785342247,1.02143e+12,246344273920,32911192064,211151056896,78418,1370593,0,0,499712,886846836736,947,0,947,0,3897964,1376,21044632,3172,1129180,36615496,4
1785342250,1.02238e+12,245386637312,31943462912,211151056896,78418,1370593,0,0,499712,886846836736,947,0,947,0,3897892,1344,20010576,3172,1129496,35680048,4
1785342252,1.02241e+12,245359689728,31930499072,211151056896,78418,1370593,0,0,499712,886846836736,947,0,947,0,3897924,1376,20441692,3172,1131080,36215340,4
1785342254,1.01608e+12,251685875712,38246969344,211151056896,78418,1370593,0,0,499712,886846836736,947,0,947,0,3897920,1344,26608344,3172,1131352,42375684,4
1785342256,1.01057e+12,257206657024,43754160128,211151056896,78418,1370593,0,0,499712,886846836736,947,0,947,0,3897880,1396,31902724,3172,1131524,47664296,4
1785342259,1.01536e+12,250431508480,38832738304,209243697152,78418,1377869,0,0,499712,886846836736,3203,31,947,0,3897904,1392,26246420,3172,1130788,41820392,4
1785342261,1.01765e+12,248182833152,36649422848,209243697152,78418,1377869,0,0,499712,886846836736,9105,0,947,0,3897904,1352,24730228,3172,1131180,40411512,4
1785342263,1.02672e+12,239110336512,27588431872,209243979776,78418,1377869,0,0,499712,886846836736,9105,0,3631,26,3897980,1420,15160912,3172,1132340,30581116,4
1785342265,1.03124e+12,234439860224,22797357056,209365110784,78418,1377869,0,0,15187968,886846836736,10121,0,10121,0,3897900,1388,10782756,3172,1132996,27220376,6
1785342267,1.03082e+12,234872745984,23089455104,209495023616,78418,1377869,0,0,29966336,886846836736,10520,7,10677,0,4306684,1364,11018312,3172,1142048,28078680,8
1785342270,1.03051e+12,235144065024,23361810432,209495031808,78418,1377869,0,0,29966336,886846836736,10520,0,10677,0,4418404,1380,11025236,3172,1185360,28171452,8
1785342272,1.02903e+12,236557389824,24770424832,209497403392,78418,1377869,0,0,29966336,886846836736,10804,0,10961,0,5935736,1364,11026504,3172,1231868,29806092,8
1785342274,1.02809e+12,237404704768,25614307328,209497403392,78418,1377869,0,0,29966336,886846836736,11254,4,11539,7,6587912,1380,11027224,3172,1258624,30461508,8
1785342277,1.02804e+12,237501861888,25711005696,209498165248,78418,1377869,0,0,29966336,886846836736,13587,63,13796,67,6710956,1380,11027632,3172,1286216,30614024,8
1785342279,1.02704e+12,238408065024,26614026240,209498165248,78418,1377869,0,0,29966336,886846836736,13635,0,13796,0,7641784,1368,11027716,3172,1311676,31530408,8
1785342281,1.02628e+12,239124369408,27266764800,209498169344,78418,1377869,0,0,29966336,886846832640,14091,2,14251,0,8267288,1448,11027732,3172,1344324,32189420,8
1785342284,1.02605e+12,239356465152,27528130560,209520418816,78418,1377869,0,0,29966336,886846832640,15208,39,15291,3,8436844,1432,11252956,3172,1369168,32642692,8
1785342286,1.0258e+12,239611027456,27759923200,209540902912,78418,1377869,0,0,29966336,886846832640,15208,0,15291,0,8661060,1388,11260332,3172,1388548,32903040,8
1785342288,1.02685e+12,238557822976,26707931136,209540902912,78418,1377869,0,0,29966336,886846832640,10966,30,15197,1,7284728,1376,11264028,3172,1405720,31261460,7
1785342291,1.02685e+12,238832832512,26917232640,209602334720,78418,1377869,0,0,29970432,886846832640,10824,3,10809,1,6797220,1328,11265460,3172,1405316,32165236,6
1785342293,1.02647e+12,239181271040,27264368640,209602338816,78418,1377869,0,0,29970432,886846832640,11042,0,10813,0,7193956,1428,11265460,3172,1405552,32552008,8
1785342295,1.02492e+12,240666685440,28745117696,209602359296,78418,1377869,0,0,29970432,886846832640,11106,0,11095,0,8595672,1380,11265544,3172,1406296,33869456,8
1785342297,1.02409e+12,241509543936,29589786624,209602359296,78418,1377869,0,0,29970432,886846832640,11749,0,11737,2,9443544,1360,11265484,3172,1407772,34592468,8
1785342300,1.02403e+12,241461882880,29536722944,209602539520,78418,1377869,0,0,29970432,886846832640,13938,4,13930,2,9722796,1376,11265512,3172,1407836,35164284,8
1785342302,1.02293e+12,242552471552,30628687872,209602572288,78418,1377869,0,0,29970432,886846832640,13938,0,13930,0,10787204,1364,11265420,3172,1408068,36169188,8
1785342304,1.02244e+12,243033014272,31103934464,209602650112,78418,1377869,0,0,29970432,886846832640,14649,4,14642,0,11042068,1376,11265464,3172,1407808,36237016,8
