timestamp,wrapper_alive,host_mem_available_kib,swap_free_kib,mem_psi_some_avg10,gpu7_used_mib,gpu7_util_pct,gpu7_temp_c,env_open_fds,env_rss_kib,actor_rss_kib,rollout_rss_kib
2026-09-05T11:03:36.764404+00:00,1,1365659804,3492468,0.00,61879,27,66,762,27924048,22401808,9954704
2026-09-05T11:03:41.902980+00:00,1,1365664132,3492468,0.00,61879,100,67,762,27924048,22921408,9954704
2026-09-05T11:03:47.042320+00:00,1,1365249136,3492468,0.00,61879,76,67,762,27924048,22921408,9954704
2026-09-05T11:03:52.177601+00:00,1,1365247364,3492468,0.00,61879,63,62,762,27924048,22921408,9954704
2026-09-05T11:03:57.300484+00:00,1,1365660336,3492468,0.00,61879,100,70,762,27924048,22921408,9954704
2026-09-05T11:04:02.444502+00:00,1,1365669500,3492468,0.00,61879,100,71,762,27924048,22921408,9954704
2026-09-05T11:04:07.589703+00:00,1,1365638972,3492468,0.00,61879,100,70,762,27924048,22921408,9954704
2026-09-05T11:04:12.716031+00:00,1,1365616272,3492468,0.00,61879,100,71,762,27924064,22921448,9954704
2026-09-05T11:04:17.860230+00:00,1,1365203252,3492468,0.00,61879,100,68,762,27924108,22921548,9954704
2026-09-05T11:04:23.000553+00:00,1,1365420972,3492468,0.00,61879,28,67,762,27924108,22921548,9954704
2026-09-05T11:04:28.148714+00:00,1,1365616696,3492468,0.00,61879,100,68,762,27924124,22921548,9954704
2026-09-05T11:04:33.292794+00:00,1,1365606308,3492468,0.00,61879,100,70,762,27924124,22921548,9954704
2026-09-05T11:04:38.408195+00:00,1,1365566948,3492468,0.00,61879,89,67,762,27924124,22921548,9954704
2026-09-05T11:04:43.543680+00:00,1,1365127008,3492468,0.00,61879,100,67,762,27924124,22921548,9954704
2026-09-05T11:04:48.684304+00:00,1,1365204900,3492468,0.00,61879,100,70,762,27924124,22921548,9954704
2026-09-05T11:04:53.827818+00:00,1,1365514300,3492468,0.00,61879,70,69,762,27924124,22921548,9954704
2026-09-05T11:04:58.970699+00:00,1,1365504320,3492468,0.00,61879,39,69,762,27924124,22922264,9954704
