runner_step_internal,global_step,h,warmup,query_count_all,valid_query_count,v_l2_mean,v_l2_median,log_v_l2_mean,v_l3_mean,v_l3_median,log_v_l3_mean,v_l4_mean,v_l4_median,log_v_l4_mean,weight_mean_all,weight_mean_valid,weight_p05_valid,weight_p50_valid,weight_p95_valid,weight_low_clip_fraction_valid,weight_high_clip_fraction_valid,positive_adv_weight_mean_valid,negative_adv_weight_mean_valid
1,2,6,0,1024,586,0.004153407915,0.003297436633,-5.697745894,0.01186147647,0.009905026294,-4.594969091,0.03853848201,0.03277880512,-3.366032077,0.9719174852,0.9802358215,0.8443413079,0.9786186516,1.133269817,0.01023890785,0.01023890785,0.9771714549,0.9849116222
1,2,7,0,1024,586,0.004396087565,0.00345461769,-5.652014141,0.01255150375,0.01008847449,-4.556226549,0.04014920172,0.03381945007,-3.339571923,0.9781356252,0.9870314209,0.8532589078,0.9808365405,1.137531281,0.01194539249,0.01365187713,0.9851000464,0.9899784319
1,2,8,0,1024,586,0.004557787589,0.003402222646,-5.633266817,0.01324108301,0.01000253763,-4.529114549,0.04133479724,0.033545224,-3.326566861,0.9817235667,0.9937984053,0.8443380147,0.9888698459,1.16091755,0.01023890785,0.02389078498,0.9867071622,1.004618664
1,2,9,0,1024,586,0.004834117052,0.00354136189,-5.59064772,0.01409066078,0.01072902931,-4.484769276,0.04244122258,0.03428225964,-3.314084291,0.9882964999,1.000449143,0.8488350362,0.9945031106,1.167402983,0.01023890785,0.02389078498,0.993166315,1.011561734
1,2,10,0,1024,586,0.005054161543,0.003677822999,-5.577706437,0.01498863671,0.01063264254,-4.451768302,0.04497454558,0.03456119448,-3.286956653,0.9930360402,1.008865245,0.849534452,1.007428765,1.192946255,0.01023890785,0.04436860068,1.001839079,1.019586206
1,2,11,0,1024,586,0.005084637842,0.003591746092,-5.577093556,0.01558091651,0.01073504658,-4.432075511,0.04740967063,0.03567471541,-3.256044483,0.9954539861,1.011193271,0.8475262672,1.002565324,1.200000048,0.01023890785,0.05290102389,1.001501552,1.025981497
1,2,12,0,1024,586,0.005114939383,0.003693826729,-5.566877102,0.01615640835,0.01144384127,-4.399305057,0.05035370859,0.03643296845,-3.226502647,1.00016808,1.019376,0.8637298793,1.018189311,1.200000048,0.006825938567,0.0614334471,1.010155439,1.033445304
1,2,13,0,1024,586,0.00516476735,0.003796486999,-5.53582323,0.01642220458,0.01152633224,-4.380087958,0.05219839688,0.03661390394,-3.216655284,1.003299906,1.022897662,0.864271149,1.017908156,1.200000048,0.008532423208,0.05972696246,1.011192307,1.040758421
1,2,14,0,1024,586,0.005211215554,0.003940391121,-5.521879803,0.01678356134,0.01227819547,-4.353662856,0.05519448098,0.03756130114,-3.175530176,1.007066674,1.02644499,0.8665488064,1.020309389,1.200000048,0.003412969283,0.0614334471,1.019633515,1.036838362
1,2,15,0,1024,586,0.005222611804,0.004042137647,-5.504352077,0.01677499725,0.01256964123,-4.34082017,0.05826091772,0.03849905357,-3.137523983,1.009257158,1.02611908,0.869222194,1.021536231,1.200000048,0.006825938567,0.06484641638,1.015738797,1.041957959
1,2,16,0,1024,586,0.005165937239,0.003994011553,-5.499700967,0.01652050154,0.01235595066,-4.353784144,0.06012164355,0.03686601669,-3.142047363,1.007535538,1.025760196,0.874256283,1.020389974,1.200000048,0.001706484642,0.0614334471,1.014696058,1.042642543
1,2,17,0,1024,586,0.005034756815,0.00401386572,-5.515034406,0.01663404018,0.01276598498,-4.343057998,0.06394287959,0.03887987509,-3.10142129,1.008865068,1.025586352,0.8673240244,1.023936987,1.200000048,0.005119453925,0.06996587031,1.014172558,1.043002226
1,2,18,0,1024,586,0.004785866699,0.003725642106,-5.565956217,0.01595642185,0.01229558,-4.376350675,0.06583468367,0.03763807751,-3.101996163,1.004289523,1.020629714,0.8709966093,1.013554752,1.199937552,0.003412969283,0.05119453925,1.008865947,1.0385796
1,2,19,0,1024,586,0.004612709179,0.003570827772,-5.609509087,0.01576279744,0.01212292351,-4.387427608,0.06713044459,0.0375928916,-3.113083045,1.002416173,1.020660248,0.8646396995,1.01541543,1.200000048,0.001706484642,0.05290102389,1.004796578,1.044866021
1,2,20,0,1024,586,0.004396120865,0.00343304628,-5.655846944,0.01509261552,0.01205798984,-4.42617332,0.06974943018,0.03684895858,-3.114606465,0.9972321725,1.015897731,0.8621785343,1.017686188,1.189300001,0.006825938567,0.04266211604,1.000594344,1.039248589
1,2,21,0,1024,586,0.004250051141,0.003224120359,-5.681412372,0.01501304252,0.01123950956,-4.438010621,0.07089651822,0.03587394021,-3.129281931,0.9947914688,1.01584034,0.8698064089,1.01421231,1.178826958,0,0.03242320819,1.001671763,1.037459634
1,2,22,0,1024,586,0.004154769421,0.003203721717,-5.705665643,0.01462120194,0.01111210696,-4.45548023,0.07184727337,0.03533496894,-3.133899889,0.9925185457,1.01506781,0.8614681065,1.015779138,1.164282233,0.006825938567,0.03242320819,0.9979413478,1.04120043
1,2,23,0,1024,586,0.00407706659,0.003244530642,-5.712414764,0.01459088154,0.01165531343,-4.445287699,0.07420373944,0.03616992943,-3.110561182,0.993904048,1.014333808,0.8660450876,1.015821695,1.165919811,0.008532423208,0.03242320819,0.9971127955,1.040610697
1,2,24,0,1024,586,0.004113120268,0.003270047251,-5.715001056,0.01432993353,0.01124939602,-4.459305968,0.07528898342,0.03607064299,-3.109278759,0.9922492267,1.014152412,0.8670835197,1.011954546,1.156714708,0.01365187713,0.02559726962,0.9969887063,1.04034186
1,2,25,0,1024,586,0.003962209024,0.003147021402,-5.736633404,0.01429019677,0.0114046922,-4.468729043,0.07733814626,0.03494473174,-3.116435819,0.9905919295,1.011478232,0.8638759404,1.010276496,1.159644186,0.006825938567,0.02730375427,0.9932348186,1.039315164
1,2,26,0,1024,586,0.003928392645,0.003116815817,-5.750391101,0.01435384321,0.01127983956,-4.457457423,0.08164570858,0.03591775522,-3.09947857,0.9924606472,1.014878835,0.8809287995,1.013209522,1.157131642,0.003412969283,0.02218430034,0.9984906124,1.039885003
1,2,27,0,1024,586,0.003917333292,0.003097706009,-5.74702054,0.01429678943,0.01124106534,-4.465269087,0.0831620778,0.03523341753,-3.089012628,0.9912773742,1.011286395,0.8690878153,1.013085663,1.164336085,0.01365187713,0.02901023891,0.9929130322,1.039321612
1,2,28,0,1024,586,0.003870588161,0.002985201078,-5.764690906,0.01407199988,0.01118078595,-4.48263837,0.08419428043,0.0347414054,-3.100536186,0.9880631594,1.008892922,0.8747064173,1.008605003,1.158052713,0.005119453925,0.02730375427,0.9936198052,1.032197592
1,2,29,0,1024,586,0.00387976618,0.00307923439,-5.759427656,0.01414657769,0.01102306088,-4.470664575,0.08475402795,0.0348112043,-3.092012198,0.9901780969,1.010654063,0.8796125501,1.011193395,1.155778915,0.003412969283,0.01877133106,0.9967157551,1.031921999
1,2,30,0,1024,586,0.003917505448,0.003066402394,-5.744852271,0.01455468909,0.01135558868,-4.449445579,0.08503580645,0.0360371042,-3.077838733,0.9931857039,1.012610923,0.8779255599,1.010968208,1.1515975,0.005119453925,0.02559726962,0.998618482,1.033961459
1,2,31,0,1024,586,0.003946974121,0.003070536302,-5.738311093,0.0147615751,0.01146432711,-4.432299648,0.08472756286,0.03536434844,-3.079997486,0.9955865871,1.01658047,0.8848863244,1.012826204,1.158906072,0.001706484642,0.02218430034,1.000880763,1.040536057
1,2,32,0,1024,586,0.004085443397,0.00312561309,-5.723136776,0.01516991642,0.011858969,-4.418552765,0.08479090114,0.03611212596,-3.07919387,0.9976923931,1.018899388,0.8714696765,1.016820967,1.166072667,0.005119453925,0.02559726962,1.00723612,1.036695926
1,2,33,0,1024,586,0.004029938483,0.003141427413,-5.719902193,0.01511177135,0.01163841179,-4.414711669,0.08222031932,0.0355400648,-3.081206877,0.9982539826,1.020250091,0.8928137422,1.015272379,1.163416743,0.003412969283,0.02730375427,1.007715221,1.039376576
1,2,34,0,1024,586,0.0041532411,0.003311284003,-5.697431568,0.01565481183,0.0120403301,-4.390052735,0.08449265541,0.03560581803,-3.070964901,1.001829233,1.023473166,0.8881634772,1.0217219,1.172952443,0.006825938567,0.03071672355,1.008806989,1.04585173
1,2,35,0,1024,586,0.004215702845,0.003296208102,-5.694996598,0.01584700138,0.01218521222,-4.376664385,0.08340123353,0.0371512454,-3.068003624,1.004068376,1.027969744,0.8839332014,1.028466821,1.172435433,0.001706484642,0.03412969283,1.01532559,1.047262978
1,2,36,0,1024,586,0.004267277932,0.003305745544,-5.677442142,0.01612053674,0.01246308256,-4.351861187,0.08493936336,0.03847070783,-3.049084723,1.007938543,1.031507052,0.892062217,1.031854391,1.179261148,0.005119453925,0.03412969283,1.021780734,1.046348071
1,2,37,0,1024,586,0.004385581666,0.00344533578,-5.650137151,0.01643411253,0.01272089686,-4.334436105,0.08643530122,0.03748279437,-3.034824218,1.010764292,1.034512584,0.8861855119,1.034583211,1.176272601,0.003412969283,0.02901023891,1.02197561,1.053642278
1,2,38,0,1024,586,0.004333550161,0.003444347065,-5.657102846,0.01659704348,0.01265812386,-4.318372339,0.08683493345,0.03794870153,-3.033530879,1.013204184,1.038146979,0.8935791999,1.036180615,1.174613476,0,0.02901023891,1.023708738,1.060177743
1,2,39,0,1024,586,0.004455480811,0.003455450293,-5.637518332,0.01679027256,0.01320352079,-4.30535435,0.08716273925,0.03927531652,-3.026532466,1.015315683,1.038740128,0.9052214772,1.037529349,1.184161991,0,0.0409556314,1.023519822,1.061964214
1,2,40,0,1024,586,0.00435343843,0.003380059381,-5.65384316,0.01631277045,0.01327228593,-4.31728204,0.08482480981,0.036984412,-3.039478182,1.013581815,1.037274457,0.9021443576,1.038492918,1.177044809,0.001706484642,0.03242320819,1.024012849,1.057509843
1,2,41,0,1024,586,0.00437370317,0.00335848087,-5.647237645,0.01666246723,0.01350092096,-4.302160704,0.08620387585,0.03805078566,-3.029356816,1.015820254,1.040673628,0.8959967494,1.04079479,1.182108939,0.003412969283,0.03754266212,1.026845032,1.061774157
1,2,42,0,1024,586,0.004490558369,0.003554932307,-5.619168456,0.01717694754,0.01369940303,-4.279076663,0.08691853763,0.03765844554,-3.020951787,1.019110256,1.04201985,0.8948227614,1.042645037,1.199797839,0.005119453925,0.05119453925,1.028138936,1.063200211
1,2,43,0,1024,586,0.004630649584,0.003565862426,-5.599250898,0.01801902297,0.01399470074,-4.240219192,0.08864768633,0.03771868721,-2.99756002,1.024384768,1.046713337,0.90499942,1.044772029,1.200000048,0.001706484642,0.05802047782,1.028911585,1.073876355
1,2,44,0,1024,586,0.004909835294,0.003701613983,-5.56624782,0.01896644752,0.01424216572,-4.219462407,0.09073496843,0.03975687549,-2.977061912,1.026232812,1.052947043,0.9070716351,1.052603602,1.200000048,0.001706484642,0.07167235495,1.038471393,1.075034888
1,2,45,0,1024,586,0.005154645131,0.00382548233,-5.536201927,0.0203163274,0.01476164628,-4.172465483,0.09195340961,0.03961498104,-2.949742743,1.032627447,1.05878197,0.9168187678,1.061283886,1.200000048,0.005119453925,0.09385665529,1.04559132,1.078909083
1,2,46,0,1024,586,0.005608807074,0.003855680698,-5.486747487,0.02224019992,0.01507933857,-4.120970499,0.09244499082,0.04010294937,-2.926588556,1.03812841,1.062877196,0.9094443917,1.064671099,1.200000048,0,0.1262798635,1.048692407,1.084521228
1,2,47,0,1024,586,0.006105205655,0.004098776262,-5.421874103,0.02444511366,0.01602658443,-4.057474283,0.09454115871,0.04219908826,-2.893271363,1.045702418,1.073886568,0.9153120667,1.078890622,1.200000048,0.001706484642,0.1501706485,1.060575862,1.09419687
1,2,48,0,1024,586,0.006758179214,0.004325904883,-5.356620787,0.02715781765,0.01707568206,-3.988879775,0.09847036992,0.04323107004,-2.851342206,1.05339932,1.082398848,0.9137610048,1.093415916,1.200000048,0.003412969283,0.1843003413,1.071720697,1.098692235
1,2,49,0,1024,586,0.00769522349,0.004674287746,-5.276314487,0.03129035178,0.01861995924,-3.896876633,0.1043498297,0.04767840728,-2.795140353,1.06280141,1.092919044,0.9233953953,1.108839929,1.200000048,0,0.2372013652,1.081921792,1.109699333
