step,control_raw,control_ma5,control_ma10,control_fixed,st_02_raw,st_02_ma5,st_02_ma10,st_02_fixed,prism_raw,prism_ma5,prism_ma10,prism_fixed,action_old_raw,action_old_ma5,action_old_ma10,action_old_fixed,action_fix_raw,action_fix_ma5,action_fix_ma10,action_fix_fixed,st_half_raw,st_half_ma5,st_half_ma10,st_half_fixed
55,0.89453125,0.92421875,0.91875,0.96875,,,,,0.93359375,0.95078125,0.93125,0.96875,,,,,0.91796875,0.94453125,0.93046875,0.90625,,,,
56,0.89453125,0.91875,0.9171875,,,,,,,,,,,,,,0.890625,0.9328125,0.926171875,,,,,
57,0.8671875,0.90078125,0.91171875,,,,,,,,,,,,,,0.92578125,0.93046875,0.921875,,,,,
58,0.953125,0.90859375,0.916015625,,,,,,,,,,,,,,0.94140625,0.925,0.929296875,,,,,
59,0.95703125,0.91328125,0.925,,,,,,,,,,,,,,0.94140625,0.9234375,0.930859375,,,,,
60,0.890625,0.9125,0.918359375,0.96875,,,,,,,,,,,,,0.90625,0.92109375,0.9328125,0.96875,,,,
61,0.9375,0.92109375,0.919921875,,,,,,,,,,,,,,0.98828125,0.940625,0.93671875,,,,,
62,0.953125,0.93828125,0.91953125,,,,,,,,,,,,,,0.89453125,0.934375,0.932421875,,,,,
63,0.9296875,0.93359375,0.92109375,,,,,,,,,,,,,,0.9765625,0.94140625,0.933203125,,,,,
64,0.94921875,0.93203125,0.92265625,,,,,,,,,,,,,,0.8828125,0.9296875,0.9265625,,,,,
65,0.9140625,0.93671875,0.924609375,0.96875,,,,,,,,,,,,,0.91015625,0.93046875,0.92578125,0.9375,,,,
66,0.9375,0.93671875,0.92890625,,,,,,,,,,,,,,0.92578125,0.91796875,0.929296875,,,,,
67,0.93359375,0.9328125,0.935546875,,,,,,,,,,,,,,0.96875,0.9328125,0.93359375,,,,,
68,0.9765625,0.9421875,0.937890625,,,,,,,,,,,,,,0.97265625,0.93203125,0.93671875,,,,,
69,0.9765625,0.94765625,0.93984375,,,,,,,,,,,,,,0.9140625,0.93828125,0.933984375,,,,,
70,0.94921875,0.9546875,0.945703125,0.9375,,,,,,,,,,,,,0.95703125,0.94765625,0.9390625,0.96875,,,,
71,0.94921875,0.95703125,0.946875,,,,,,,,,,,,,,0.92578125,0.94765625,0.9328125,,,,,
72,0.94140625,0.95859375,0.945703125,,,,,,,,,,,,,,0.90625,0.93515625,0.933984375,,,,,
73,0.9375,0.95078125,0.946484375,,,,,,,,,,,,,,0.9765625,0.9359375,0.933984375,,,,,
74,0.9296875,0.94140625,0.94453125,,,,,,,,,,,,,,0.94140625,0.94140625,0.93984375,,,,,
