run,step,success_pct,success_roll5_pct,approx_kl,clip_pct,grad_norm,step_min
DVAC v2 R-only,22,87.109375,82.578125,0.045,11.5,34.295,24.521666666666665
DVAC v2 R-only,23,86.71875,84.296875,0.032,14.6,35.571,25.065
DVAC v2 R-only,24,81.640625,84.6875,0.054,18.8,26.47,25.196666666666665
DVAC v2 R-only,25,94.53125,86.171875,0.028,15.6,23.655,24.796666666666667
DVAC v2 R-only,26,85.15625,87.03125,0.038,14.4,40.565,25.136666666666667
DVAC v2 R-only,27,90.234375,87.65625,0.047,12.2,33.378,24.92833333333333
DVAC v2 R-only,28,89.84375,88.28125,0.035,19.8,29.385,24.836666666666662
DVAC v2 R-only,29,91.40625,90.234375,0.025,13.7,36.831,24.966666666666665
DVAC v2 R-only,30,94.53125,90.234375,0.011,9.1,26.245,24.715
DVAC v2 R-only,31,91.40625,91.484375,0.045,15.2,27.526,24.738333333333333
DVAC v2 R-only,32,95.3125,92.5,0.031,15.2,20.35,24.581666666666667
DVAC v2 R-only,33,91.40625,92.8125,0.037,17.599999999999998,27.22,24.62
DVAC v2 R-only,34,91.40625,92.8125,0.054,17.2,22.965,24.73
DVAC v2 R-only,35,89.453125,91.796875,0.037,16.6,33.225,24.801666666666662
DVAC v2 R-only,36,95.703125,92.65625,0.021,12.8,18.606,24.28166666666667
DVAC v2 R-only,37,96.09375,92.8125,0.033,16.7,21.438,24.813333333333333
DVAC v2 R-only,38,96.09375,93.75,0.0075,16.6,20.68,24.53333333333333
DVAC v2 R-only,39,90.234375,93.515625,0.053,16.900000000000002,31.009,24.515
DVAC v2 R-only,40,91.40625,93.90625,0.047,8.9,26.973,24.705
DVAC v2 R-only,41,89.84375,92.734375,0.048,19.0,30.458,25.25
DVAC v2 R-only,42,90.625,91.640625,0.032,13.6,26.613,24.453333333333333
DVAC v2 R-only,43,91.40625,90.703125,0.04,17.8,26.015,25.02
DVAC v2 R-only,44,84.375,89.53125,0.049,15.7,24.38,25.0
DVAC v2 R-only,45,91.796875,89.609375,0.091,13.5,20.109,24.563333333333333
DVAC v2 R-only,46,92.96875,90.234375,0.055,19.0,27.792,24.87
DVAC v2 R-only,47,90.625,90.234375,0.018,13.0,35.173,24.83
DVAC v2 R-only,48,90.625,90.078125,0.033,18.5,17.625,24.505
DVAC v2 R-only,49,92.578125,91.71875,0.021,14.9,19.922,24.631666666666668
"DVAC v3 R-only [0,2]",1,85.15625,85.15625,0.162,18.4,34.84,25.836666666666666
"DVAC v3 R-only [0,2]",2,69.140625,77.1484375,0.052,15.1,47.279,25.146666666666665
"DVAC v3 R-only [0,2]",3,73.046875,75.78125,0.045,14.499999999999998,49.57,25.009999999999998
"DVAC v3 R-only [0,2]",4,81.25,77.1484375,0.037,16.1,42.152,24.740000000000002
"DVAC v3 R-only [0,2]",5,82.03125,78.125,0.041,12.2,47.926,25.121666666666666
"DVAC v3 R-only [0,2]",6,82.03125,77.5,0.049,13.8,57.588,25.175
"DVAC v3 R-only [0,2]",7,79.6875,79.609375,0.027,15.4,45.657,24.975
"DVAC v3 R-only [0,2]",8,83.59375,81.71875,0.033,14.299999999999999,60.123,24.85666666666667
"DVAC v3 R-only [0,2]",9,85.9375,82.65625,0.035,13.200000000000001,45.736,24.678333333333335
"DVAC v3 R-only [0,2]",10,81.25,82.5,0.057,11.0,41.925,25.071666666666665
"DVAC v3 R-only [0,2]",11,85.15625,83.125,0.014,11.3,43.223,24.473333333333336
"DVAC v3 R-only [0,2]",12,81.640625,83.515625,0.05,15.4,39.98,24.90666666666667
"DVAC v3 R-only [0,2]",13,80.46875,82.890625,0.04,13.700000000000001,47.993,25.061666666666667
"DVAC v3 R-only [0,2]",14,84.765625,82.65625,0.045,12.9,37.792,24.516666666666666
"DVAC v3 R-only [0,2]",15,83.203125,83.046875,0.027,9.3,41.273,24.771666666666665
"DVAC v3 R-only [0,2]",16,89.0625,83.828125,0.034,13.0,42.215,24.21833333333333
"DVAC v3 R-only [0,2]",17,81.640625,83.828125,0.02,14.000000000000002,36.945,24.695
"DVAC v3 R-only [0,2]",18,92.96875,86.328125,0.022,16.7,29.856,24.566666666666666
"DVAC v3 R-only [0,2]",19,92.578125,87.890625,0.039,19.3,31.056,24.683333333333334
"DVAC v3 R-only [0,2]",20,93.75,90.0,0.058,22.6,29.741,24.511666666666667
"DVAC v3 R-only [0,2]",21,93.359375,90.859375,0.018,17.599999999999998,31.392,24.461666666666666
"DVAC v3 R-only [0,2]",22,92.96875,93.125,0.034,13.3,52.144,24.59333333333333
"DVAC v3 R-only [0,2]",23,94.53125,93.4375,0.038,18.099999999999998,33.303,24.715
"DVAC v3 R-only [0,2]",24,85.9375,92.109375,0.047,13.0,41.021,24.80666666666667
"DVAC v3 R-only [0,2]",25,94.921875,92.34375,0.036,15.5,36.424,24.345000000000002
"DVAC v3 R-only [0,2]",26,93.359375,92.34375,0.04,14.6,39.367,24.6
"DVAC v3 R-only [0,2]",27,91.015625,91.953125,0.036,14.899999999999999,39.016,24.57
"DVAC v3 R-only [0,2]",28,90.625,91.171875,0.011,18.099999999999998,36.569,24.5
"DVAC v3 R-only [0,2]",29,92.1875,92.421875,0.069,15.1,31.739,24.56
