tag,round,raw_step,value,wall_time,segment
rollout/advantages_max,3,2,2.4748666286468506,1790054171.4888446,0
rollout/advantages_max,4,3,2.4748666286468506,1790055010.555291,0
rollout/advantages_max,5,4,1.6201815605163574,1790056236.8001952,0
rollout/advantages_max,6,5,2.4748666286468506,1790057091.6600351,0
rollout/advantages_max,7,6,2.4748666286468506,1790057933.0780175,0
rollout/advantages_max,8,7,2.4748666286468506,1790058799.6318913,0
rollout/advantages_max,9,8,2.4748666286468506,1790059642.7859235,0
rollout/advantages_max,10,9,2.4748666286468506,1790060960.4851556,0
rollout/advantages_max,11,10,2.4748666286468506,1790061804.916011,0
rollout/advantages_max,12,11,2.4748666286468506,1790062673.1851325,0
rollout/advantages_mean,1,0,-0.07230179756879807,1790052422.573368,0
rollout/advantages_mean,2,1,-0.054316598922014236,1790053298.6962247,0
rollout/advantages_mean,3,2,-0.04414966329932213,1790054171.4888382,0
rollout/advantages_mean,4,3,-0.07524599134922028,1790055010.555284,0
rollout/advantages_mean,5,4,-0.05380760878324509,1790056236.8001864,0
rollout/advantages_mean,6,5,-0.07330407947301865,1790057091.660029,0
rollout/advantages_mean,7,6,-0.0657445415854454,1790057933.0780077,0
rollout/advantages_mean,8,7,-0.06526704877614975,1790058799.6318846,0
rollout/advantages_mean,9,8,-0.04879162088036537,1790059642.785917,0
rollout/advantages_mean,10,9,-0.0778057724237442,1790060960.4851487,0
rollout/advantages_mean,11,10,-0.07737001776695251,1790061804.9160025,0
rollout/advantages_mean,12,11,-0.06372269988059998,1790062673.1851256,0
rollout/advantages_min,1,0,-2.4748666286468506,1790052422.573405,0
rollout/advantages_min,2,1,-2.4748666286468506,1790053298.6962378,0
rollout/advantages_min,3,2,-2.4748666286468506,1790054171.4888508,0
rollout/advantages_min,4,3,-1.6201815605163574,1790055010.5552974,0
rollout/advantages_min,5,4,-2.4748666286468506,1790056236.8002038,0
rollout/advantages_min,6,5,-1.6201815605163574,1790057091.6600413,0
rollout/advantages_min,7,6,-2.4748666286468506,1790057933.0780256,0
rollout/advantages_min,8,7,-1.6201815605163574,1790058799.6318974,0
rollout/advantages_min,9,8,-2.4748666286468506,1790059642.78593,0
rollout/advantages_min,10,9,-2.4748666286468506,1790060960.4851618,0
rollout/advantages_min,11,10,-1.6201815605163574,1790061804.9160173,0
rollout/advantages_min,12,11,-2.4748666286468506,1790062673.185141,0
rollout/rewards,1,0,0.0023163841105997562,1790052422.5733578,0
rollout/rewards,2,1,0.002164705889299512,1790053298.6962178,0
rollout/rewards,3,2,0.0020081966649740934,1790054171.4888313,0
rollout/rewards,4,3,0.0022164948750287294,1790055010.555277,0
rollout/rewards,5,4,0.0026174497324973345,1790056236.8001769,0
rollout/rewards,6,5,0.0020000000949949026,1790057091.660022,0
rollout/rewards,7,6,0.0027469878550618887,1790057933.0779984,0
rollout/rewards,8,7,0.00218527321703732,1790058799.6318777,0
rollout/rewards,9,8,0.002446043072268367,1790059642.7859092,0
rollout/rewards,10,9,0.0028505746740847826,1790060960.4851406,0
rollout/rewards,11,10,0.0024096386041492224,1790061804.9159951,0
rollout/rewards,12,11,0.002947368426248431,1790062673.1851182,0
time/actor/actor/compute_adv,1,0,0.04907628521323204,1790052422.5743434,0
time/actor/actor/compute_adv,2,1,0.004453104920685291,1790053298.696866,0
time/actor/actor/compute_adv,3,2,0.004267353098839521,1790054171.4895494,0
time/actor/actor/compute_adv,4,3,0.004590746946632862,1790055010.5560648,0
time/actor/actor/compute_adv,5,4,0.004416514188051224,1790056236.8007503,0
time/actor/actor/compute_adv,6,5,0.0047380137257277966,1790057091.660839,0
time/actor/actor/compute_adv,7,6,0.004723201971501112,1790057933.0787008,0
time/actor/actor/compute_adv,8,7,0.0048814211040735245,1790058799.6325634,0
time/actor/actor/compute_adv,9,8,0.004653190728276968,1790059642.7865617,0
time/actor/actor/compute_adv,10,9,0.00515205692499876,1790060960.4857712,0
time/actor/actor/compute_adv,11,10,0.004857921972870827,1790061804.9166684,0
time/actor/actor/compute_adv,12,11,0.00491082901135087,1790062673.1859653,0
time/actor/actor/recv_traj,1,0,869.8252563476562,1790052422.574337,0
time/actor/actor/recv_traj,2,1,853.5938720703125,1790053298.6968596,0
time/actor/actor/recv_traj,3,2,837.9345703125,1790054171.4895427,0
time/actor/actor/recv_traj,4,3,816.5997314453125,1790055010.5560582,0
time/actor/actor/recv_traj,5,4,813.9421997070312,1790056236.8007443,0
time/actor/actor/recv_traj,6,5,825.02392578125,1790057091.6608331,0
time/actor/actor/recv_traj,7,6,820.7713623046875,1790057933.0786946,0
time/actor/actor/recv_traj,8,7,845.4180297851562,1790058799.6325564,0
time/actor/actor/recv_traj,9,8,808.7073364257812,1790059642.7865558,0
time/actor/actor/recv_traj,10,9,834.7885131835938,1790060960.4857655,0
time/actor/actor/recv_traj,11,10,826.8070068359375,1790061804.9166622,0
time/actor/actor/recv_traj,12,11,847.5057983398438,1790062673.1859589,0
time/actor/actor/sync_model_to_rollout,1,0,9.958663940429688,1790052422.5743303,0
time/actor/actor/sync_model_to_rollout,2,1,2.802579402923584,1790053298.696853,0
time/actor/actor/sync_model_to_rollout,3,2,2.710569143295288,1790054171.4895337,0
time/actor/actor/sync_model_to_rollout,4,3,2.912168025970459,1790055010.5560515,0
time/actor/actor/sync_model_to_rollout,5,4,5.671374320983887,1790056236.8007374,0
time/actor/actor/sync_model_to_rollout,6,5,2.0122640132904053,1790057091.6608267,0
time/actor/actor/sync_model_to_rollout,7,6,2.702181816101074,1790057933.0786889,0
time/actor/actor/sync_model_to_rollout,8,7,2.683778762817383,1790058799.63255,0
time/actor/actor/sync_model_to_rollout,9,8,2.693498373031616,1790059642.7865496,0
time/actor/actor/sync_model_to_rollout,10,9,5.281649589538574,1790060960.4857593,0
time/actor/actor/sync_model_to_rollout,11,10,1.9082578420639038,1790061804.9166555,0
time/actor/actor/sync_model_to_rollout,12,11,2.620143413543701,1790062673.1859524,0
time/actor/run_training,1,0,13.397634506225586,1790052422.5743499,0
time/actor/run_training,2,1,12.736928939819336,1790053298.696872,0
time/actor/run_training,3,2,25.625736236572266,1790054171.489556,0
time/actor/run_training,4,3,12.623698234558105,1790055010.5560718,0
time/actor/run_training,5,4,20.18341636657715,1790056236.8007565,0
time/actor/run_training,6,5,24.85598373413086,1790057091.6608453,0
time/actor/run_training,7,6,12.354656219482422,1790057933.078707,0
time/actor/run_training,8,7,12.794610977172852,1790058799.632569,0
