timestamp,memory_current,gpu0_mib,gpu1_mib
2026-08-27T23:28:44+08:00,81980973056,21208,4
2026-08-27T23:28:46+08:00,81987731456,21208,4
2026-08-27T23:28:48+08:00,81993826304,21208,4
2026-08-27T23:28:50+08:00,82002317312,21208,4
2026-08-27T23:28:52+08:00,82006048768,21208,4
2026-08-27T23:28:54+08:00,82016387072,21208,4
2026-08-27T23:28:57+08:00,82025172992,21208,4
2026-08-27T23:28:59+08:00,82030247936,21208,4
2026-08-27T23:29:01+08:00,82043285504,21208,4
2026-08-27T23:29:03+08:00,82051530752,21208,4
2026-08-27T23:29:05+08:00,82058321920,21208,4
2026-08-27T23:29:07+08:00,82064359424,21208,4
2026-08-27T23:29:09+08:00,82067111936,21208,4
2026-08-27T23:29:11+08:00,82075430912,21208,4
2026-08-27T23:29:13+08:00,82078916608,21208,4
2026-08-27T23:29:15+08:00,82086346752,21208,4
2026-08-27T23:29:17+08:00,82094301184,21208,4
2026-08-27T23:29:19+08:00,82101653504,21208,4
2026-08-27T23:29:22+08:00,82113024000,21208,4
2026-08-27T23:29:24+08:00,82113765376,21208,4
2026-08-27T23:29:26+08:00,82118086656,21208,4
2026-08-27T23:29:28+08:00,82124677120,21208,4
2026-08-27T23:29:30+08:00,82138144768,21208,4
2026-08-27T23:29:32+08:00,82140983296,21208,4
2026-08-27T23:29:34+08:00,82154631168,21208,4
2026-08-27T23:29:36+08:00,82158264320,21208,4
2026-08-27T23:29:38+08:00,82164940800,21208,4
2026-08-27T23:29:40+08:00,82175991808,21208,4
2026-08-27T23:29:42+08:00,82184998912,21208,4
2026-08-27T23:29:45+08:00,82194231296,21208,4
2026-08-27T23:29:47+08:00,82200276992,21208,4
2026-08-27T23:29:49+08:00,82214977536,21208,4
2026-08-27T23:29:51+08:00,82220773376,21208,4
2026-08-27T23:29:53+08:00,82232422400,21208,4
2026-08-27T23:29:55+08:00,82249351168,21208,4
2026-08-27T23:29:57+08:00,82254532608,21208,4
2026-08-27T23:29:59+08:00,82262495232,21208,4
2026-08-27T23:30:01+08:00,82266779648,21208,4
2026-08-27T23:30:03+08:00,82256117760,21208,4
2026-08-27T23:30:06+08:00,82262646784,21208,4
2026-08-27T23:30:08+08:00,82269470720,21208,4
2026-08-27T23:30:10+08:00,82276024320,21208,4
2026-08-27T23:30:12+08:00,82276978688,21208,4
2026-08-27T23:30:14+08:00,82276016128,21208,4
2026-08-27T23:30:16+08:00,82275426304,21208,4
2026-08-27T23:30:18+08:00,82279591936,21208,4
2026-08-27T23:30:20+08:00,82279727104,21208,4
2026-08-27T23:30:22+08:00,82280779776,21208,4
2026-08-27T23:30:24+08:00,82279923712,21208,4
2026-08-27T23:30:26+08:00,82274484224,21208,4
2026-08-27T23:30:29+08:00,82273701888,21208,4
2026-08-27T23:30:31+08:00,82277998592,21208,4
2026-08-27T23:30:33+08:00,82281947136,21208,4
2026-08-27T23:30:35+08:00,82283847680,21208,4
2026-08-27T23:30:37+08:00,82283528192,21208,4
2026-08-27T23:30:39+08:00,82300362752,21208,4
2026-08-27T23:30:41+08:00,82295668736,21208,4
2026-08-27T23:30:43+08:00,82293768192,21208,4
2026-08-27T23:30:45+08:00,82297962496,21208,4
2026-08-27T23:30:47+08:00,81782562816,11340,4
2026-08-27T23:30:49+08:00,78027313152,11406,0
