h,position_center_log_v,position_scale_log_v,current_log_v_median,residual_p05,residual_median,residual_p95,weight_p05,weight_mean,weight_p50,weight_p95,at_min_fraction,at_max_fraction
10,-4.06223201751709,0.3833036720752716,-4.000818767321819,-1.4723950624465942,0.16022098064422607,2.0,0.2638024687767029,1.0828207956090092,1.0801105499267578,2.0,0.010676156583629894,0.0711743772241993
11,-4.057680130004883,0.3980471193790436,-4.043648755558961,-1.437279462814331,0.035250626504421234,2.0,0.2813602685928345,1.0688354294495226,1.017625331878662,2.0,0.014234875444839857,0.060498220640569395
12,-4.042204856872559,0.4110240638256073,-4.009580422973342,-1.5599480867385864,0.0793730765581131,1.948435664176941,0.2200259566307068,1.0716641956801092,1.0396865606307983,1.9742178916931152,0.010676156583629894,0.046263345195729534
13,-4.045654773712158,0.41044047474861145,-3.98612493913724,-1.4126441478729248,0.14503876864910126,1.8605916500091553,0.2936779260635376,1.0823812932306338,1.0725194215774536,1.9302958250045776,0.017793594306049824,0.042704626334519574
14,-4.033735275268555,0.41691285371780396,-3.950336053818594,-1.2189338207244873,0.20004011690616608,1.931144118309021,0.39053308963775635,1.1305387949179924,1.1000200510025024,1.9655721187591553,0.021352313167259787,0.042704626334519574
15,-4.022366046905518,0.41854098439216614,-3.982036231121426,-1.45952570438385,0.09635838121175766,1.8632851839065552,0.27023714780807495,1.0822565663751758,1.0481791496276855,1.9316425323486328,0.0071174377224199285,0.028469750889679714
16,-4.034440994262695,0.419620156288147,-3.999572532210111,-1.4527686834335327,0.08309533447027206,1.8523238897323608,0.27361565828323364,1.0799358593187298,1.0415476560592651,1.9261620044708252,0.0071174377224199285,0.03558718861209965
17,-4.042879104614258,0.41314035654067993,-3.9749482975850325,-1.4392207860946655,0.16442522406578064,1.952417016029358,0.28038960695266724,1.0953944683923416,1.0822125673294067,1.9762084484100342,0.028469750889679714,0.0498220640569395
18,-4.052175521850586,0.4063068926334381,-3.963574292531652,-1.6576048135757446,0.21806450188159943,1.842929720878601,0.17119759321212769,1.0880998551209202,1.1090322732925415,1.9214649200439453,0.0071174377224199285,0.03558718861209965
19,-4.057123184204102,0.4091028869152069,-3.9695356917674816,-1.4359118938446045,0.21409673988819122,1.9722461700439453,0.28204405307769775,1.0899255396632537,1.1070483922958374,1.9861230850219727,0.0071174377224199285,0.046263345195729534
20,-4.0827436447143555,0.40022456645965576,-4.000393212753821,-1.348665714263916,0.20576012134552002,2.0,0.325667142868042,1.1263363424993496,1.1028800010681152,2.0,0.0,0.07829181494661921
21,-4.092636585235596,0.40280479192733765,-3.95798117023071,-1.2870686054229736,0.3342946171760559,2.0,0.3564656972885132,1.14157141273132,1.1671472787857056,2.0,0.0071174377224199285,0.05338078291814947
22,-4.090787887573242,0.40000274777412415,-3.986307393607748,-1.2113046646118164,0.2611994743347168,2.0,0.3943476676940918,1.1236141765244916,1.1305997371673584,2.0,0.010676156583629894,0.06405693950177936
23,-4.0938873291015625,0.3999064266681671,-3.994935497813136,-1.282671332359314,0.24743743240833282,2.0,0.358664333820343,1.1342174637784312,1.1237187385559082,2.0,0.0071174377224199285,0.0711743772241993
24,-4.089881420135498,0.39954695105552673,-3.9966946983051788,-1.2866729497909546,0.23323071002960205,2.0,0.3566635251045227,1.1302108442231853,1.1166152954101562,2.0,0.010676156583629894,0.05693950177935943
25,-4.084863662719727,0.4001752436161041,-3.9986043446969406,-1.3148317337036133,0.21555396914482117,2.0,0.34258413314819336,1.1464911489300031,1.1077769994735718,2.0,0.0071174377224199285,0.06405693950177936
26,-4.083900451660156,0.4008968770503998,-3.9892361314225866,-1.4010034799575806,0.23613138496875763,1.8538892269134521,0.2994982600212097,1.1179555824218697,1.1180657148361206,1.926944613456726,0.014234875444839857,0.0498220640569395
27,-4.084974765777588,0.40642282366752625,-4.002715306300075,-1.2793653011322021,0.20239919424057007,1.9886735677719116,0.3603173494338989,1.1228661246571252,1.1011996269226074,1.9943368434906006,0.0071174377224199285,0.0498220640569395
28,-4.090760231018066,0.4109388589859009,-3.9593109519513376,-1.3732539415359497,0.3198753893375397,2.0,0.31337302923202515,1.1560679646573457,1.1599377393722534,2.0,0.017793594306049824,0.060498220640569395
29,-4.088432312011719,0.40854281187057495,-3.9958316744545743,-1.5224637985229492,0.22666066884994507,2.0,0.2387681007385254,1.1192247366990058,1.113330364227295,2.0,0.02491103202846975,0.060498220640569395
30,-4.085698127746582,0.42664235830307007,-3.986788715551604,-1.3911712169647217,0.23183205723762512,2.0,0.30441439151763916,1.1254207262789226,1.1159160137176514,2.0,0.0071174377224199285,0.06405693950177936
31,-4.078234672546387,0.4188576936721802,-3.997191898169763,-1.3388091325759888,0.19348520040512085,2.0,0.3305954337120056,1.133168494998348,1.0967426300048828,2.0,0.0071174377224199285,0.08540925266903915
32,-4.071372032165527,0.4295582175254822,-4.002541150739984,-1.2910467386245728,0.1602366417646408,2.0,0.3544766306877136,1.148207593430828,1.0801182985305786,2.0,0.0071174377224199285,0.08185053380782918
33,-4.0632219314575195,0.4333851635456085,-3.9785834315192092,-1.0284708738327026,0.1952964812517166,2.0,0.4857645630836487,1.1510002292772206,1.0976482629776,2.0,0.010676156583629894,0.09608540925266904
34,-4.058947563171387,0.43703943490982056,-3.941430725913721,-1.2140192985534668,0.2688927948474884,2.0,0.3929903507232666,1.1542916991532486,1.134446382522583,2.0,0.014234875444839857,0.08896797153024912
35,-4.032847881317139,0.4478336274623871,-3.903862823018954,-1.2700772285461426,0.2880202829837799,2.0,0.3649613857269287,1.1538738018677328,1.1440101861953735,2.0,0.0035587188612099642,0.07829181494661921
