timestamp,driver_alive,host_mem_available_kib,cgroup_memory_current_bytes,gpu4_used_mib,gpu4_util_pct,gpu5_used_mib,gpu5_util_pct,gpu6_used_mib,gpu6_util_pct,gpu7_used_mib,gpu7_util_pct
2026-08-22T18:29:31+00:00,1,1297392996,811468951552,24649,1,24973,0,25741,0,24237,0
2026-08-22T18:30:31+00:00,1,1297885948,811312209920,28643,0,28711,0,28967,49,27975,84
2026-08-22T18:31:32+00:00,1,1297426020,811684237312,37543,0,37611,0,37773,2,35715,0
2026-08-22T18:32:32+00:00,1,1297430660,811505696768,51595,99,52175,99,51407,92,44831,0
2026-08-22T18:33:32+00:00,1,1297390280,811552346112,51595,0,52175,0,51407,59,50415,0
2026-08-22T18:34:32+00:00,1,1297720280,811163783168,36913,3,48909,0,37034,3,43831,0
2026-08-22T18:35:32+00:00,1,1297802624,811169439744,39385,1,39331,0,39709,1,37827,1
2026-08-22T18:36:33+00:00,1,1296658996,812463271936,42653,0,42599,0,42977,0,40797,0
2026-08-22T18:37:33+00:00,1,1296391216,812644089856,52269,0,48939,1,51623,0,46073,0
2026-08-22T18:38:33+00:00,1,1293818384,815202582528,52619,48,52943,0,52431,74,51695,95
2026-08-22T18:39:33+00:00,1,1293690132,815249866752,47273,0,52943,0,43156,0,51695,0
2026-08-22T18:40:33+00:00,1,1293551980,815468810240,42887,56,41983,0,42901,0,40639,0
2026-08-22T18:41:34+00:00,1,1287868332,821262991360,46061,4,45155,0,45872,4,43409,0
2026-08-22T18:42:34+00:00,1,1279781476,829460963328,49639,0,48423,2,50165,0,46379,0
2026-08-22T18:43:34+00:00,1,1273734336,835652960256,53643,5,53199,0,53455,0,51655,0
2026-08-22T18:44:34+00:00,1,1273793864,835569500160,50377,0,53199,65,53455,96,52463,0
2026-08-22T18:45:34+00:00,1,1274176304,835266220032,44639,0,43125,9,44017,1,46227,0
2026-08-22T18:46:35+00:00,1,1273716572,835734736896,47907,1,46193,2,47083,0,44469,0
2026-08-22T18:47:35+00:00,1,1273745548,835732553728,51335,1,49461,0,50351,0,47239,1
2026-08-22T18:48:35+00:00,1,1272268332,837195956224,54667,0,54223,75,54479,45,50465,0
2026-08-22T18:49:35+00:00,1,1267042920,842438651904,42415,0,54223,16,54479,65,53487,0
2026-08-22T18:50:35+00:00,1,1256475524,853249851392,42415,0,41971,0,42227,0,53487,99
2026-08-22T18:51:35+00:00,1,1272749512,836603719680,35392,0,35460,0,35972,0,34981,0
2026-08-22T18:52:36+00:00,1,1272493484,836999741440,33383,0,33613,9,33963,1,32971,14
2026-08-22T18:53:36+00:00,1,1272793176,836780060672,38653,32,38673,0,39993,0,37479,0
2026-08-22T18:54:36+00:00,1,1272026596,837541728256,46791,2,47317,0,48181,0,45569,0
2026-08-22T18:55:36+00:00,1,1271695868,837820141568,53899,0,53967,52,54479,0,53231,0
2026-08-22T18:56:36+00:00,1,1271869120,837606543360,44978,0,50405,0,53293,0,51749,0
2026-08-22T18:57:37+00:00,1,1268139304,841515622400,43185,0,42659,0,42873,0,41571,0
2026-08-22T18:58:37+00:00,1,1260049384,849882505216,46453,0,45927,0,46141,8,44637,86
2026-08-22T18:59:37+00:00,1,1250990232,859124445184,52281,0,50731,0,50433,0,48633,3
2026-08-22T19:00:37+00:00,1,1246940912,863084216320,53899,77,53967,74,54479,0,53487,0
2026-08-22T19:01:37+00:00,1,1246549892,863338373120,50337,0,51593,0,54479,0,53487,77
2026-08-22T19:02:38+00:00,1,1246451312,863561068544,44543,2,44409,0,44625,0,42823,0
2026-08-22T19:03:38+00:00,1,1247346924,862696603648,47515,0,47583,2,47595,0,45747,43
2026-08-22T19:04:38+00:00,1,1247384172,862702710784,50877,0,50945,1,51065,0,48671,0
2026-08-22T19:05:38+00:00,1,1246388208,863629271040,53899,0,53967,0,54479,92,53487,0
2026-08-22T19:06:38+00:00,1,1246473204,863542505472,53899,0,53967,0,54479,0,53487,32
2026-08-22T19:07:39+00:00,1,1246237232,863839064064,44379,0,44745,0,45351,0,52005,0
2026-08-22T19:08:39+00:00,1,1238031280,872371265536,47647,0,47811,2,48619,0,45251,0
2026-08-22T19:09:39+00:00,1,1230354468,880275775488,50915,0,51079,2,51591,0,48221,0
2026-08-22T19:10:39+00:00,1,1224630984,885976854528,53899,93,54479,0,54991,0,51097,0
2026-08-22T19:11:39+00:00,1,1223205456,887455006720,53899,52,54479,100,54991,53,53743,0
2026-08-22T19:12:39+00:00,1,1208153816,902762905600,41647,0,42227,0,42739,0,53743,86
2026-08-22T19:13:40+00:00,1,1204611332,906401882112,48993,5,49545,7,50057,4,48809,4
2026-08-22T19:14:40+00:00,1,1203370100,907862007808,56437,2,56761,0,57529,0,56025,36
2026-08-22T19:15:40+00:00,1,1175401820,936409169920,67054,0,67634,0,68146,90,63328,0
2026-08-22T19:16:40+00:00,1,1154527516,957988954112,49231,0,49764,39,50324,2,48521,0
