unix_time,cgroup_current_bytes,cgroup_high_bytes,cgroup_max_bytes,event_high,event_max,event_oom,event_oom_kill,anon_bytes,file_bytes,shmem_bytes,inactive_file_bytes,active_file_bytes,slab_reclaimable_bytes,pgscan,pgsteal,refault_file,psi_some_avg10,psi_full_avg10,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,env_rss_kib,actor_rss_kib,rollout_rss_kib,driver_rss_kib,ray_system_rss_kib,matched_total_rss_kib,compute_process_count
1787574395,56618479616,253403070464,257698037760,0,0,0,0,45645172736,10279698432,296697856,1054117888,8932880384,65723920,0,0,7842,0.00,0.00,19519,0,19602,0,25093176,1340,1340,1522392,2938440,29556688,8
1787574397,56622493696,253403070464,257698037760,0,0,0,0,45647659008,10279788544,296697856,1054216192,8932880384,65721816,0,0,7842,0.00,0.00,19519,52,19602,25,25093168,1340,1416,1522336,2938116,29556376,8
1787574400,56624771072,253403070464,257698037760,0,0,0,0,45650599936,10279788544,296697856,1054248960,8932880384,65726648,0,0,7842,0.00,0.00,19519,55,19602,56,25093148,1368,1420,1522392,2938128,29556456,8
1787574402,56624930816,253403070464,257698037760,0,0,0,0,45649723392,10279788544,296697856,1054277632,8932880384,65726688,0,0,7842,0.00,0.00,19519,0,19602,0,25093152,1332,1372,1522348,2938068,29556272,8
1787574404,56623681536,253403070464,257698037760,0,0,0,0,45650530304,10279788544,296697856,1054277632,8932880384,65721024,0,0,7842,0.00,0.00,19519,0,19602,51,25093204,1388,1388,1522344,2939080,29557404,8
1787574407,56628699136,253403070464,257698037760,0,0,0,0,45654151168,10279788544,296697856,1054298112,8932880384,65722904,0,0,7842,0.00,0.00,19519,34,19602,0,25093236,1328,1452,1522348,2939008,29557372,8
1787574409,56629391360,253403070464,257698037760,0,0,0,0,45653716992,10279792640,296697856,1054302208,8932880384,65723856,0,0,7842,0.00,0.00,19519,0,19602,0,25093204,1372,1448,1522400,2939104,29557528,8
1787574411,56627511296,253403070464,257698037760,0,0,0,0,45653737472,10279792640,296697856,1054314496,8932880384,65727872,0,0,7842,0.00,0.00,19519,0,19602,0,25093100,1412,1344,1522332,2938856,29557044,8
1787574413,56628953088,253403070464,257698037760,0,0,0,0,45653491712,10279792640,296697856,1054314496,8932880384,65734072,0,0,7842,0.00,0.00,19519,100,19602,0,25093180,1340,1380,1522360,2939136,29557396,8
1787574416,56632238080,253403070464,257698037760,0,0,0,0,45654200320,10279792640,296697856,1054314496,8932880384,65724000,0,0,7842,0.00,0.00,19519,47,19602,0,25093220,1392,1428,1522340,2939080,29557460,8
1787574418,56630779904,253403070464,257698037760,0,0,0,0,45653315584,10279792640,296697856,1054314496,8932880384,65734624,0,0,7842,0.00,0.00,19519,23,19602,30,25093116,1344,1452,1522316,2938480,29556708,8
1787574420,56631558144,253403070464,257698037760,0,0,0,0,45654728704,10279792640,296697856,1054314496,8932880384,65730696,0,0,7842,0.00,0.00,19519,22,19602,99,25093176,1328,1364,1522336,2939100,29557304,8
1787574423,56630063104,253403070464,257698037760,0,0,0,0,45654130688,10279792640,296697856,1054314496,8932880384,65728056,0,0,7842,0.00,0.00,19519,42,19602,74,25093116,1380,1328,1522300,2938352,29556476,8
1787574425,56630554624,253403070464,257698037760,0,0,0,0,45654441984,10279792640,296697856,1054314496,8932880384,65725664,0,0,7842,0.00,0.00,19519,64,19602,28,25093132,1340,1420,1522332,2938672,29556896,8
1787574427,56630427648,253403070464,257698037760,0,0,0,0,45654495232,10279792640,296697856,1054314496,8932880384,65730888,0,0,7842,0.00,0.00,19519,99,19602,72,25093144,1360,1348,1522296,2938660,29556808,8
1787574429,56630878208,253403070464,257698037760,0,0,0,0,45654306816,10279792640,296697856,1054314496,8932880384,65729104,0,0,7842,0.00,0.00,19519,75,19602,0,25093156,1380,1444,1522300,2938532,29556812,8
1787574432,56632303616,253403070464,257698037760,0,0,0,0,45654036480,10279796736,296697856,1054318592,8932880384,65721032,0,0,7842,0.00,0.00,19519,67,19602,0,25093180,1340,1380,1522324,2938216,29556440,8
1787574434,56631652352,253403070464,257698037760,0,0,0,0,45654233088,10279800832,296697856,1054322688,8932880384,65725304,0,0,7842,0.00,0.00,19519,30,19602,85,25093112,1364,1328,1522308,2938292,29556404,8
1787574436,56627511296,253403070464,257698037760,0,0,0,0,45654851584,10279804928,296697856,1054326784,8932880384,65730384,0,0,7842,0.00,0.00,19519,0,19602,4,25093176,1420,1364,1522336,2939188,29557484,8
1787574439,56628785152,253403070464,257698037760,0,0,0,0,45654695936,10279804928,296697856,1054326784,8932880384,65737416,0,0,7842,0.00,0.00,19519,34,19602,0,25093168,1388,1424,1522312,2939332,29557624,8
