h,weight_p05,weight_p50,weight_mean,weight_p95,clipped_z_p05,clipped_z_p50,clipped_z_mean,clipped_z_p95,log_v_l3_p05,log_v_l3_p50,log_v_l3_mean,log_v_l3_p95,weight_below_one_fraction,weight_above_one_fraction,weight_at_zero_fraction,weight_at_two_fraction
25,0.34418170154094696,1.035451352596283,1.0696878025773913,2.0,-1.311636596918106,0.07090271264314651,0.13937560211525124,2.0,-4.572242440668123,-3.9219430032479536,-3.847784811888637,-2.5436399639366147,0.4765625,0.5234375,0.0,0.0703125
26,0.31088395416736603,1.025372326374054,1.0582997906021774,2.0,-1.378232091665268,0.05074464902281761,0.11659957592200954,2.0,-4.603566877963713,-3.931424594696429,-3.8656415800838,-2.748063436390506,0.48046875,0.51953125,0.0078125,0.07421875
27,0.2717464864253998,0.9937477707862854,1.031510773813352,2.0,-1.4565070271492004,-0.012504445854574442,0.06302154632066959,2.0,-4.640384638097079,-3.9611749167835875,-3.8817816724544025,-2.6376651505470825,0.50390625,0.49609375,0.015625,0.078125
28,0.24669840931892395,1.0103652477264404,1.03541105450131,2.0,-1.506603181362152,0.0207305820658803,0.07082211692022611,2.0,-4.663948345083291,-3.9455422594248373,-3.877240416970085,-2.582927255470414,0.4921875,0.5078125,0.015625,0.07421875
29,0.3366095870733261,1.0943121314048767,1.1049199267290533,2.0,-1.3267808258533478,0.1886243000626564,0.20983985860311805,2.0,-4.579365749957558,-3.866570780287493,-3.8113786581478326,-2.5841927551636523,0.41796875,0.58203125,0.00390625,0.0703125
30,0.2007324993610382,1.0362468957901,1.0661817125510424,2.0,-1.5985350012779236,0.07249380275607109,0.1323634237742226,2.0,-4.707189894865983,-3.9211946331934,-3.8500458752664954,-2.712403691752775,0.4609375,0.5390625,0.00390625,0.0859375
31,0.2985699772834778,1.0181406736373901,1.0681496055331081,2.0,-1.4028600454330444,0.03628137055784464,0.13629920740459056,2.0,-4.615150940700454,-3.938227678976729,-3.8479516898295447,-2.6433376793907826,0.48828125,0.51171875,0.00390625,0.078125
32,0.32489968836307526,1.065976619720459,1.1133575539570302,2.0,-1.3502006232738495,0.13195321708917618,0.22671510118152582,2.0,-4.590381732956766,-3.893226906841865,-3.8117339036666653,-2.8855972535502934,0.4609375,0.5390625,0.00390625,0.078125
33,0.28439904749393463,1.1043893098831177,1.1058986398857087,2.0,-1.4312019050121307,0.20877855271100998,0.21179727974595153,2.0,-4.628482033438228,-3.857090857792538,-3.8198111355131372,-2.8202810117859767,0.44140625,0.55859375,0.0,0.07421875
34,0.31774432957172394,1.157153606414795,1.1269425863865763,2.0,-1.3645113408565521,0.31430716812610626,0.2538851728022564,2.0,-4.597112902163717,-3.8074537550327134,-3.802905304069742,-2.829421303785015,0.4375,0.5625,0.00390625,0.08203125
35,0.2925155609846115,1.1268783807754517,1.144129540771246,2.0,-1.414968878030777,0.25375670194625854,0.2882590849440021,2.0,-4.620846463422926,-3.8359346321169836,-3.7846687395326777,-2.8464458085184132,0.421875,0.578125,0.0,0.078125
36,0.39068126678466797,1.1239768862724304,1.1391625949181616,2.0,-1.218637466430664,0.24795369803905487,0.2783251875935093,2.0,-4.528499006220274,-3.8386642051458635,-3.7911795978124543,-2.862904582168743,0.44140625,0.55859375,0.0,0.0859375
37,0.4217173308134079,1.153973400592804,1.159683717880398,2.0,-1.1565653383731842,0.3079468607902527,0.31936744346103296,2.0,-4.499302360954995,-3.8104454497409734,-3.770905885267188,-2.7867745707439027,0.390625,0.609375,0.00390625,0.07421875
38,0.3468206524848938,1.1842278838157654,1.1721022292040288,2.0,-1.3063586950302124,0.36845576763153076,0.3442044544763121,2.0,-4.569760038545593,-3.7819841648805124,-3.7610670331309333,-2.8610646301020615,0.3828125,0.6171875,0.0,0.0625
39,0.3969223201274872,1.134263277053833,1.158127610804513,2.0,-1.2061553597450256,0.2685266435146332,0.31625522620984725,2.0,-4.522627742405412,-3.82898728014987,-3.7728675726024052,-2.7940475193893124,0.37890625,0.62109375,0.00390625,0.078125
40,0.34502415359020233,1.1960144639015198,1.1871992531232536,2.0,-1.3099516928195953,0.39202892780303955,0.3743985107739718,2.0,-4.571449828284278,-3.770896125211182,-3.7456442173048585,-2.7744418300110265,0.33984375,0.66015625,0.0,0.07421875
41,0.4012262523174286,1.1639726161956787,1.1563700891565531,2.0,-1.1975474953651428,0.3279452472925186,0.3127401751153229,2.0,-4.5185787057401,-3.8010387717020127,-3.7719640603482345,-2.7499278607008764,0.38671875,0.61328125,0.0,0.078125
42,0.41272997856140137,1.176147222518921,1.1824929602444172,2.0,-1.1745400428771973,0.3522944450378418,0.36498591749523257,2.0,-4.50775684403261,-3.789585781327976,-3.748866141693966,-2.7939118610412925,0.33984375,0.66015625,0.00390625,0.07421875
43,0.40640386939048767,1.179765224456787,1.2027374268509448,2.0,-1.1871922612190247,0.35953038930892944,0.40547485804199823,2.0,-4.513708320221995,-3.786182268241374,-3.7203906053650497,-2.746528169492559,0.34375,0.65625,0.0,0.0859375
44,0.41746334731578827,1.2359262108802795,1.2361999314744025,2.0,-1.1650733053684235,0.47185245156288147,0.4723998604067674,2.0,-4.503304051362891,-3.7333497921262735,-3.6885724872173355,-2.780319851502,0.32421875,0.67578125,0.00390625,0.109375
45,0.39054542779922485,1.263226330280304,1.2708933248650283,2.0,-1.2189091444015503,0.5264526903629303,0.5417866508657312,2.0,-4.5286267370845215,-3.707667685641347,-3.636229558814636,-2.3848061604570736,0.30078125,0.69921875,0.0,0.12890625
46,0.4166196286678314,1.3560497760772705,1.3271147061605006,2.0,-1.1667607426643372,0.712099552154541,0.6542294178761949,2.0,-4.5040976589741355,-3.6203457765055016,-3.560532703942802,-2.256689409174757,0.2734375,0.7265625,0.0,0.16796875
47,0.3854246884584427,1.5024417042732239,1.3965842337347567,2.0,-1.2291506230831146,1.0048834085464478,0.7931684604193379,2.0,-4.533444009685843,-3.482630063451128,-3.4632859461860006,-2.1723442174945453,0.27734375,0.72265625,0.00390625,0.2578125
48,0.4680214673280716,1.5708382725715637,1.4500735634937882,2.0,-1.0639570653438568,1.1416765451431274,0.9001471298252,2.0,-4.4557423671435625,-3.41828724572511,-3.3787006578642385,-2.038792576004803,0.2421875,0.7578125,0.0,0.3125
49,0.4898384064435959,1.7015247344970703,1.4897709072101861,2.0,-1.0203231871128082,1.4030495882034302,0.9795418136420722,2.0,-4.43521869674454,-3.2953462328049614,-3.2918615393896804,-2.0191014028203025,0.21875,0.78125,0.0,0.37109375
