policy,task,outcome,metric,axis,bin_index,x_left,x_right,x_center,n_at_risk,mean,sd,episodes_total,main_L
fastwam,adjust_bottle,success,abs_I,absolute_slot,4,96.0,120.0,108.0,16,0.9174696896085791,0.31633418204631353,16,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,0,0.0,0.05,0.025,5,-8.384989377955208,0.14791495778218408,5,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,1,0.05,0.1,0.075,5,-8.58874958225498,0.15255620969472505,5,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,2,0.1,0.15,0.125,5,-8.536287202055354,0.13166126854647664,5,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,3,0.15,0.2,0.175,5,-8.508366756658305,0.08804403538497332,5,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,4,0.2,0.25,0.225,5,-8.328753682613373,0.11186586890298587,5,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,5,0.25,0.3,0.275,5,-7.902180972910931,0.11710888377219796,5,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,6,0.3,0.35,0.325,5,-8.176660056314521,0.054922765166483076,5,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,7,0.35,0.4,0.375,5,-8.080288414670674,0.4366331615420493,5,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,8,0.4,0.45,0.425,5,-8.105777091135542,0.36077677792764723,5,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,9,0.45,0.5,0.475,5,-7.451813729810128,0.9477412392830465,5,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,10,0.5,0.55,0.525,5,-7.4010068482640845,1.5948314355230178,5,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,11,0.55,0.6,0.575,5,-7.480023761806455,0.8703933760259718,5,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,12,0.6,0.65,0.625,5,-8.202413598252281,0.26295669414278905,5,5
