tag,round,value,wall_time
time/actor_training,41,220.06016540527344,1790107895.186889
time/actor_training,42,220.19509887695312,1790108189.2371917
time/actor_training,43,220.54766845703125,1790108483.5232482
time/actor_training,44,220.2495574951172,1790108774.1728776
time/actor_training,45,220.00485229492188,1790109330.9733284
time/actor_training,46,220.2147674560547,1790109621.6546133
time/actor_training,47,220.32858276367188,1790109914.977226
time/actor_training,48,220.0369415283203,1790110205.896343
time/actor_training,49,220.0634765625,1790110498.0410168
time/actor_training,50,220.5806884765625,1790111078.412502
time/actor_training,51,219.9306640625,1790111367.9305658
time/actor_training,52,219.47976684570312,1790111659.25949
time/actor_training,53,219.78578186035156,1790111952.0417876
time/actor_training,54,220.50711059570312,1790112245.605083
time/actor_training,55,219.9583282470703,1790112803.8008592
time/actor_training,56,219.64366149902344,1790113095.4826894
time/actor_training,57,220.0482940673828,1790113389.6312058
time/actor_training,58,220.233642578125,1790113681.8009455
time/actor_training,59,220.24960327148438,1790113974.0312855
time/actor_training,60,220.5492706298828,1790114535.2845438
time/actor_training,61,221.21446228027344,1790114828.615821
time/actor_training,62,220.1121368408203,1790115121.5225332
time/actor_training,63,220.4695587158203,1790115415.0230834
time/actor_training,64,219.9092254638672,1790115707.1618629
time/actor_training,65,219.81130981445312,1790116263.4402022
time/actor_training,66,220.3597869873047,1790116553.915809
time/actor_training,67,220.2332305908203,1790116843.9162984
time/actor_training,68,220.7933807373047,1790117137.0634634
time/actor_training,69,220.56712341308594,1790117427.213228
time/actor_training,70,220.36383056640625,1790117985.3747952
time/actor_training,71,221.16966247558594,1790118276.9682324
time/actor_training,72,220.73394775390625,1790118570.0832827
time/actor_training,73,220.70834350585938,1790118862.3898206
time/actor_training,74,220.97813415527344,1790119156.4226258
time/actor_training,75,220.53363037109375,1790119714.8659165
time/actor_training,76,221.21104431152344,1790120007.8127785
time/actor_training,77,219.86000061035156,1790120299.30134
time/actor_training,78,220.15110778808594,1790120593.728923
time/actor_training,79,220.1763153076172,1790120886.2667432
time/actor_training,80,220.59396362304688,1790121443.429608
time/actor_training,81,221.0724334716797,1790121736.7264895
time/actor_training,82,220.71388244628906,1790122030.2206264
time/actor_training,83,221.0507049560547,1790122325.1558902
time/actor_training,84,220.74395751953125,1790122618.0139134
time/actor_training,85,220.75247192382812,1790123174.796437
time/actor_training,86,220.86561584472656,1790123465.2894828
time/actor_training,87,220.77650451660156,1790123760.8273568
time/actor_training,88,221.15765380859375,1790124056.3848855
time/actor_training,89,221.3665771484375,1790124351.7648268
time/actor_training,90,220.75198364257812,1790124911.8969011
time/actor_training,91,221.26171875,1790125203.8194656
time/actor_training,92,221.07763671875,1790125498.5510457
time/actor_training,93,221.0224609375,1790125795.0155513
time/actor_training,94,220.71592712402344,1790126090.0336294
time/actor_training,95,221.14256286621094,1790126655.6891277
time/actor_training,96,221.59323120117188,1790126949.5629618
time/actor_training,97,220.75631713867188,1790127245.6745772
time/actor_training,98,220.51332092285156,1790127540.3637917
time/actor_training,99,220.83680725097656,1790127837.5739672
time/actor_training,100,220.302734375,1790128427.0448651
time/actor_training,101,221.09158325195312,1790128717.0482306
time/actor_training,102,220.48556518554688,1790129009.4973397
time/actor_training,103,220.6911163330078,1790129306.1339335
time/actor_training,104,220.66729736328125,1790129603.031869
time/actor_training,105,220.8367462158203,1790130168.1323967
time/actor_training,106,220.90457153320312,1790130459.100964
time/actor_training,107,220.921142578125,1790130753.6872492
time/actor_training,108,220.97959899902344,1790131048.217759
time/actor_training,109,220.51678466796875,1790131342.7931364
time/actor_training,110,220.6975555419922,1790131910.9582782
time/actor_training,111,221.06626892089844,1790132204.7336614
time/actor_training,112,221.02000427246094,1790132500.2303357
time/actor_training,113,220.34585571289062,1790132794.7816684
time/actor_training,114,220.80870056152344,1790133090.0281782
time/actor_training,115,220.79127502441406,1790133655.827543
time/actor_training,116,221.277587890625,1790133948.6333382
time/actor_training,117,220.5030517578125,1790134242.005576
time/actor_training,118,220.19937133789062,1790134537.1654632
time/actor_training,119,220.6726531982422,1790134829.9034612
time/actor_training,120,222.40469360351562,1790135389.0404122
time/actor_training,121,220.75856018066406,1790135679.5151746
time/actor_training,122,220.64483642578125,1790135981.4472811
time/actor_training,123,220.79347229003906,1790136274.8725681
time/actor_training,124,220.76512145996094,1790136570.9645088
time/actor_training,125,221.10858154296875,1790137127.7521682
time/actor_training,126,221.1152801513672,1790137419.6061294
time/actor_training,127,221.32376098632812,1790137716.6084247
time/actor_training,128,220.953857421875,1790138011.2182186
time/actor_training,129,221.53182983398438,1790138305.8050253
time/actor_training,130,221.33651733398438,1790138865.0294576
time/actor_training,131,221.51243591308594,1790139159.3511004
time/actor_training,132,221.666015625,1790139454.893767
time/step,1,307.6675109863281,1790093941.2289605
time/step,2,296.538818359375,1790094237.7856104
time/step,3,296.6431579589844,1790094534.4459097
time/step,4,294.1657409667969,1790094828.6304932
time/step,5,573.9358520507812,1790095402.5904455
time/step,6,291.42388916015625,1790095694.0349839
time/step,7,295.028076171875,1790095989.0819902
time/step,8,294.989990234375,1790096284.0884044
time/step,9,294.4223327636719,1790096578.5314882
time/step,10,567.4573974609375,1790097146.0074215
time/step,11,296.85174560546875,1790097442.8765187
time/step,12,297.4049072265625,1790097740.3017812
time/step,13,294.49212646484375,1790098034.8094265
time/step,14,295.5483703613281,1790098330.375181
time/step,15,570.046875,1790098900.4394438
time/step,16,293.46942138671875,1790099193.9296842
time/step,17,296.3720397949219,1790099490.3213496
time/step,18,294.0509033203125,1790099784.390176
time/step,19,295.2800598144531,1790100079.688453
time/step,20,565.9202880859375,1790100645.628008
time/step,21,292.0653381347656,1790100937.7145967
time/step,22,294.7940673828125,1790101232.5266438
time/step,23,297.3477478027344,1790101529.8951175
time/step,24,293.2069091796875,1790101823.1197798
time/step,25,570.4664916992188,1790102393.6039045
time/step,26,291.8733215332031,1790102685.4957473
time/step,27,294.3714599609375,1790102979.889923
time/step,28,294.4190368652344,1790103274.326523
time/step,29,290.8767395019531,1790103565.2180643
time/step,30,562.3385620117188,1790104127.5730484
time/step,31,291.28271484375,1790104418.8736212
time/step,32,293.66888427734375,1790104712.5613196
time/step,33,293.2887268066406,1790105005.8670597
time/step,34,294.0919189453125,1790105299.9780834
time/step,35,566.6538696289062,1790105866.6512167
time/step,36,292.15057373046875,1790106158.819806
time/step,37,294.81396484375,1790106453.6502056
time/step,38,296.4048767089844,1790106750.0743904
time/step,39,292.2244567871094,1790107042.3163252
time/step,40,561.49609375,1790107603.8349555
time/step,41,291.33251953125,1790107895.1868958
time/step,42,294.03240966796875,1790108189.2371979
time/step,43,294.2654113769531,1790108483.5232565
time/step,44,290.62957763671875,1790108774.1728842
time/step,45,556.7784423828125,1790109330.973357
time/step,46,290.66119384765625,1790109621.6546204
time/step,47,293.30291748046875,1790109914.9772327
time/step,48,290.8983154296875,1790110205.8963497
time/step,49,292.1218566894531,1790110498.0410237
time/step,50,580.3531494140625,1790111078.4125202
time/step,51,289.50067138671875,1790111367.9305723
time/step,52,291.3085021972656,1790111659.2595012
time/step,53,292.7581481933594,1790111952.0417922
time/step,54,293.54345703125,1790112245.6050892
time/step,55,558.1747436523438,1790112803.8008778
time/step,56,291.6596374511719,1790113095.4826968
time/step,57,294.12811279296875,1790113389.631212
time/step,58,292.14984130859375,1790113681.8009531
time/step,59,292.2125549316406,1790113974.0312905
time/step,60,561.234619140625,1790114535.2845564
time/step,61,293.31243896484375,1790114828.6158288
time/step,62,292.8892517089844,1790115121.5225413
time/step,63,293.483154296875,1790115415.0230885
time/step,64,292.1151123046875,1790115707.1618726
time/step,65,556.260986328125,1790116263.4402146
time/step,66,290.45831298828125,1790116553.9158158
time/step,67,289.9837341308594,1790116843.9163048
time/step,68,293.1278076171875,1790117137.0634701
time/step,69,290.1307373046875,1790117427.2132344
time/step,70,558.1442260742188,1790117985.3748243
time/step,71,291.57672119140625,1790118276.9682453
time/step,72,293.0961608886719,1790118570.0832894
time/step,73,292.28961181640625,1790118862.3898277
time/step,74,294.0140075683594,1790119156.4226336
time/step,75,558.4244995117188,1790119714.8659306
time/step,76,292.9281311035156,1790120007.8127866
time/step,77,291.4695129394531,1790120299.3013473
time/step,78,294.4078674316406,1790120593.7289307
time/step,79,292.51885986328125,1790120886.26675
time/step,80,557.144775390625,1790121443.4296248
time/step,81,293.279296875,1790121736.7264993
time/step,82,293.4772644042969,1790122030.2206335
time/step,83,294.91558837890625,1790122325.1558967
time/step,84,292.8390197753906,1790122618.0139198
time/step,85,556.7625122070312,1790123174.796455
time/step,86,290.47357177734375,1790123465.2894914
time/step,87,295.51904296875,1790123760.8273637
time/step,88,295.5363464355469,1790124056.384894
time/step,89,295.3621520996094,1790124351.7648335
time/step,90,560.1101684570312,1790124911.8969247
time/step,91,291.9044494628906,1790125203.819472
time/step,92,294.7147216796875,1790125498.5510519
time/step,93,296.4477233886719,1790125795.0155573
time/step,94,295.002197265625,1790126090.0336359
time/step,95,565.6358642578125,1790126655.6891458
time/step,96,293.85369873046875,1790126949.562971
time/step,97,296.09698486328125,1790127245.6745834
time/step,98,294.672119140625,1790127540.363798
time/step,99,297.1923828125,1790127837.573975
time/step,100,589.4547119140625,1790128427.0448785
time/step,101,289.9825439453125,1790128717.0482466
time/step,102,292.4317626953125,1790129009.497347
time/step,103,296.6172180175781,1790129306.1339407
time/step,104,296.8812561035156,1790129603.0318758
time/step,105,565.08447265625,1790130168.1324089
time/step,106,290.9530944824219,1790130459.10097
time/step,107,294.5678405761719,1790130753.6872563
time/step,108,294.512939453125,1790131048.2177649
time/step,109,294.5556945800781,1790131342.7931466
time/step,110,568.1463012695312,1790131910.9582958
time/step,111,293.7562255859375,1790132204.733668
time/step,112,295.47607421875,1790132500.2303445
time/step,113,294.5312194824219,1790132794.7816756
time/step,114,295.2267150878906,1790133090.028186
time/step,115,565.7794189453125,1790133655.82756
time/step,116,292.78338623046875,1790133948.6333477
time/step,117,293.35064697265625,1790134242.0055833
time/step,118,295.1390075683594,1790134537.1654701
time/step,119,292.7180480957031,1790134829.9034724
time/step,120,559.1162719726562,1790135389.040436
time/step,121,290.45477294921875,1790135679.515182
time/step,122,301.914306640625,1790135981.4472866
time/step,123,293.40704345703125,1790136274.8725739
time/step,124,296.0742492675781,1790136570.9645147
time/step,125,556.765625,1790137127.7521822
time/step,126,291.83349609375,1790137419.606135
time/step,127,296.9839782714844,1790137716.6084323
time/step,128,294.5926818847656,1790138011.218225
time/step,129,294.5697326660156,1790138305.805032
time/step,130,559.2037353515625,1790138865.0294738
time/step,131,294.302734375,1790139159.3511066
time/step,132,295.5196533203125,1790139454.8937767
time/env/env/bootstrap_step,1,54.15299987792969,1790093941.2289686
time/env/env/bootstrap_step,2,47.69547653198242,1790094237.7856197
time/env/env/bootstrap_step,3,47.470577239990234,1790094534.4459183
time/env/env/bootstrap_step,4,47.00252914428711,1790094828.6305041
time/env/env/bootstrap_step,5,48.945064544677734,1790095402.5907896
time/env/env/bootstrap_step,6,46.66594696044922,1790095694.0349908
time/env/env/bootstrap_step,7,46.96649169921875,1790095989.0819979
time/env/env/bootstrap_step,8,47.096405029296875,1790096284.088412
time/env/env/bootstrap_step,9,47.230899810791016,1790096578.531495
time/env/env/bootstrap_step,10,46.767242431640625,1790097146.007617
time/env/env/bootstrap_step,11,48.68949508666992,1790097442.876526
time/env/env/bootstrap_step,12,49.02800750732422,1790097740.30179
time/env/env/bootstrap_step,13,47.185482025146484,1790098034.8094335
time/env/env/bootstrap_step,14,47.017574310302734,1790098330.3751886
time/env/env/bootstrap_step,15,47.393653869628906,1790098900.4398723
time/env/env/bootstrap_step,16,49.1617546081543,1790099193.9296925
time/env/env/bootstrap_step,17,47.7445068359375,1790099490.321357
time/env/env/bootstrap_step,18,45.99164581298828,1790099784.3901837
time/env/env/bootstrap_step,19,46.76528549194336,1790100079.6884615
time/env/env/bootstrap_step,20,47.10951232910156,1790100645.628439
time/env/env/bootstrap_step,21,47.78894805908203,1790100937.7146053
time/env/env/bootstrap_step,22,47.300880432128906,1790101232.5266507
time/env/env/bootstrap_step,23,48.404537200927734,1790101529.8951252
time/env/env/bootstrap_step,24,45.84062194824219,1790101823.1197865
