unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_high_events,cgroup_max_events,cgroup_oom_events,cgroup_oom_kill_events,shm_used_bytes,disk_available_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,env_rss_kib,actor_rss_kib,rollout_rss_kib,driver_rss_kib,ray_system_rss_kib,matched_total_rss_kib,compute_process_count
1787564669,9.96026e+11,40272596992,29613846528,10003906560,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261160,1360,11327344,3160,1893912,32936184,6
1787564671,9.9603e+11,40271405056,29614039040,10003927040,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261160,1416,11327284,3160,1894064,32936300,6
1787564673,9.96035e+11,40271835136,29614301184,10003951616,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261132,1360,11327316,3160,1894160,32936584,6
1787564676,9.9604e+11,40274468864,29615345664,10004250624,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261140,1388,11327672,3160,1895324,32938156,6
1787564678,9.96011e+11,40273641472,29615038464,10004365312,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261196,1388,11327704,3160,1895412,32938184,6
1787564680,9.96015e+11,40270270464,29614616576,10004365312,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261136,1352,11327708,3160,1895132,32938040,6
1787564682,9.95987e+11,40270610432,29615001600,10004369408,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261132,1348,11327704,3160,1894972,32937800,6
1787564685,9.95967e+11,40272084992,29616271360,10004369408,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261188,1412,11327784,3160,1894496,32937556,6
1787564687,9.95967e+11,40271556608,29614526464,10004369408,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261156,1372,11327724,3160,1894580,32937536,6
1787564689,9.95969e+11,40271122432,29614465024,10004369408,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261116,1388,11327756,3160,1894480,32937536,6
1787564691,9.95971e+11,40270462976,29615181824,10004369408,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261196,1388,11327736,3160,1894940,32938232,6
1787564694,9.95962e+11,40271769600,29614821376,10004373504,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261120,1392,11327716,3160,1894884,32938132,6
1787564696,9.95972e+11,40271527936,29614358528,10004373504,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261156,1344,11327808,3160,1894316,32937564,6
1787564698,9.95969e+11,40270135296,29614006272,10004373504,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261184,1392,11327744,3160,1894192,32937456,6
1787564700,9.95915e+11,40267603968,29613572096,10004373504,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261200,1384,11327768,3160,1894032,32937244,6
1787564703,9.95897e+11,40269774848,29613834240,10004373504,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261216,1388,11327768,3160,1894872,32938048,6
1787564705,9.95886e+11,40272064512,29614698496,10004373504,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261144,1452,11327768,3160,1895928,32939056,6
1787564707,9.9592e+11,40271421440,29614882816,10004373504,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261200,1376,11327804,3160,1896072,32939188,6
1787564709,9.9593e+11,40269438976,29614567424,10004373504,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261176,1428,11327824,3160,1895776,32938928,6
1787564712,9.95933e+11,40270196736,29614374912,10004373504,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261128,1328,11327768,3160,1895536,32938588,6
1787564714,9.95922e+11,40271364096,29614989312,10004373504,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261112,1364,11327796,3160,1895648,32938660,6
1787564716,9.95938e+11,40273113088,29614936064,10004373504,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261128,1348,11327744,3160,1895504,32938568,6
1787564719,9.95946e+11,40272265216,29615308800,10004377600,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261160,1336,11327768,3160,1895820,32938884,6
1787564721,9.95952e+11,40273682432,29616324608,10004377600,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261124,1396,11327792,3160,1896680,32939744,6
1787564723,9.95955e+11,40273502208,29616689152,10004377600,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261176,1380,11327756,3160,1897172,32940256,6
1787564725,9.95966e+11,40276508672,29616443392,10004381696,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261200,1392,11327736,3160,1896964,32939976,6
1787564728,9.9596e+11,40272867328,29616365568,10004381696,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261168,1416,11327716,3160,1896880,32939868,6
1787564730,9.95955e+11,40277209088,29618130944,10004406272,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261176,1416,11327800,3160,1896420,32939436,6
1787564732,9.94858e+11,40275980288,29616238592,10004406272,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261224,1364,11327704,3160,1896260,32939420,6
1787564734,9.95942e+11,40275992576,29615976448,10004590592,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261192,1396,11327708,3160,1895888,32939048,6
1787564737,9.95903e+11,40275177472,29616668672,10004721664,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261188,1348,11327740,3160,1896456,32939692,6
1787564739,9.95963e+11,40275021824,29616656384,10004721664,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261164,1452,11327740,3160,1896348,32939644,6
1787564741,9.95976e+11,40273866752,29616795648,10004721664,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261168,1348,11327720,3160,1895900,32939136,6
1787564743,9.95973e+11,40272011264,29616463872,10004729856,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261224,1396,11327728,3160,1896004,32939408,6
1787564746,9.9599e+11,40274161664,29616459776,10004729856,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261156,1360,11327808,3160,1896044,32939360,6
1787564748,9.95983e+11,40272285696,29616033792,10004729856,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261188,1372,11327796,3160,1895564,32938852,6
1787564750,9.95989e+11,40272072704,29616955392,10004729856,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261136,1356,11327772,3160,1896480,32939832,6
1787564752,9.95987e+11,40272617472,29616271360,10004729856,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261220,1376,11327728,3160,1895976,32939348,6
1787564755,9.95982e+11,40273473536,29616209920,10004729856,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261144,1380,11327756,3160,1896112,32939528,6
1787564757,9.95976e+11,40273362944,29615677440,10004729856,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261252,1396,11327748,3160,1895828,32939200,6
1787564759,9.95964e+11,40272625664,29615718400,10004729856,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261196,1344,11327776,3160,1895944,32939308,6
1787564762,9.95952e+11,40273264640,29615566848,10004729856,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261212,1348,11327772,3160,1895716,32939084,6
1787564764,9.95948e+11,40274190336,29615407104,10004729856,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261196,1348,11327756,3160,1895700,32939048,6
1787564766,9.95964e+11,40275972096,29616828416,10004729856,0,0,0,0,29622272,788696743936,11289,100,11401,100,8261168,1328,11327808,3160,1896628,32940064,6
