unix_time,cgroup_current_bytes,cgroup_high_bytes,cgroup_max_bytes,event_high,event_max,event_oom,event_oom_kill,anon_bytes,file_bytes,psi_some_avg10,psi_full_avg10,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,control_driver_rss_kib,control_head_rss_kib,method_driver_rss_kib,method_head_rss_kib,compute_process_count
1787668449,80864587776,253403070464,257698037760,0,0,0,0,42392641536,36677332992,0.00,0.00,16653,72,21194,0,1498124,50787360,1501960,50787360,8
1787668451,80867127296,253403070464,257698037760,0,0,0,0,42393899008,36677332992,0.00,0.00,16653,0,21194,0,1498124,50789632,1501960,50789632,8
1787668454,80869552128,253403070464,257698037760,0,0,0,0,42398089216,36677332992,0.00,0.00,16653,86,21194,19,1498124,50793304,1501960,50793304,8
1787668456,80874541056,253403070464,257698037760,0,0,0,0,42403274752,36677361664,0.00,0.00,16653,0,21194,99,1498124,50798616,1501960,50798616,8
1787668458,80878526464,253403070464,257698037760,0,0,0,0,42405855232,36677435392,0.00,0.00,16653,34,21194,0,1498124,50800168,1501972,50800168,8
1787668460,80880680960,253403070464,257698037760,0,0,0,0,42407649280,36677533696,0.00,0.00,16653,3,21194,0,1498124,50802324,1501972,50802324,8
1787668462,80885239808,253403070464,257698037760,0,0,0,0,42413379584,36677533696,0.00,0.00,16653,50,21194,78,1498124,50808108,1501972,50808108,8
1787668465,80886296576,253403070464,257698037760,0,0,0,0,42413867008,36677533696,0.00,0.00,16653,0,21194,0,1498124,50809380,1501972,50809380,8
1787668467,80886444032,253403070464,257698037760,0,0,0,0,42415218688,36677554176,0.00,0.00,16653,0,21194,0,1498124,50810820,1501988,50810820,8
1787668469,80889716736,253403070464,257698037760,0,0,0,0,42416705536,36677562368,0.00,0.00,16653,97,21194,86,1498124,50812052,1501988,50812052,8
1787668471,80899788800,253403070464,257698037760,0,0,0,0,42428264448,36677709824,0.00,0.00,15611,0,21194,65,1498124,50824888,1501988,50824888,8
1787668474,80788856832,253403070464,257698037760,0,0,0,0,42316820480,36677713920,0.00,0.00,14503,2,21194,0,1498124,50715952,1501988,50715952,8
1787668476,80789733376,253403070464,257698037760,0,0,0,0,42318737408,36677713920,0.00,0.00,14503,0,21194,51,1498124,50718312,1501988,50718312,8
1787668478,80832950272,253403070464,257698037760,0,0,0,0,42358566912,36677713920,0.00,0.00,14705,1,21194,86,1498124,50757216,1502000,50757216,8
1787668480,80087343104,253403070464,257698037760,0,0,0,0,41613881344,36677713920,0.00,0.00,14801,0,16824,27,1498124,49613704,1502004,49613704,8
1787668483,78844837888,253403070464,257698037760,0,0,0,0,40368316416,36684845056,0.00,0.00,14988,0,10110,0,1498124,48708628,1502136,48708764,7
1787668485,79053611008,253403070464,257698037760,0,0,0,0,40573755392,36684857344,0.00,0.00,15356,3,10158,0,1498124,49046832,1502136,49083264,8
1787668487,79106449408,253403070464,257698037760,0,0,0,0,40639528960,36684857344,0.00,0.00,15356,0,10376,0,1498124,49216504,1502136,49216504,8
1787668489,79824195584,253403070464,257698037760,0,0,0,0,41341992960,36684857344,0.00,0.00,15813,0,10440,0,1498124,49791448,1502136,49791448,8
1787668492,80592764928,253403070464,257698037760,0,0,0,0,42110607360,36684857344,0.00,0.00,16164,0,11082,0,1498124,50542356,1502136,50542356,8
1787668494,80860950528,253403070464,257698037760,0,0,0,0,42377719808,36684857344,0.00,0.00,16621,6,13275,0,1498124,50814128,1502136,50814128,8
1787668496,81201803264,253403070464,257698037760,0,0,0,0,42716696576,36684857344,0.00,0.00,16974,84,13531,5,1498124,51185388,1502136,51185388,8
1787668498,81242038272,253403070464,257698037760,0,0,0,0,42755805184,36684857344,0.00,0.00,16974,0,13986,7,1498124,51223308,1502136,51223308,8
1787668500,81649836032,253403070464,257698037760,0,0,0,0,43162034176,36684857344,0.00,0.00,16974,60,14338,0,1498124,51624264,1502136,51624264,8
1787668503,81963503616,253403070464,257698037760,0,0,0,0,43476131840,36684857344,0.00,0.00,16974,53,14796,1,1498124,52015636,1502136,52015636,8
1787668505,82151628800,253403070464,257698037760,0,0,0,0,43684769792,36684857344,0.00,0.00,16974,0,15402,83,1498124,52124396,1502136,52124396,8
1787668507,82464161792,253403070464,257698037760,0,0,0,0,43976335360,36684861440,0.00,0.00,16974,0,15402,0,1498124,52418368,1502136,52418544,8
1787668509,82761367552,253403070464,257698037760,0,0,0,0,44274327552,36684861440,0.00,0.00,16974,100,15860,0,1498124,52741048,1502136,52741048,8
1787668511,82832646144,253403070464,257698037760,0,0,0,0,44343058432,36684865536,0.00,0.00,16974,100,16624,91,1498124,52777664,1502136,52777664,8
1787668514,82843570176,253403070464,257698037760,0,0,0,0,44353691648,36684865536,0.00,0.00,16974,80,16624,0,1498124,52787728,1502136,52787728,8
1787668516,82846568448,253403070464,257698037760,0,0,0,0,44359008256,36684890112,0.00,0.00,16974,26,16624,0,1498124,52793604,1502136,52793604,8
1787668518,82820161536,253403070464,257698037760,0,0,0,0,44328251392,36685062144,0.00,0.00,16974,0,16624,50,1498124,52763204,1502136,52763204,8
1787668520,82816372736,253403070464,257698037760,0,0,0,0,44329218048,36685062144,0.00,0.00,16974,0,16624,0,1498124,52764064,1502136,52764064,8
1787668523,82815705088,253403070464,257698037760,0,0,0,0,44328775680,36685062144,0.00,0.00,16974,0,16624,0,1498124,52763852,1502136,52763852,8
1787668525,82814287872,253403070464,257698037760,0,0,0,0,44328476672,36685062144,0.00,0.00,16974,24,16624,63,1498124,52763924,1502136,52763924,8
1787668527,82819956736,253403070464,257698037760,0,0,0,0,44329263104,36685078528,0.00,0.00,16974,23,16624,100,1498124,52766944,1502136,52766932,8
1787668529,82819534848,253403070464,257698037760,0,0,0,0,44329795584,36685090816,0.00,0.00,16974,39,16624,11,1498124,52767468,1502136,52767468,8
1787668531,82820067328,253403070464,257698037760,0,0,0,0,44331008000,36685266944,0.00,0.00,16974,81,16624,98,1498124,52768620,1502136,52768620,8
1787668534,82820837376,253403070464,257698037760,0,0,0,0,44331700224,36685266944,0.00,0.00,16974,0,16624,92,1498124,52769476,1502136,52769476,8
1787668536,82821832704,253403070464,257698037760,0,0,0,0,44331667456,36685266944,0.00,0.00,16974,76,16624,100,1498124,52769744,1502136,52769744,8
1787668538,82816663552,253403070464,257698037760,0,0,0,0,44327268352,36685271040,0.00,0.00,16974,0,16624,43,1498124,52764780,1502136,52764780,8
1787668540,82817089536,253403070464,257698037760,0,0,0,0,44329578496,36685271040,0.00,0.00,16974,98,16624,58,1498124,52766920,1502136,52766920,8
1787668543,82820706304,253403070464,257698037760,0,0,0,0,44330209280,36685271040,0.00,0.00,16974,44,16624,0,1498124,52768152,1502136,52768152,8
1787668545,82822393856,253403070464,257698037760,0,0,0,0,44333854720,36685271040,0.00,0.00,16974,0,16624,39,1498124,52771700,1502136,52771700,8
1787668547,82823516160,253403070464,257698037760,0,0,0,0,44334460928,36685271040,0.00,0.00,16974,0,16624,25,1498124,52771940,1502136,52771940,8
1787668549,82824290304,253403070464,257698037760,0,0,0,0,44333797376,36685271040,0.00,0.00,16974,66,16624,99,1498124,52773572,1502136,52773572,8
1787668552,82828640256,253403070464,257698037760,0,0,0,0,44335947776,36685271040,0.00,0.00,16974,94,16624,96,1498124,52773944,1502136,52773944,8
1787668554,82817429504,253403070464,257698037760,0,0,0,0,44331274240,36685271040,0.00,0.00,16974,0,16624,0,1498124,52769532,1502136,52769532,8
1787668556,82817789952,253403070464,257698037760,0,0,0,0,44331421696,36685275136,0.00,0.00,16974,0,16624,35,1498124,52769960,1502136,52769960,8
