unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_oom_events,cgroup_oom_kill_events,shm_used_bytes,disk_available_bytes,gpu0_used_mib,gpu0_total_mib,gpu0_util_pct,gpu0_mem_util_pct,gpu0_power_w,gpu1_used_mib,gpu1_total_mib,gpu1_util_pct,gpu1_mem_util_pct,gpu1_power_w,env_rss_kib,env_cpu_pct,actor_rss_kib,actor_cpu_pct,rollout_rss_kib,rollout_cpu_pct,driver_rss_kib,driver_cpu_pct,ray_rss_kib,ray_cpu_pct,matched_total_rss_kib,compute_process_count
1786166894,1.03046e+12,88281993216,23857041408,63649673216,0,0,155648,798512222208,504,81920,0,0,68.16,503,81920,0,0,67.29,3879512.00,147.20,1616448.00,50.90,12228420.00,204.00,3208,0.0,1120932.00,22.90,27999360.00,2
1786166895,1.0286e+12,90145263616,25717776384,63649673216,0,0,155648,798512222208,504,81920,0,0,67.56,503,81920,0,0,67.01,3879512.00,135.10,1616448.00,46.70,14020864.00,198.50,3208,0.0,1120884.00,22.00,29776124.00,2
1786166896,1.02678e+12,91959255040,27525312512,63649673216,0,0,155648,798512222208,504,81920,0,0,67.56,503,81920,0,0,67.01,3879588.00,129.80,1616448.00,44.90,15787388.00,200.00,3208,0.0,1122124.00,21.90,31567752.00,2
1786166898,1.02489e+12,93841375232,29405126656,63649673216,0,0,155648,798512222208,504,81920,0,0,67.23,503,81920,0,0,67.01,3879588.00,124.90,1616448.00,43.20,17679000.00,202.00,3208,0.0,1122236.00,21.90,33457912.00,2
1786166899,1.02295e+12,95781654528,31342465024,63649673216,0,0,155648,798512222208,504,81920,0,0,67.56,503,81920,0,0,67.01,3879588.00,116.20,1616448.00,40.20,19510736.00,198.20,3208,0.0,1122944.00,20.90,35281636.00,2
1786166900,1.02112e+12,97615007744,33174028288,63649673216,0,0,155648,798512222208,504,81920,0,0,67.56,503,81920,0,0,67.01,3879588.00,112.20,1616448.00,38.80,21295100.00,200.00,3208,0.0,1122804.00,20.80,37078004.00,2
1786166902,1.01928e+12,99460014080,35012870144,63649673216,0,0,155648,798512222208,504,81920,0,0,67.23,503,81920,0,0,67.01,3879588.00,108.60,1616448.00,37.60,23091980.00,201.00,3208,0.0,1122952.00,20.60,38870544.00,2
1786166903,1.01746e+12,101274468352,36826423296,63649673216,0,0,155648,798512222208,504,81920,0,0,67.56,503,81920,0,0,67.01,3879588.00,105.20,1616448.00,36.40,24876104.00,203.00,3208,0.0,1122604.00,19.90,40650244.00,2
1786166904,1.01609e+12,102645428224,38188453888,63649677312,0,0,155648,798512218112,504,81920,0,0,67.89,503,81920,0,0,67.01,3879588.00,98.90,1616448.00,34.20,26011468.00,199.70,3208,0.0,1123168.00,19.70,41698792.00,2
1786166906,1.01608e+12,102645174272,38191357952,63649697792,0,0,155648,798512218112,504,81920,0,0,67.56,503,81920,0,0,67.01,3879588.00,96.10,1616448.00,33.30,26011468.00,200.00,3208,0.0,1122960.00,19.60,41698560.00,2
