unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,matched_rss_kib,compute_process_count
1785325938,1.03276e+12,245663076352,19185344512,224241221632,23285,92,23285,93,16901416,2
1785325939,1.03278e+12,245635911680,19160395776,224241221632,23285,100,23285,100,16899780,2
1785325940,1.03277e+12,245640749056,19164844032,224241225728,23285,97,23285,92,16899776,2
1785325941,1.03278e+12,245627523072,19152371712,224241229824,23285,74,23285,68,16900020,2
1785325943,1.03277e+12,245653327872,19176235008,224241229824,23285,93,23285,93,16900024,2
1785325944,1.0328e+12,245629300736,19155185664,224241238016,23285,87,23285,91,16900292,2
1785325945,1.03278e+12,245639315456,19162468352,224241238016,23285,93,23285,93,16901184,2
1785325946,1.03278e+12,245650636800,19173691392,224241242112,23285,75,23285,74,16901088,2
1785325947,1.03281e+12,245624995840,19148615680,224241246208,23285,100,23285,100,16901028,2
1785325948,1.0328e+12,245640642560,19162869760,224241250304,23285,74,23285,75,16900860,2
1785325950,1.03281e+12,245629915136,19156561920,224241250304,23285,95,23285,93,16900820,2
1785325951,1.03279e+12,245623635968,19149209600,224241254400,23285,71,23285,74,16900748,2
1785325952,1.03282e+12,245604253696,19130011648,224241254400,23285,94,23285,91,16901108,2
1785325953,1.03281e+12,245636968448,19160580096,224241266688,23285,90,23285,89,16900876,2
1785325954,1.0328e+12,245648879616,19173748736,224241266688,23285,93,23285,93,16901376,2
1785325956,1.0328e+12,245655379968,19178938368,224241299456,23285,100,23285,99,16901376,2
1785325957,1.03282e+12,245633191936,19155968000,224241303552,23285,100,23285,100,16901560,2
1785325958,1.03283e+12,245628624896,19152072704,224241307648,23285,74,23285,73,16901420,2
1785325959,1.03283e+12,245642297344,19165384704,224241332224,23285,100,23285,100,16900948,2
1785325960,1.03282e+12,245641641984,19166363648,224241496064,23285,74,23285,73,16901916,2
1785325962,1.03285e+12,245616357376,19139645440,224241504256,23285,93,23285,92,16902136,2
1785325963,1.03282e+12,245643018240,19164344320,224241565696,23285,85,23285,78,16902420,2
1785325964,1.03282e+12,245640531968,19165331456,224241569792,23285,93,23285,92,16902436,2
1785325965,1.03281e+12,245647826944,19173801984,224241569792,23285,99,23285,97,16902592,2
1785325966,1.03282e+12,245636476928,19160055808,224241573888,23285,93,23285,93,16902240,2
1785325967,1.03284e+12,245624647680,19150540800,224241577984,23285,99,23285,99,16902624,2
1785325969,1.03282e+12,245644787712,19168768000,224241577984,23285,93,23285,92,16902276,2
1785325970,1.03282e+12,245650186240,19173629952,224241582080,23285,100,23285,99,16902208,2
1785325971,1.03283e+12,245643120640,19167039488,224241586176,23285,93,23285,94,16902244,2
1785325972,1.03283e+12,245640609792,19166339072,224241590272,23285,74,23285,73,16902484,2
1785325973,1.03284e+12,245631762432,19155841024,224241594368,23285,93,23285,94,16902692,2
1785325975,1.03282e+12,245665771520,19189309440,224241598464,23285,89,23285,83,16903568,2
1785325976,1.03281e+12,245666332672,19190300672,224241598464,23285,93,23285,93,16903788,2
1785325977,1.03284e+12,245633462272,19155976192,224241602560,23285,99,23285,99,16903588,2
1785325978,1.03285e+12,245627817984,19152662528,224241606656,23285,93,23285,93,16903000,2
1785325979,1.03282e+12,245649854464,19173171200,224241610752,23285,74,23285,69,16902656,2
1785325981,1.03283e+12,245625081856,19155353600,224241614848,23285,100,23285,100,16902540,2
1785325982,1.03284e+12,245629157376,19154075648,224241614848,23285,74,23285,71,16902540,2
1785325983,1.0328e+12,245664862208,19190988800,224241618944,23285,95,23285,94,16903044,2
1785325984,1.03281e+12,245657341952,19183718400,224241627136,23285,82,23285,87,16902492,2
1785325985,1.03284e+12,245632835584,19159355392,224241627136,23285,94,23285,94,16902492,2
1785325987,1.03283e+12,245657440256,19183079424,224241631232,23285,99,23285,99,16902620,2
1785325988,1.03281e+12,245661687808,19186831360,224241635328,23285,94,23285,92,16902880,2
1785325989,1.03281e+12,245664309248,19188662272,224241635328,23285,100,23285,99,16902764,2
1785325990,1.03282e+12,245662392320,19189813248,224241639424,23285,97,23285,98,16903504,2
1785325991,1.03285e+12,245630377984,19156398080,224241643520,23285,100,23285,100,16902852,2
1785325992,1.03283e+12,245657767936,19153137664,224241647616,23285,93,23285,93,16903116,2
1785325994,1.03286e+12,245629366272,19154210816,224241651712,23285,89,23285,97,16902972,2
1785325995,1.03287e+12,245616013312,19141644288,224241651712,23285,93,23285,93,16902700,2
1785325996,1.03284e+12,245650264064,19176009728,224241655808,23285,100,23285,99,16902504,2
1785325997,1.03283e+12,245651062784,19176042496,224241659904,23285,93,23285,93,16902740,2
1785325998,1.03283e+12,245661298688,19187245056,224241664000,23285,99,23285,100,16903000,2
1785326000,1.03282e+12,245672173568,19198369792,224241664000,23285,98,23285,100,16902920,2
1785326001,1.03289e+12,245617287168,19143397376,224241672192,23285,100,23285,100,16902920,2
1785326002,1.03287e+12,245633863680,19157467136,224241909760,23285,93,23285,95,16902908,2
1785326003,1.03286e+12,245633388544,19158634496,224241917952,23285,85,23285,90,16903912,2
1785326004,1.03286e+12,245629517824,19154980864,224241926144,23285,93,23285,93,16903280,2
1785326006,1.03284e+12,245626413056,19151986688,224241926144,23285,99,23285,99,16899244,2
1785326007,1.03282e+12,245645942784,19170668544,224241930240,23285,93,23285,95,16899124,2
1785326008,1.03283e+12,245629251584,19154563072,224241942528,23285,99,23285,100,16899132,2
1785326009,1.03281e+12,245658066944,19184447488,224241942528,23285,100,23285,100,16898844,2
1785326010,1.03283e+12,245633437696,19159818240,224241950720,23285,100,23285,100,16899264,2
1785326012,1.03281e+12,245635567616,19163308032,224241954816,23285,75,23285,75,16898980,2
1785326013,1.0328e+12,245655490560,19179876352,224241954816,23285,100,23285,100,16899200,2
1785326014,1.03282e+12,245614268416,19140145152,224241958912,23285,75,23285,66,16899748,2
1785326015,1.03281e+12,245625413632,19151228928,224241963008,23285,100,23285,100,16899816,2
1785326016,1.03279e+12,245658107904,19184386048,224241995776,23285,74,23285,73,16899812,2
1785326018,1.03278e+12,245652586496,19170697216,224241995776,23285,95,23285,95,16899744,2
1785326019,1.03279e+12,245638172672,19161436160,224242024448,23285,94,23285,87,16900408,2
1785326020,1.03275e+12,245671915520,19196862464,224242180096,23285,93,23285,94,16901252,2
1785326021,1.0328e+12,245625839616,19153596416,224242184192,23285,73,23285,99,16900964,2
1785326022,1.03277e+12,245660028928,19186319360,224242229248,23285,93,23285,95,16900872,2
1785326024,1.03274e+12,245659865088,19183284224,224242233344,23285,100,23285,100,16900416,2
1785326025,1.03277e+12,245620891648,19146752000,224242237440,23285,99,23285,99,16900440,2
1785326026,1.03277e+12,245633736704,19158515712,224242241536,23285,86,23285,85,16900156,2
1785326027,1.03276e+12,245645283328,19169075200,224242245632,23285,93,23285,95,16900188,2
1785326028,1.03277e+12,245626982400,19150979072,224242253824,23285,99,23285,99,16899840,2
1785326030,1.03275e+12,245628850176,19151519744,224242257920,23285,93,23285,93,16900012,2
1785326031,1.03277e+12,245625425920,19148693504,224242257920,23285,99,23285,99,16900012,2
1785326032,1.03275e+12,245665660928,19188678656,224242262016,23285,100,23285,100,16900024,2
1785326033,1.03277e+12,245640077312,19166273536,224242266112,23285,75,23285,73,16900024,2
1785326034,1.03275e+12,245661212672,19186421760,224242266112,23285,93,23285,94,16900176,2
1785326035,1.03277e+12,245652500480,19177496576,224242270208,23285,99,23285,99,16900868,2
1785326037,1.03277e+12,245657931776,19185070080,224242278400,23285,93,23285,94,16900852,2
1785326038,1.03277e+12,245649399808,19174109184,224242278400,23285,75,23285,68,16900828,2
1785326039,1.03278e+12,245627142144,19151515648,224242282496,23285,100,23285,100,16900784,2
1785326040,1.0328e+12,245603098624,19126665216,224242286592,23285,74,23285,72,16900784,2
1785326041,1.03275e+12,245658750976,19182788608,224242286592,23285,93,23285,95,16900740,2
1785326042,1.03278e+12,245631377408,19155980288,224242290688,23285,81,23285,76,16900740,2
1785326044,1.03276e+12,245638742016,19163488256,224242294784,23285,93,23285,93,16900944,2
1785326045,1.0328e+12,245603799040,19129667584,224242298880,23285,75,23285,72,16901228,2
1785326046,1.03279e+12,245604225024,19129389056,224242302976,23285,100,23285,100,16900908,2
1785326047,1.0328e+12,245603082240,19129151488,224242307072,23285,75,23285,67,16900800,2
1785326048,1.03279e+12,245589553152,19113836544,224242307072,23285,0,23285,0,16900240,2
1785326050,1.03273e+12,245663768576,19187154944,224242311168,23285,99,23285,99,16901448,2
1785326051,1.03276e+12,245643542528,19168030720,224242311168,23285,93,23285,95,16901636,2
1785326052,1.03274e+12,245651087360,19175321600,224242315264,23285,100,23285,99,16901636,2
1785326053,1.03274e+12,245654142976,19180367872,224242319360,23285,96,23285,97,16901560,2
1785326054,1.03275e+12,245644660736,19167956992,224242327552,23285,100,23285,99,16901032,2
1785326056,1.03275e+12,245655478272,19178610688,224242331648,23285,99,23285,100,16901136,2
1785326057,1.03273e+12,245670076416,19193380864,224242335744,23285,71,23285,71,16901052,2
1785326058,1.03274e+12,245651017728,19174883328,224242335744,23285,93,23285,94,16900936,2
