h,position_center_log_v,position_scale_log_v,current_log_v_median,residual_median,weight_mean,weight_p05,weight_p50,weight_p95,below_one_fraction,above_one_fraction,at_min_fraction,at_max_fraction
27,-4.024584770202637,0.39951053261756897,-3.9743194580078125,0.12581723928451538,0.9523480534553528,0.5267302393913269,1.012581706047058,1.2000000476837158,0.45878136200716846,0.5412186379928315,0.05017921146953405,0.06451612903225806
28,-4.026287078857422,0.4018309414386749,-3.969794750213623,0.14058730006217957,0.9543729424476624,0.5438343286514282,1.0140587091445923,1.2000000476837158,0.45161290322580644,0.5483870967741935,0.03942652329749104,0.07168458781362007
29,-4.025707244873047,0.41039982438087463,-4.01142692565918,0.03479611501097679,0.9415954947471619,0.541010320186615,1.0034795999526978,1.2000000476837158,0.4838709677419355,0.5161290322580645,0.03942652329749104,0.06451612903225806
30,-4.024144172668457,0.412966787815094,-3.992680072784424,0.07619038969278336,0.9426195025444031,0.5,1.007619023323059,1.2000000476837158,0.4767025089605735,0.5232974910394266,0.05734767025089606,0.06810035842293907
31,-3.9991378784179688,0.430050253868103,-3.8951992988586426,0.24168938398361206,0.9485232830047607,0.5033631920814514,1.0241689682006836,1.2000000476837158,0.4229390681003584,0.5770609318996416,0.043010752688172046,0.08243727598566308
32,-4.000026226043701,0.4268636405467987,-3.924293279647827,0.17741718888282776,0.9607795476913452,0.5836284756660461,1.0177416801452637,1.2000000476837158,0.43010752688172044,0.5698924731182796,0.03225806451612903,0.07526881720430108
33,-3.9942517280578613,0.4182281494140625,-3.949247121810913,0.10760778933763504,0.9567129611968994,0.5322253108024597,1.01076078414917,1.2000000476837158,0.45878136200716846,0.5412186379928315,0.04659498207885305,0.08960573476702509
34,-3.97527813911438,0.4297238290309906,-3.914746046066284,0.14086277782917023,0.966707706451416,0.5891565084457397,1.0140862464904785,1.2000000476837158,0.4444444444444444,0.5555555555555556,0.025089605734767026,0.07168458781362007
35,-3.971834421157837,0.43660077452659607,-3.915311098098755,0.12946225702762604,0.9587817192077637,0.5697007775306702,1.0129462480545044,1.2000000476837158,0.4551971326164875,0.5448028673835126,0.017921146953405017,0.08243727598566308
36,-3.9554648399353027,0.43863344192504883,-3.911363363265991,0.10054289549589157,0.972553014755249,0.6561728119850159,1.0100542306900024,1.2000000476837158,0.4551971326164875,0.5448028673835126,0.010752688172043012,0.07885304659498207
37,-3.938727378845215,0.44804731011390686,-3.8845038414001465,0.12102190405130386,0.9612275958061218,0.5867912769317627,1.0121022462844849,1.2000000476837158,0.45878136200716846,0.5412186379928315,0.025089605734767026,0.06810035842293907
38,-3.936095952987671,0.44277429580688477,-3.887160539627075,0.11051999777555466,0.977173388004303,0.633226752281189,1.0110520124435425,1.2000000476837158,0.46236559139784944,0.5376344086021505,0.017921146953405017,0.06093189964157706
39,-3.9248104095458984,0.42071664333343506,-3.916611909866333,0.019486986100673676,0.9632130861282349,0.5914120674133301,1.0019487142562866,1.2000000476837158,0.4874551971326165,0.5125448028673835,0.03225806451612903,0.07885304659498207
40,-3.904961585998535,0.42859339714050293,-3.870410442352295,0.08061575889587402,0.9761568903923035,0.6657240390777588,1.0080615282058716,1.2000000476837158,0.45161290322580644,0.5483870967741935,0.010752688172043012,0.07526881720430108
41,-3.9081904888153076,0.4161258339881897,-3.8741211891174316,0.08187258988618851,0.9658085107803345,0.631870448589325,1.0081872940063477,1.2000000476837158,0.4659498207885305,0.5340501792114696,0.007168458781362007,0.1111111111111111
42,-3.895712375640869,0.4041377604007721,-3.841282844543457,0.1346806436777115,0.9727619290351868,0.6125191450119019,1.0134680271148682,1.2000000476837158,0.44802867383512546,0.5519713261648745,0.014336917562724014,0.11469534050179211
43,-3.891925096511841,0.3992590308189392,-3.7960987091064453,0.2400105744600296,0.9881628155708313,0.6655550599098206,1.0240010023117065,1.2000000476837158,0.4121863799283154,0.5878136200716846,0.007168458781362007,0.0931899641577061
44,-3.8868823051452637,0.4055939018726349,-3.7633843421936035,0.3044867217540741,0.9885988831520081,0.6575184464454651,1.0304486751556396,1.2000000476837158,0.3835125448028674,0.6164874551971327,0.010752688172043012,0.1111111111111111
45,-3.861828327178955,0.4036480188369751,-3.744032144546509,0.2918289601802826,0.9993451237678528,0.6845281720161438,1.0291829109191895,1.2000000476837158,0.4229390681003584,0.5770609318996416,0.0035842293906810036,0.12186379928315412
