step,control_raw,control_ma5,control_ma10,control_fixed,st_02_raw,st_02_ma5,st_02_ma10,st_02_fixed,prism_raw,prism_ma5,prism_ma10,prism_fixed,action_old_raw,action_old_ma5,action_old_ma10,action_old_fixed,action_fix_02_raw,action_fix_02_ma5,action_fix_02_ma10,action_fix_02_fixed,st_half_raw,st_half_ma5,st_half_ma10,st_half_fixed,action_mid_raw,action_mid_ma5,action_mid_ma10,action_mid_fixed,st_narrow_raw,st_narrow_ma5,st_narrow_ma10,st_narrow_fixed
52,0.95703125,0.92265625,0.906640625,,0.9453125,0.903125,0.893359375,,0.9765625,0.9203125,0.92421875,,,,,,0.9375,0.91328125,0.91953125,,0.95703125,0.91875,0.9171875,,0.96875,0.9421875,0.930078125,,,,,
53,0.9140625,0.9234375,0.90546875,,,,,,0.91796875,0.93203125,0.922265625,,,,,,0.96875,0.93359375,0.922265625,,0.9375,0.93828125,0.920703125,,0.96484375,0.95,0.93046875,,,,,
54,0.93359375,0.93671875,0.91484375,,,,,,0.95703125,0.95078125,0.930859375,,,,,,0.94921875,0.93828125,0.92890625,,,,,,0.984375,0.95390625,0.941796875,,,,,
55,0.89453125,0.92421875,0.91875,0.96875,,,,,0.93359375,0.95078125,0.93125,0.96875,,,,,0.91796875,0.94453125,0.93046875,0.90625,,,,,0.91796875,0.95234375,0.9421875,0.96875,,,,
56,0.89453125,0.91875,0.9171875,,,,,,,,,,,,,,0.890625,0.9328125,0.926171875,,,,,,0.91015625,0.94921875,0.943359375,,,,,
57,0.8671875,0.90078125,0.91171875,,,,,,,,,,,,,,0.92578125,0.93046875,0.921875,,,,,,0.9609375,0.94765625,0.944921875,,,,,
58,0.953125,0.90859375,0.916015625,,,,,,,,,,,,,,0.94140625,0.925,0.929296875,,,,,,0.98046875,0.95078125,0.950390625,,,,,
59,0.95703125,0.91328125,0.925,,,,,,,,,,,,,,0.94140625,0.9234375,0.930859375,,,,,,0.91796875,0.9375,0.945703125,,,,,
60,0.890625,0.9125,0.918359375,0.96875,,,,,,,,,,,,,0.90625,0.92109375,0.9328125,0.96875,,,,,,,,,,,,
61,0.9375,0.92109375,0.919921875,,,,,,,,,,,,,,0.98828125,0.940625,0.93671875,,,,,,,,,,,,,
62,0.953125,0.93828125,0.91953125,,,,,,,,,,,,,,0.89453125,0.934375,0.932421875,,,,,,,,,,,,,
63,0.9296875,0.93359375,0.92109375,,,,,,,,,,,,,,0.9765625,0.94140625,0.933203125,,,,,,,,,,,,,
64,0.94921875,0.93203125,0.92265625,,,,,,,,,,,,,,0.8828125,0.9296875,0.9265625,,,,,,,,,,,,,
65,0.9140625,0.93671875,0.924609375,0.96875,,,,,,,,,,,,,0.91015625,0.93046875,0.92578125,0.9375,,,,,,,,,,,,
66,0.9375,0.93671875,0.92890625,,,,,,,,,,,,,,0.92578125,0.91796875,0.929296875,,,,,,,,,,,,,
67,0.93359375,0.9328125,0.935546875,,,,,,,,,,,,,,0.96875,0.9328125,0.93359375,,,,,,,,,,,,,
68,0.9765625,0.9421875,0.937890625,,,,,,,,,,,,,,0.97265625,0.93203125,0.93671875,,,,,,,,,,,,,
69,0.9765625,0.94765625,0.93984375,,,,,,,,,,,,,,0.9140625,0.93828125,0.933984375,,,,,,,,,,,,,
70,0.94921875,0.9546875,0.945703125,0.9375,,,,,,,,,,,,,0.95703125,0.94765625,0.9390625,0.96875,,,,,,,,,,,,
