step,elapsed_s,train_success,eval_success,approx_kl,clip_fraction,grad_norm,ratio_abs,policy_loss_abs,step_time_s,generate_rollouts_s,actor_training_s
46,66384,0.8984375,,0.042,0.001,29.433,0.015,13.761,1306.6,1285.3,19.483
47,67703,0.9453125,,0.009,0.000431,18.371,0.0063,10.02,1318.8,1296.8,20.024
48,68970,0.92578125,,0.0073,0.0,9.82,0.0031,2.554,1266.9,1245.7,19.221
49,70281,0.96484375,,0.034,0.00062,18.581,0.012,4.436,1310.5,1287.8,20.777
50,71970,0.92578125,0.90625,0.044,0.000851,33.817,0.017,13.297,1689.5,1343.1,20.924
51,73341,0.92578125,,0.017,0.000756,27.234,0.013,11.81,1370.6,1348.6,20.391
52,74662,0.96875,,0.017,0.0014,20.097,0.011,4.784,1321.1,1297.9,21.22
53,76045,0.96484375,,0.018,0.0,11.87,0.01,4.02,1383.2,1359.8,21.485
54,77414,0.984375,,-0.011,0.000781,14.478,0.0097,2.672,1369.2,1343.8,23.035
55,79013,0.91796875,0.96875,0.02,0.0025,26.935,0.019,9.718,1598.5,1300.9,20.945
56,80391,0.91015625,,0.016,0.000669,24.49,0.011,10.663,1378.4,1356.9,19.707
57,81730,0.9609375,,0.016,0.000916,18.869,0.012,7.295,1338.4,1316.0,20.477
58,83079,0.98046875,,0.016,0.00067,19.559,0.009,4.63,1349.4,1326.7,20.749
59,84417,0.91796875,,0.0094,0.000846,26.837,0.012,13.811,1337.8,1315.6,19.909
60,86038,0.95703125,0.96875,0.024,0.0013,21.713,0.011,9.764,1620.8,1287.2,19.552
61,87374,0.94921875,,0.028,0.0015,22.471,0.013,9.439,1336.1,1314.4,19.999
62,88700,0.95703125,,0.0054,0.0017,23.461,0.016,7.116,1326.2,1304.2,20.076
