tag,round,raw_step,value,wall_time
env/episode_len,15,14,192.0,1789382968.1692405
env/episode_len,16,15,192.0,1789384235.1391895
env/episode_len,17,16,192.0,1789385530.6470356
env/episode_len,18,17,192.0,1789386846.6375618
env/episode_len,19,18,192.0,1789387972.8474498
env/episode_len,20,19,192.0,1789389702.829114
env/episode_len,21,20,192.0,1789391014.82833
env/episode_len,22,21,192.0,1789392318.9708526
env/episode_len,23,22,192.0,1789393564.1281288
env/episode_len,24,23,192.0,1789394717.315162
env/episode_len,25,24,192.0,1789396426.923921
env/episode_len,26,25,192.0,1789397688.2851195
env/episode_len,27,26,192.0,1789398967.8951576
env/episode_len,28,27,192.0,1789400231.1838837
env/episode_len,29,28,192.0,1789401475.889889
env/return,1,0,0.375,1789364298.2510903
env/return,2,1,0.375,1789365625.2686968
env/return,3,2,0.625,1789366786.8511777
env/return,4,3,0.25,1789367989.9939115
env/return,5,4,0.25,1789369603.306099
env/return,6,5,0.375,1789370813.7909205
env/return,7,6,0.375,1789372076.5440693
env/return,8,7,0.375,1789373332.5587347
env/return,9,8,0.375,1789374569.303807
env/return,10,9,0.5,1789376367.8672414
env/return,11,10,0.5,1789377504.6300454
env/return,12,11,0.75,1789378768.4053721
env/return,13,12,0.5,1789380066.3685176
env/return,14,13,0.5,1789381231.4467077
env/return,15,14,0.25,1789382968.1692603
env/return,16,15,0.75,1789384235.1391954
env/return,17,16,0.375,1789385530.6470442
env/return,18,17,0.25,1789386846.6375685
env/return,19,18,0.375,1789387972.8474615
env/return,20,19,0.375,1789389702.8291218
env/return,21,20,0.375,1789391014.8283517
env/return,22,21,0.5,1789392318.9708629
env/return,23,22,0.625,1789393564.1281388
env/return,24,23,0.375,1789394717.3151667
env/return,25,24,0.5,1789396426.9239273
env/return,26,25,0.5,1789397688.285128
env/return,27,26,0.25,1789398967.8951647
env/return,28,27,0.625,1789400231.1838918
env/return,29,28,1.0,1789401475.8898957
env/num_trajectories,1,0,8.0,1789364298.2511313
env/num_trajectories,2,1,8.0,1789365625.268734
env/num_trajectories,3,2,8.0,1789366786.8512154
env/num_trajectories,4,3,8.0,1789367989.9939413
env/num_trajectories,5,4,8.0,1789369603.3061163
env/num_trajectories,6,5,8.0,1789370813.790962
env/num_trajectories,7,6,8.0,1789372076.5440981
env/num_trajectories,8,7,8.0,1789373332.5587742
env/num_trajectories,9,8,8.0,1789374569.3038619
env/num_trajectories,10,9,8.0,1789376367.8672554
env/num_trajectories,11,10,8.0,1789377504.6300836
env/num_trajectories,12,11,8.0,1789378768.4054053
env/num_trajectories,13,12,8.0,1789380066.3685484
env/num_trajectories,14,13,8.0,1789381231.446747
env/num_trajectories,15,14,8.0,1789382968.1692905
env/num_trajectories,16,15,8.0,1789384235.1392298
env/num_trajectories,17,16,8.0,1789385530.6470792
env/num_trajectories,18,17,8.0,1789386846.6376028
