selection,success,query_idx,action_slot_start,trajectory_id,reward_sum,done,log10_v_l3_c10_mean,log10_v_l3_h10_49_mean,v_l3_c10_peak_h,w_s0p5_min,w_s0p5_max,w_s2p0_min,w_s2p0_max,executed_reference_mse
success_middle,1,6,60,57528,0.0,0,-2.3067383766174316,-2.0647006034851074,9,0.4732794761657715,1.6226215362548828,0.0,2.9667420387268066,0.009736811742186546
success_middle,1,7,70,57529,0.0,0,-2.166513681411743,-2.0618064403533936,3,0.4907534122467041,1.3951096534729004,0.0,2.3379921913146973,0.0037553198635578156
success_middle,1,8,80,57530,0.0,0,-2.1976125240325928,-1.8894537687301636,8,0.8223000168800354,1.3786660432815552,0.2892000079154968,2.5146641731262207,0.009732437320053577
success_middle,1,9,90,57531,1.0,1,-2.164050817489624,-2.05826997756958,7,0.6539624333381653,1.58201003074646,0.0,3.158694267272949,0.013428484089672565
success_high,1,0,0,54736,0.0,0,-1.7675069570541382,-0.5683900117874146,9,0.43592584133148193,1.6062835454940796,0.0,2.470494508743286,0.004491907544434071
success_high,1,1,10,54737,0.0,0,-1.8757096529006958,-1.8137023448944092,7,0.6213945150375366,1.430971384048462,0.0,2.502997398376465,0.019816076382994652
success_high,1,2,20,54738,0.0,0,-1.33479642868042,-1.4518781900405884,9,0.5263146162033081,1.1216590404510498,0.0,1.280129075050354,0.01209531631320715
success_high,1,3,30,54739,0.0,0,-2.068140983581543,-1.91769278049469,8,0.7011376023292542,1.4377466440200806,0.0,2.6982500553131104,0.01488187350332737
success_high,1,4,40,54740,0.0,0,-1.8489121198654175,-1.7256879806518555,8,0.5289346575737,1.5916858911514282,0.0,2.6998965740203857,0.024278484284877777
success_high,1,5,50,54741,0.0,0,-1.751888394355774,-1.6114075183868408,8,0.18886280059814453,1.4846994876861572,0.0,1.9695894718170166,0.011969367042183876
success_high,1,6,60,54742,0.0,0,-1.8903727531433105,-1.7355903387069702,7,0.3920567035675049,1.634385108947754,0.0,2.9685709476470947,0.011241241358220577
success_high,1,7,70,54743,0.0,0,-2.1757218837738037,-1.4834492206573486,0,0.6998284459114075,1.5730167627334595,0.0,3.1338107585906982,0.025520654395222664
success_high,1,8,80,54744,0.0,0,-2.1842200756073,-1.68770170211792,4,0.45459288358688354,1.6312220096588135,0.0,2.8892104625701904,0.01696435734629631
success_high,1,9,90,54745,0.0,0,-2.1712570190429688,-1.6382335424423218,1,0.7026004791259766,1.5663071870803833,0.0,3.204472303390503,0.021680504083633423
success_high,1,10,100,54746,0.0,0,-2.172391653060913,-1.9169788360595703,8,0.5763065814971924,1.6044962406158447,0.0,3.062404155731201,0.018310436978936195
success_high,1,11,110,54747,1.0,1,-1.9723224639892578,-1.8191986083984375,9,0.48295968770980835,1.5277743339538574,0.0,2.615827798843384,0.02738281711935997
failure_low,0,0,0,56241,0.0,0,-1.9881112575531006,-1.8025232553482056,9,0.5323543548583984,1.5601131916046143,0.0,2.735701322555542,0.0016254031797870994
failure_low,0,1,10,56242,0.0,0,-2.213942289352417,-2.0717902183532715,7,0.5500903725624084,1.6017091274261475,0.0,3.033942461013794,0.01847735047340393
failure_low,0,2,20,56243,0.0,0,-2.1198010444641113,-2.06075382232666,7,0.3570995330810547,1.6176464557647705,0.0,2.952820301055908,0.012131772004067898
failure_low,0,3,30,56244,0.0,0,-2.0001988410949707,-1.7186583280563354,7,0.13897466659545898,1.4901182651519775,0.0,2.12947416305542,0.006760797463357449
failure_low,0,4,40,56245,0.0,0,-1.960023283958435,-1.7310779094696045,9,0.4194703698158264,1.6407721042633057,0.0,2.706265449523926,0.014339031651616096
failure_low,0,5,50,56246,0.0,0,-1.851540446281433,-1.3758327960968018,4,0.07064616680145264,1.4906113147735596,0.0,1.8583407402038574,0.014830476604402065
failure_low,0,6,60,56247,0.0,0,-2.2498831748962402,-1.7586337327957153,3,0.45820605754852295,1.4869422912597656,0.0,2.453587770462036,0.011878770776093006
