tag,step,value,wall_time
time/rollout/generate_one_epoch,1,1343.9974365234375,1787566267.7129204
time/rollout/rollout/generate,0,1489.3756103515625,1787564505.68254
time/rollout/rollout/generate,1,1350.3511962890625,1787566267.7129261
time/actor/actor/sync_model_to_rollout,0,38.34370803833008,1787564505.682546
time/actor/actor/sync_model_to_rollout,1,4.217883586883545,1787566267.7129385
time/actor/actor/recv_traj,0,1486.2364501953125,1787564505.6825519
time/actor/actor/recv_traj,1,1347.22607421875,1787566267.7129443
time/actor/actor/compute_adv,0,0.03915799781680107,1787564505.6825583
time/actor/actor/compute_adv,1,0.008492396213114262,1787566267.7129502
time/actor/run_training,0,25.51333236694336,1787564505.6825643
time/actor/run_training,1,23.578466415405273,1787566267.7129598
train/actor/approx_kl,0,0.08829537034034729,1787564505.682577
train/actor/approx_kl,1,0.029829761013388634,1787566267.713282
train/actor/clip_fraction,0,0.12305229902267456,1787564505.682583
train/actor/clip_fraction,1,0.09881025552749634,1787566267.713289
train/actor/clipped_ratio,0,0.9869155883789062,1787564505.6825888
train/actor/clipped_ratio,1,0.993236780166626,1787566267.7132947
train/actor/dual_cliped_ratio,0,0.0,1787564505.682962
train/actor/dual_cliped_ratio,1,0.0,1787566267.7133007
train/actor/dvac_current_mean,0,-4.425180912017822,1787564505.6829696
train/actor/dvac_current_mean,1,-4.40463924407959,1787566267.713307
train/actor/dvac_current_std,0,0.6809313297271729,1787564505.6829765
train/actor/dvac_current_std,1,0.7136427760124207,1787566267.7133133
train/actor/dvac_history_mean,0,0.0,1787564505.682983
train/actor/dvac_history_mean,1,-4.425180912017822,1787566267.7133188
train/actor/dvac_history_std,0,0.0,1787564505.6829894
train/actor/dvac_history_std,1,0.6809313297271729,1787566267.7133248
train/actor/dvac_warmup,0,1.0,1787564505.6829956
train/actor/dvac_warmup,1,0.0,1787566267.7133312
train/actor/dvac_weight_mean,0,1.0,1787564505.6830015
train/actor/dvac_weight_mean,1,1.0016212463378906,1787566267.7133377
train/actor/dvac_weight_sq_mean,0,1.0,1787564505.6830075
train/actor/dvac_weight_sq_mean,1,1.236828327178955,1787566267.7135623
train/actor/dvac_z_high_clip_fraction,0,0.0,1787564505.683014
train/actor/dvac_z_high_clip_fraction,1,0.041015625,1787566267.7135687
train/actor/dvac_z_low_clip_fraction,0,0.0,1787564505.6830196
train/actor/dvac_z_low_clip_fraction,1,0.009843749925494194,1787566267.7135746
train/actor/entropy_loss,0,0.0,1787564505.6832113
train/actor/entropy_loss,1,0.0,1787566267.7135806
train/actor/grad_norm,0,29.715105056762695,1787564505.6832187
train/actor/grad_norm,1,29.729419708251953,1787566267.7135863
train/actor/lr,0,5.599999894911889e-06,1787564505.683226
train/actor/lr,1,5.599999894911889e-06,1787566267.7135925
train/actor/policy_loss,0,0.00564181013032794,1787564505.6832325
train/actor/policy_loss,1,0.002874631667509675,1787566267.7135987
train/actor/policy_loss_abs,0,0.5820661783218384,1787564505.683239
train/actor/policy_loss_abs,1,0.6299276351928711,1787566267.7136047
train/actor/ratio,0,1.0038182735443115,1787564505.683245
train/actor/ratio,1,1.0048493146896362,1787566267.7136102
train/actor/ratio_abs,0,0.17037644982337952,1787564505.683253
train/actor/ratio_abs,1,0.11308852583169937,1787566267.7136157
train/actor/total_loss,0,0.00035261313314549625,1787564505.6832595
train/actor/total_loss,1,0.0001796644792193547,1787566267.7138205
train/actor/dvac_weight_ess_fraction,0,1.0,1787564505.683265
train/actor/dvac_weight_ess_fraction,1,0.8111433982849121,1787566267.7138267
eval/return,1,0.765625,1787566244.7694716
eval/episode_len,1,200.0,1787566244.7695663
eval/success_once,1,0.765625,1787566244.7695808
eval/success_at_end,1,0.765625,1787566244.7695913
eval/reward,1,0.003828125074505806,1787566244.7696006
eval/num_trajectories,1,64.0,1787566244.7696793
time/eval,1,362.1636657714844,1787566267.7122738
time/env/evaluate,1,359.33477783203125,1787566267.7129014
time/rollout/evaluate,1,202.42019653320312,1787566267.7129326
