timestamp,wrapper_alive,host_mem_available_kib,swap_free_kib,mem_psi_some_avg10,gpu6_used_mib,gpu6_util_pct,gpu6_temp_c
2026-09-05T03:00:15.512859+00:00,1,1089331020,167836,0.00,57145,0,38
2026-09-05T03:00:20.657316+00:00,1,1089676544,167952,0.00,57145,87,40
2026-09-05T03:00:25.794675+00:00,1,1089581484,168100,0.00,57145,0,38
2026-09-05T03:00:30.930028+00:00,1,1089256504,168240,0.00,57145,97,41
2026-09-05T03:00:36.081220+00:00,1,1089719552,168380,0.00,57145,45,39
2026-09-05T03:00:41.250013+00:00,1,1091137024,168564,0.00,57145,92,42
2026-09-05T03:00:46.392108+00:00,1,1105143896,168740,0.00,56883,0,39
2026-09-05T03:00:51.543674+00:00,1,1104749056,168964,0.00,56883,99,42
2026-09-05T03:00:56.677072+00:00,1,1100435000,169092,0.00,56883,9,38
2026-09-05T03:01:03.300488+00:00,1,1147300780,169180,0.00,8,0,38
2026-09-05T03:01:08.435983+00:00,0,1158001008,169180,0.00,8,0,36
