unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_oom_events,cgroup_oom_kill_events,shm_used_bytes,disk_available_bytes,gpu0_used_mib,gpu0_total_mib,gpu0_util_pct,gpu0_mem_util_pct,gpu0_power_w,gpu1_used_mib,gpu1_total_mib,gpu1_util_pct,gpu1_mem_util_pct,gpu1_power_w,env_rss_kib,env_cpu_pct,actor_rss_kib,actor_cpu_pct,rollout_rss_kib,rollout_cpu_pct,driver_rss_kib,driver_cpu_pct,ray_rss_kib,ray_cpu_pct,matched_total_rss_kib,compute_process_count
1786103678,1.01642e+12,41251913728,38187827200,2437734400,0,0,155648,875140485120,504,81920,0,0,67.23,503,81920,0,0,66.40,3892104.00,86.20,1617212.00,29.20,26039600.00,198.20,3048,0.0,1119548.00,18.80,41730892.00,2
1786103679,1.01642e+12,41251147776,38187339776,2437734400,0,0,155648,875140485120,504,81920,0,0,67.23,503,81920,0,0,66.07,3892104.00,82.00,1617212.00,27.80,26039600.00,194.90,3048,0.0,1119764.00,18.30,41730992.00,2
1786103680,1.01642e+12,41254899712,38189375488,2437734400,0,0,155648,875140485120,504,81920,0,0,67.23,503,81920,0,0,66.40,3892116.00,80.00,1617212.00,27.20,26039612.00,196.60,3048,0.0,1120912.00,18.30,41732052.00,2
1786103682,1.01641e+12,41251954688,38189518848,2437734400,0,0,155648,875140485120,504,81920,0,0,68.16,503,81920,0,0,66.40,3892116.00,78.20,1617212.00,26.60,26039612.00,198.00,3048,0.0,1121120.00,18.10,41732260.00,2
1786103683,1.01641e+12,41253847040,38190858240,2437734400,0,0,155648,875140485120,504,81920,0,0,68.16,503,81920,0,0,66.40,3892116.00,76.50,1617212.00,26.00,26039616.00,199.40,3048,0.0,1121624.00,17.70,41732768.00,2
1786103684,1.01589e+12,41778794496,38725967872,2431098880,0,0,155648,875140485120,504,81920,0,0,67.56,503,81920,0,0,66.40,3892116.00,73.20,1617212.00,24.90,26669568.00,196.50,3048,0.0,1121624.00,17.80,42406544.00,2
1786103686,1.01462e+12,43152773120,40115556352,2414051328,0,0,155648,875140485120,504,81920,0,0,67.56,503,81920,0,0,67.01,3892116.00,71.70,1617212.00,24.40,28166424.00,197.90,3048,0.0,1121308.00,17.70,43951132.00,2
1786103687,1.01303e+12,44728750080,41706844160,2393321472,0,0,155648,875140485120,504,81920,0,0,67.56,503,81920,0,0,66.07,3892116.00,70.10,1617212.00,23.90,29566416.00,199.10,3048,0.0,1121244.00,17.50,45306136.00,2
1786103688,1.01234e+12,45426503680,42405683200,2384670720,0,0,155648,875140485120,504,81920,0,0,67.56,503,81920,0,0,66.07,3892116.00,67.30,1617212.00,22.90,30153816.00,196.30,3048,0.0,1121656.00,17.20,45847336.00,2
1786103689,1.01407e+12,43669762048,40655958016,2384130048,0,0,155648,875140485120,504,81920,0,0,67.56,503,81920,0,0,66.40,3892116.00,66.10,1617212.00,22.50,28569468.00,197.50,3048,0.0,1121712.00,17.10,44320540.00,2
1786103691,1.01503e+12,42693451776,39686758400,2384130048,0,0,155648,875140485120,504,81920,0,0,67.56,503,81920,0,0,66.07,3892116.00,64.90,1617212.00,22.10,27695808.00,198.60,3048,0.0,1121572.00,17.10,43494340.00,2
1786103692,1.01321e+12,44500656128,41493086208,2384130048,0,0,155648,875140485120,504,81920,0,0,67.23,503,81920,0,0,66.07,3892116.00,62.40,1617212.00,21.30,29515512.00,196.30,3048,0.0,1121416.00,16.80,45278668.00,2
1786103693,1.0121e+12,45610807296,42597937152,2381451264,0,0,155648,875140485120,504,81920,0,0,67.56,503,81920,0,0,66.07,3892116.00,61.30,1617212.00,20.90,30465888.00,197.50,3048,0.0,1122340.00,16.70,46207448.00,2
1786103695,1.01189e+12,45806170112,42796359680,2378747904,0,0,155648,875140485120,504,81920,0,0,67.23,503,81920,0,0,66.40,3892116.00,60.30,1617212.00,20.70,30532016.00,198.60,3048,0.0,1123256.00,16.70,46228036.00,2
