round,env/success_once,eval/success_once,time/step,time/generate_rollouts,time/actor_training,time/sync_weights,time/eval
59,0.58203125,,1462.8160400390625,1434.39599609375,22.23858642578125,6.168501853942871,
60,0.60546875,0.75,1795.1611328125,1467.325927734375,22.850404739379883,5.290497779846191,269.2552795410156
61,0.578125,,1434.5218505859375,1410.464111328125,22.377138137817383,1.6650776863098145,
62,0.66015625,,1447.127685546875,1419.6314697265625,22.3609676361084,5.121420860290527,
63,0.69140625,,1413.5341796875,1381.905517578125,25.922027587890625,5.688448905944824,
64,0.68359375,,1437.714111328125,1404.3670654296875,26.01123046875,7.3200201988220215,
65,0.59375,0.59375,1886.8165283203125,1499.929443359375,25.680438995361328,6.233889579772949,354.9550476074219
66,0.6484375,,1388.5816650390625,1364.5008544921875,22.148136138916016,1.9189786911010742,
67,0.6171875,,1417.0244140625,1387.10986328125,24.442264556884766,5.442305088043213,
68,0.66015625,,1588.3394775390625,1556.32275390625,25.537355422973633,6.461492538452148,
69,0.6953125,,1442.0748291015625,1411.349853515625,23.000524520874023,7.7083420753479,
70,0.57421875,0.8125,1957.3941650390625,1537.9981689453125,25.708393096923828,5.534914493560791,352.79864501953125
71,0.63671875,,1483.242431640625,1455.521728515625,26.059452056884766,1.6411795616149902,
72,0.5625,,1471.624755859375,1441.821533203125,22.561214447021484,7.230647087097168,
73,0.6171875,,1514.1041259765625,1482.9539794921875,25.628427505493164,5.505483150482178,
74,0.5546875,,1491.9312744140625,1461.7755126953125,22.572261810302734,7.57033634185791,
75,0.59375,0.65625,1942.4786376953125,1590.843994140625,23.30535125732422,4.97922420501709,323.3365478515625
76,0.6640625,,1529.94970703125,1502.499755859375,25.556163787841797,1.8767240047454834,
77,0.69140625,,1475.44091796875,1444.534423828125,22.824644088745117,8.067529678344727,
78,0.65625,,1444.1121826171875,1412.255126953125,25.656370162963867,6.183917045593262,
79,0.66796875,,1509.90771484375,1476.385498046875,25.520530700683594,7.981311798095703,
80,0.6328125,0.6875,1785.703125,1407.896728515625,23.718887329101562,7.23388671875,310.9564514160156
81,0.61328125,,1411.825927734375,1387.7855224609375,22.354223251342773,1.6709985733032227,
82,0.67578125,,1459.2518310546875,1428.291259765625,25.12034034729004,5.822956085205078,
83,0.64453125,,1453.3282470703125,1422.8665771484375,22.081785202026367,8.36357593536377,
84,0.546875,,1458.5230712890625,1429.2911376953125,22.20250129699707,7.0175580978393555,
85,0.55078125,0.75,1815.480224609375,1447.2808837890625,22.24967384338379,5.821439743041992,340.114013671875
86,0.73828125,,1448.4766845703125,1423.9090576171875,22.63934326171875,1.9111733436584473,
87,0.64453125,,1551.7779541015625,1522.121337890625,22.49347686767578,7.148068904876709,
88,0.5625,,1462.85498046875,1432.311279296875,23.589672088623047,6.9337921142578125,
89,0.63671875,,1471.4998779296875,1442.1854248046875,22.122318267822266,7.177578926086426,
90,0.703125,0.65625,1884.2935791015625,1484.322021484375,22.125795364379883,5.861543655395508,343.410400390625
91,0.64453125,,1391.5565185546875,1367.59912109375,22.270448684692383,1.674018383026123,
92,0.65234375,,1450.141357421875,1422.1768798828125,22.4325008392334,5.519329071044922,
93,0.6953125,,1407.098876953125,1377.5594482421875,24.292747497558594,5.230794906616211,
94,0.73046875,,1404.5108642578125,1376.2454833984375,22.73863983154297,5.510883331298828,
95,0.734375,0.6875,1717.22998046875,1373.7537841796875,22.147356033325195,5.346507549285889,315.9685974121094
96,0.65234375,,1449.9959716796875,1425.7476806640625,21.971755981445312,2.263115882873535,
97,0.65625,,1245.9464111328125,1215.2396240234375,25.550718307495117,5.142081260681152,
98,0.6328125,,1311.9339599609375,1282.3050537109375,23.449007034301758,6.164892673492432,
99,0.6484375,,1445.9659423828125,1417.3177490234375,22.179187774658203,6.454719543457031,
100,0.64453125,0.59375,1824.873779296875,1420.5936279296875,24.859102249145508,5.525874137878418,336.96429443359375
101,0.609375,,1398.7122802734375,1364.798583984375,26.15971565246582,7.706524848937988,
102,0.66796875,,1302.326171875,1272.7689208984375,24.149370193481445,5.392836570739746,
103,0.625,,1265.69921875,1234.723388671875,25.750244140625,5.214028358459473,
104,0.69921875,,1277.3184814453125,1246.6673583984375,24.61421775817871,6.0245232582092285,
105,0.69921875,0.75,1546.0048828125,1241.865234375,24.37166976928711,6.0242156982421875,273.7275085449219
106,0.65234375,,1353.2252197265625,1326.020263671875,25.184816360473633,2.004775047302246,
107,0.71484375,,1312.1343994140625,1281.5416259765625,25.09982681274414,5.478676795959473,
108,0.59375,,1349.2493896484375,1321.4091796875,22.644603729248047,5.182701110839844,
109,0.640625,,1326.4830322265625,1296.041259765625,25.431377410888672,4.997057914733887,
110,0.57421875,0.53125,1682.633544921875,1337.241455078125,25.051055908203125,5.033007621765137,282.5045166015625
111,0.671875,,1340.842041015625,1316.0439453125,23.068931579589844,1.715012550354004,
112,0.546875,,1300.1051025390625,1269.7154541015625,25.40224838256836,4.973227500915527,
113,0.6875,,1300.8043212890625,1269.2344970703125,24.860675811767578,6.693018913269043,
114,0.6875,,1337.823486328125,1306.1829833984375,25.540264129638672,6.08262300491333,
115,0.68359375,0.65625,1544.4906005859375,1239.0350341796875,25.684289932250977,5.006107807159424,274.7497253417969
116,0.7109375,,1355.344970703125,1329.32568359375,24.01468849182129,1.9914755821228027,
117,0.74609375,,1279.13232421875,1247.9891357421875,24.873764038085938,6.253706455230713,
118,0.66015625,,1307.7750244140625,1276.6229248046875,25.248912811279297,5.887068748474121,
119,0.69921875,,1284.5455322265625,1255.5592041015625,23.772676467895508,5.199545860290527,
120,0.72265625,0.59375,1612.963134765625,1275.6585693359375,25.56205940246582,5.003261566162109,273.4071044921875
121,0.62890625,,1267.06201171875,1242.786376953125,22.666622161865234,1.594270944595337,
122,0.4765625,,1278.1458740234375,1249.8001708984375,23.666000366210938,4.665879249572754,
123,0.67578125,,1300.6160888671875,1268.955322265625,26.518800735473633,5.1232147216796875,
124,0.66015625,,1235.4293212890625,1204.9432373046875,25.66484260559082,4.805924415588379,
125,0.63671875,0.5625,1506.5830078125,1232.416015625,22.528718948364258,6.051501750946045,245.5733642578125
